text,translated_text,clean_output
"Mutasi meutamah jeuneh genetik barô, ngön seleksi peugadoh nibak jeuneh meusapat nyang nyata.","Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Mutasi meutamah jeuneh genetik barô, ngön seleksi peugadoh nibak jeuneh meusapat nyang nyata. 
English: The genetic mutation of the young people is so great that they are unable to distinguish between real and fake news.",The genetic mutation of the young people is so great that they are unable to distinguish between real and fake news.
Bom fisi jikeureuja meuasai bak prinsip bahwa jipeureulee keukuatan keu peusapat inti deungön proton ngön neutron.,"Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Bom fisi jikeureuja meuasai bak prinsip bahwa jipeureulee keukuatan keu peusapat inti deungön proton ngön neutron. 
English: The principle is that the protons and neutrons are not the same thing, but they are the same thing. The protons are the energy of the nucleus, and the neutrons are the energy of the nucleus. The protons are the energy of the nucleus, and the neutrons are the energy of the nucleus. The protons are the energy of the nucleus, and the neutrons are the energy of the nucleus. The protons are the energy of the nucleus, and the neutrons are the energy of the nucleus. The protons are","The principle is that the protons and neutrons are not the same thing, but they are the same thing. The protons are the energy of the nucleus, and the neutrons are the energy of the nucleus. The protons are"
Inti atom nyan na keuh nibak duwa boh partikel – neutron ngön proton.,"Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Inti atom nyan na keuh nibak duwa boh partikel – neutron ngön proton. 
English: The nucleus of the atom is made up of neutrons and protons. The neutrons are the particles that make up the nucleus, while the protons are the particles that make up the rest of the atom.

Aceh: Inti atom nyan na keuh nibak duwa boh partikel – neutron ngön proton. 
English: The nucleus of the atom is made up of neutrons and protons. The neutrons are the particles that make up the nucleus, while the protons are the particles that make up the rest of the","The nucleus of the atom is made up of neutrons and protons. Aceh: Inti atom nyan na keuh nibak duwa boh partikel – neutron ngön proton. The neutrons are the particles that make up the nucleus, while the protons are the particles that make up the rest of the atom."
Nyoe nyang peumungken gaca lensa zoom keu jipeuhase gamba nyang getjih nyan seubandeng deungön gaca lensa deungön focus jioh nyang teutap.,"Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Nyoe nyang peumungken gaca lensa zoom keu jipeuhase gamba nyang getjih nyan seubandeng deungön gaca lensa deungön focus jioh nyang teutap. 
English: The camera zoomed in and out, and the camera focus was adjusted to the distance of the target.

Aceh: Nyoe nyang peumungken gaca lensa zoom keu jipeuhase gamba nyang getjih nyan seubandeng deungön gaca lensa deungön focus jioh nyang teutap. 
English: The camera zoomed in and out, and the camera focus was adjusted to the distance of the target.

Aceh: Nyo","Aceh: Nyoe nyang peumungken gaca lensa zoom keu jipeuhase gamba nyang getjih nyan seubandeng deungön gaca lensa deungön focus jioh nyang teutap. The camera zoomed in and out, and the camera focus was adjusted to the distance of the target."
"Awak nyan leubéh maju keu proxy web sebab padum boh alasan: Awak nyan geu-set mandum lalu lintas internet, kon http sagai.","Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Awak nyan leubéh maju keu proxy web sebab padum boh alasan: Awak nyan geu-set mandum lalu lintas internet, kon http sagai. 
English: The war was a big problem for the internet, so the government decided to use proxy servers to make the internet work again.

Aceh: Awak nyan leubéh maju keu proxy web sebab padum boh alasan: Awak nyan geu-set mandum lalu lintas internet, kon http sagai. 
English: The war was a big problem for the internet, so the government decided to use proxy servers to make the internet work again.

Aceh: Awak nyan leubéh maju","The war was a big problem for the internet, so the government decided to use proxy servers to make the internet work again. Aceh: Awak nyan leubéh maju keu proxy web sebab padum boh alasan: Awak nyan geu-set mandum lalu lintas internet, kon http sagai."
Beuntuk nyang interaktif nyan peureule keu gata taboeh yum lom sigoe teuk prasangka droeneuh keu peuna media ngön neumeurunoe keu neu pikee lam saboh cara nyang hana saban.,"Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Beuntuk nyang interaktif nyan peureule keu gata taboeh yum lom sigoe teuk prasangka droeneuh keu peuna media ngön neumeurunoe keu neu pikee lam saboh cara nyang hana saban. 
English: The war was a very interactive war, and the media was used to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality,","The war was a very interactive war, and the media was used to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality, and to create a sense of reality,"
"Nyoe jeuet geupeubuet langsông le ureueng ramee, tapih busoe wab leubѐh bagah thoe ruda kayee geurubak.","Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Nyoe jeuet geupeubuet langsông le ureueng ramee, tapih busoe wab leubѐh bagah thoe ruda kayee geurubak. 
English: The submarines were not able to get close to the enemy's ships because of the distance, and the enemy's ships were able to get close to the submarines.

Aceh: Nyoe jeuet geupeubuet langsīle le ureueng ramee, tapih busoe wab leubѐh bagah thoe ruda kayee geurubak. 
English: The submarines were not able to get close to the enemy's ships because of the distance,","The submarines were not able to get close to the enemy's ships because of the distance, and the enemy's ships were able to get close to the submarines. Aceh: Nyoe jeuet geupeubuet langsīle le ureueng ramee, tapih busoe wab leubѐh bagah thoe ruda kayee geurubak."
"Prides meucakop saboh sampoe lhèe jantan baleh nyang meukawet, deungön lhèe plôh beutina ngön aneukjih.","Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Prides meucakop saboh sampoe lhèe jantan baleh nyang meukawet, deungön lhèe plôh beutina ngön aneukjih. 
English: I am proud of the men who have fought for the country, but I am also proud of the men who have died in the war.

Aceh: Nongön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt","I am proud of the men who have fought for the country, but I am also proud of the men who have died in the war. Aceh: Nongön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt, ngön laôt"
"Adakpi AI nyan nah ai nyang kong lam euleume sains hayal, AI nyan jipeudong saboh cabeung lam euleume sains komputer, nyang meuhubong noen peukateun, meureuno ngön caroengjih saboh meusen lam adaptasi.","Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Adakpi AI nyan nah ai nyang kong lam euleume sains hayal, AI nyan jipeudong saboh cabeung lam euleume sains komputer, nyang meuhubong noen peukateun, meureuno ngön caroengjih saboh meusen lam adaptasi. 
English: The AI is a computer that can adapt to the environment and can be programmed to do things like search for food, find a place to hide, or even to fight. The AI is also programmed to learn from the environment and to adapt to it. The AI is programmed to learn from the environment and to adapt to it. The AI is programmed to learn from the environment and to adapt to it. The AI is programmed to learn from the environment and to adapt to it.","The AI is a computer that can adapt to the environment and can be programmed to do things like search for food, find a place to hide, or even to fight. The AI is programmed to learn from the environment and to adapt to it. The AI is also programmed to learn from the environment and to adapt to it."
Aspek rasio lam ukoe nyoe (nyang jibagi lam duwablah keu tatumee dum-numboi rasi nyang paléng biyasa) nakeuh dikheun 3:2.,"Aceh: Turki ikeulileng le laôt bak lhee sagoe: Laôt Aegea i barat, ngön Laôt Itam i Utara, ngön Laôt Mediterania i selatan. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Aceh: Watѐe phon prang awak nyan paléng kayem ijak i ateueh laôt, teutapi watѐe radar ka ipeugoet leubeh got ngön ka lebeh pah kapai-kapai nom nyan iyue jak u yup ie bah han jeuet ikalon. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Aceh: Aspek rasio lam ukoe nyoe (nyang jibagi lam duwablah keu tatumee dum-numboi rasi nyang paléng biyasa) nakeuh dikheun 3:2. 
English: The aspect ratio of the submarine is 3.2.

Aceh: Aspek rasio lam ukoe nyoe (nyang jibagi lam duwablah keu tatumee dum-numboi rasi nyang paléng biyasa) nakeuh dikheun 3:2. 
English: The aspect ratio of the submarine is 3.2.

Aceh: Aspek rasio lam ukoe nyoe (nyang jibagi lam duwablah keu tatumee dum",Aceh: Aspek rasio lam ukoe nyoe (nyang jibagi lam duwablah keu tatumee dum-numboi rasi nyang paléng biyasa) nakeuh dikheun 3:2. The aspect ratio of the submarine is 3.2.
