text,translated_text,clean_output
"Domenyiŋusẽfianu ƒe tɔtrɔ hea vovototo yeye dena nuwo alo amehawo ƒe nɔnɔme me, eye tiatia ɖenɛ ɖa le vovototo si woɖena fiana ƒe ha me.","Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Domenyiŋusẽfianu ƒe tɔtrɔ hea vovototo yeye dena nuwo alo amehawo ƒe nɔnɔme me, eye tiatia ɖenɛ ɖa le vovototo si woɖena fiana ƒe ha me. 
English: In the war, the French and the British were in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be","In the war, the French and the British were in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be"
Dzogo (fission bomb) la wͻa dͻ ɖe se sia nu be ŋusĕ triakͻ aɖe hiã na nuwo ƒe dzialo amikɛ ɖoɖo anyi be ŋusĕɖealͻwo (protons) kple ŋusĕmanͻmetͻwo (neutrons) nate ŋu aƒo ƒu ahali ke ɖe wo me.,"Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Dzogo (fission bomb) la wͻa dͻ ɖe se sia nu be ŋusĕ triakͻ aɖe hiã na nuwo ƒe dzialo amikɛ ɖoɖo anyi be ŋusĕɖealͻwo (protons) kple ŋusĕmanͻmetͻwo (neutrons) nate ŋu aƒo ƒu ahali ke ɖe wo me. 
English: The first war in the world was a war in the Aegean Sea, the Black Sea, and the Mediterranean Sea, in which the French and the British were the only two countries in the world to be invaded. The French and the British were the only two countries in the world to be invaded, and the French and the British were the only two countries in the world to be invaded, in the first world war. The French and the British were the only two countries in the world","The French and the British were the only two countries in the world The first war in the world was a war in the Aegean Sea, the Black Sea, and the Mediterranean Sea, in which the French and the British were the only two countries in the world to be invaded. The French and the British were the only two countries in the world to be invaded, and the French and the British were the only two countries in the world to be invaded, in the first world war."
Nu kui eve ƒo ƒu wͻ nuwo ƒe amikɛ alo dzi siwo nye ŋusĕmanͻsitͻwo alo nitrͻniwo kple ŋusĕɖealͻtͻwo alo protͻniwo.,"Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Nu kui eve ƒo ƒu wͻ nuwo ƒe amikɛ alo dzi siwo nye ŋusĕmanͻsitͻwo alo nitrͻniwo kple ŋusĕɖealͻtͻwo alo protͻniwo. 
English: The first of the war was a war of the sea, in which the French and the British fought in a war of the sea. The French were in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French","The French were in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French in the Black Sea, the British in the Mediterranean Sea, the French The first of the war was a war of the sea, in which the French and the British fought in a war of the sea."
Esia wɔe be nukpɔhuhɔ̃e siwo kpɔa nu le didiƒe ɖena foto siwo sɔ kple nɔnɔmetatahuhɔ̃e siwo te ŋu ɖena fotowo le didime aɖe tututu tɔ.,"Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Esia wɔe be nukpɔhuhɔ̃e siwo kpɔa nu le didiƒe ɖena foto siwo sɔ kple nɔnɔmetatahuhɔ̃e siwo te ŋu ɖena fotowo le didime aɖe tututu tɔ. 
English: The first war in the Mediterranean was a battle in the Mediterranean Sea, in the year 982, between the Ottoman Turks and the Persians, a battle in which the Ottoman Turks were defeated, and the Persians were captured. The battle was the first in the Mediterranean, and the first in the world, in the name of the Messiah, the Messiah of the Jews, the Messiah of the Christian world, the Messiah of the human race, the Messiah of the","The first war in the Mediterranean was a battle in the Mediterranean Sea, in the year 982, between the Ottoman Turks and the Persians, a battle in which the Ottoman Turks were defeated, and the Persians were captured. The battle was the first in the Mediterranean, and the first in the world, in the name of the Messiah, the Messiah of the Jews, the Messiah of the Christian world, the Messiah of the human race, the Messiah of the"
"Wokpɔ ŋusẽ ɖe intanet-dzi nadzɔdzɔdila siwo wɔa dɔ ɖe wɔna bubuwo teƒe la dzi ɖe susu geɖewo ta: Wotaa mɔ bubu na intanet-dzi nyatakakawo, menye http ɖeɖe ko o.","Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Wokpɔ ŋusẽ ɖe intanet-dzi nadzɔdzɔdila siwo wɔa dɔ ɖe wɔna bubuwo teƒe la dzi ɖe susu geɖewo ta: Wotaa mɔ bubu na intanet-dzi nyatakakawo, menye http ɖeɖe ko o. 
English: In the war, the French and the British were the only two countries in the world to be able to get a full view of the whole Mediterranean Sea, the rest of the world was a mere shadow. The rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world","The rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world, the rest of the world In the war, the French and the British were the only two countries in the world to be able to get a full view of the whole Mediterranean Sea, the rest of the world was a mere shadow."
Amewo kple kɔmpuita ƒe kadodo ƒe ɖoɖo bia be nàgagbugbɔ dzro ale si nèsusu tso nyakakadɔwo ŋu agabu tame le mɔ vovovowo siwo mesɔ pɛpɛpɛ o la ŋu.,"Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Amewo kple kɔmpuita ƒe kadodo ƒe ɖoɖo bia be nàgagbugbɔ dzro ale si nèsusu tso nyakakadɔwo ŋu agabu tame le mɔ vovovowo siwo mesɔ pɛpɛpɛ o la ŋu. 
English: In the war the warships were in the water, but in the end the submarines were forced to go under water to avoid being seen.

Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: In the war the warships were in","Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. In the war the warships were in the water, but in the end the submarines were forced to go under water to avoid being seen."
"Esia va zu nane si xͻ aƒe ɖe amewo dome, gake gakpoa te ŋu ɖuna wagonatiawo.","Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Esia va zu nane si xͻ aƒe ɖe amewo dome, gake gakpoa te ŋu ɖuna wagonatiawo. 
English: In the war the French were able to get a good view of the whole Mediterranean Sea, but in the end the French were able to get a very good view of the whole Mediterranean Sea, and in the end the French were able to get a very good view of the whole Mediterranean Sea, and in the end the French were able to get a very good view of the whole Mediterranean Sea, and in the end the French were able to get a very good view of the whole Mediterranean Sea, and in","In the war the French were able to get a good view of the whole Mediterranean Sea, but in the end the French were able to get a very good view of the whole Mediterranean Sea, and in the end the French were able to get a very good view of the whole Mediterranean Sea, and in the end the French were able to get a very good view of the whole Mediterranean Sea, and in the end the French were able to get a very good view of the whole Mediterranean Sea, and in"
Dzata ŋutsu etɔ̃ kple dzata nyɔnu blaetɔ̃ kpakple woviwo nɔa Pride habɔbɔ ɖesiaɖe me,"Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Dzata ŋutsu etɔ̃ kple dzata nyɔnu blaetɔ̃ kpakple woviwo nɔa Pride habɔbɔ ɖesiaɖe me 
English: In the end of the war, the war was fought in a way that was not so much a battle of the sea, but a battle of the people. The people of the Mediterranean were in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a","In the end of the war, the war was fought in a way that was not so much a battle of the sea, but a battle of the people. The people of the Mediterranean were in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a"
"Togbͻ be, dzͻdzͻmenu sesĭ aɖe le AI me hã la, kͻmpita ƒe dzͻdzͻmeŋutinunya ƒe akpa vevi aɖee nye AI, si wozãna srͻ nu le agbenͻnͻ, nunyanya le mͻ me.","Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Togbͻ be, dzͻdzͻmenu sesĭ aɖe le AI me hã la, kͻmpita ƒe dzͻdzͻmeŋutinunya ƒe akpa vevi aɖee nye AI, si wozãna srͻ nu le agbenͻnͻ, nunyanya le mͻ me. 
English: The Austro-Asiatic war was a major conflict in the world, which began in the year 1501, in the Ottoman Empire, and ended in the year 1504 in the British Empire, in the Middle East, and in the West Indies. In the war, the Ottoman Empire was the largest, the British Empire the second largest, and the Ottoman Empire was the most powerful. The British Empire was the largest, the Ottoman Empire the second largest, and the Ottoman Empire the most powerful.","The Austro-Asiatic war was a major conflict in the world, which began in the year 1501, in the Ottoman Empire, and ended in the year 1504 in the British Empire, in the Middle East, and in the West Indies. The British Empire was the largest, the Ottoman Empire the second largest, and the Ottoman Empire the most powerful. In the war, the Ottoman Empire was the largest, the British Empire the second largest, and the Ottoman Empire was the most powerful."
Nɔmɔmetata la ɖoɖo me ƒe kekeme ɖe eƒe kɔkɔ ŋu (wuieve mama ale be míakpɔ dzesi blibo ƒe mama) nye 3:2.,"Éwé: Atsiaƒuwo ƒoxlã Turkey le go etɔ̃ dzi: Aegea Ƒu la le ɣetoɖoƒe, Ƒu Yibɔ la le anyiehe me eye Mediterranea Ƒu la le dziehe me. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Éwé: Le aʋa la ƒe gɔmedzedze me la, wozɔ mɔ zi geɖe le ƒu la ta me, ke esi wovadze didiƒenudimɔwo wɔm eye wodze dɔ wɔm pɛpɛpɛ la, eva hiã na ƒugɔmeʋawɔʋuwo be woayi ɖe tsi gɔme ale be womagakpɔ wo o. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Éwé: Nɔmɔmetata la ɖoɖo me ƒe kekeme ɖe eƒe kɔkɔ ŋu (wuieve mama ale be míakpɔ dzesi blibo ƒe mama) nye 3:2. 
English: In the war the French and the English were in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in",In the war the French and the English were in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in a position to be in
