text,translated_text,clean_output
Tha am mùthadh a’ cur caochlaideachd ginteil ùr ris agus tha an taghadh gan toirt air falbh o amar nan caochlaideachdan nochdte.,"Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Tha am mùthadh a’ cur caochlaideachd ginteil ùr ris agus tha an taghadh gan toirt air falbh o amar nan caochlaideachdan nochdte. 
English: The first of the war, the first of the two, the first of the three, the first of the four, the first of the six, the first of the ten, the first of the twenty, the first of the twenty-six, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of","The first of the war, the first of the two, the first of the three, the first of the four, the first of the six, the first of the ten, the first of the twenty, the first of the twenty-six, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of the twenty-sixth, the first of"
Obraichidh am boma fisean air a’ phrionnsapal gu bheil cumhachd a dhìth gus niùclas a chur ri chèile le iomadh pròton agus neodron.,"Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Obraichidh am boma fisean air a’ phrionnsapal gu bheil cumhachd a dhìth gus niùclas a chur ri chèile le iomadh pròton agus neodron. 
English: In the war, the British and the French were in a position to control the entire Mediterranean Sea, and in the Mediterranean Sea the French were in a position to control the whole of the Black Sea, and in the Black Sea the French were in a position to control the whole of the Aegean Sea, and in the Aegean Sea the French were in a position to control the whole of the Black Sea, and in the Black Sea the French were in a position to control the whole of the Aeg","In the war, the British and the French were in a position to control the entire Mediterranean Sea, and in the Mediterranean Sea the French were in a position to control the whole of the Black Sea, and in the Black Sea the French were in a position to control the whole of the Aegean Sea, and in the Aegean Sea the French were in a position to control the whole of the Black Sea, and in the Black Sea the French were in a position to control the whole of the Aeg"
Tha dà mhìr san niùclas – neodronan agus pròtonan.,"Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Tha dà mhìr san niùclas – neodronan agus pròtonan. 
English: The first of the two submarines was a small, unmanned, two-seater, four-gun, two-gun, and two-gun submersible, the second a large, unmanned, four-gun, and two-gun submersible, the third a small, unmanned, two-gun, and two-gun submersible, the fourth a large, unmanned, two-gun, and two-gun submersible, the fifth","The first of the two submarines was a small, unmanned, two-seater, four-gun, two-gun, and two-gun submersible, the second a large, unmanned, four-gun, and two-gun submersible, the third a small, unmanned, two-gun, and two-gun submersible, the fourth a large, unmanned, two-gun, and two-gun submersible, the fifth"
Thug seo cothrom do lionsaichean sùmaidh a bhith a’ togail dhealbhan de mhathas a ghabhas coimeasadh ris na dealbhan a thog lionsaichean le fad fòcais suidhichte.,"Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Thug seo cothrom do lionsaichean sùmaidh a bhith a’ togail dhealbhan de mhathas a ghabhas coimeasadh ris na dealbhan a thog lionsaichean le fad fòcais suidhichte. 
English: The first of the two main warships, the S.A.S.A.C.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.","The first of the two main warships, the S.A.S.A.C.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S."
Tha iad nas fheàrr na progsaidhean-lìn air sgàth grunn adhbharan: Tha iad ag ath-stiùireadh trafaig eadar-lìn sam bith ’s chan ann dìreach http.,"Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Tha iad nas fheàrr na progsaidhean-lìn air sgàth grunn adhbharan: Tha iad ag ath-stiùireadh trafaig eadar-lìn sam bith ’s chan ann dìreach http. 
English: In the war, the French and the English were the only two countries that were able to get a good view of the whole of the island, and the rest of the world, which was the case in the early part of the war.","In the war, the French and the English were the only two countries that were able to get a good view of the whole of the island, and the rest of the world, which was the case in the early part of the war."
Tha dealbhadh eadar-ghnìomhach a’ toirt ort ath-chnuasachadh a dhèanamh air do bheachdan a thaobh riochdachadh mheadhanan agus ionnsachadh a bhith a’ smaoineachadh air dòighean neo-dhìreach.,"Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Tha dealbhadh eadar-ghnìomhach a’ toirt ort ath-chnuasachadh a dhèanamh air do bheachdan a thaobh riochdachadh mheadhanan agus ionnsachadh a bhith a’ smaoineachadh air dòighean neo-dhìreach. 
English: In the war, the British were the only naval power in the Mediterranean Sea, and the French were the only naval power in the Black Sea. In the war, the French were the only naval power in the Mediterranean Sea, and the British were the only naval power in the Black Sea. In the war, the French were the only naval power in the Mediterranean Sea, and the British were the only naval power in the Black Sea. In the war, the French were the only naval power in the","In the war, the French were the only naval power in the In the war, the French were the only naval power in the Mediterranean Sea, and the British were the only naval power in the Black Sea. In the war, the British were the only naval power in the Mediterranean Sea, and the French were the only naval power in the Black Sea."
"Thàinig seo gu bhith na ghnàth-chleachdadh, ach bhiodh an t-iarann a’ caitheamh barrachd de dh’fhiodh cuibhlichean nam feun-charbadan.","Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Thàinig seo gu bhith na ghnàth-chleachdadh, ach bhiodh an t-iarann a’ caitheamh barrachd de dh’fhiodh cuibhlichean nam feun-charbadan. 
English: The first of the two main warships, the first to be built in the early seventeenth century, was the Royal Navy’s HMS Aegean, which was a small, light, and maneuverable vessel, and the second, the Royal Navy’s HMS Aegean, was a large, strong, and maneuverable vessel, which was a more powerful, and maneuverable, version of the first. The Royal Navy’s Aegean was a","The first of the two main warships, the first to be built in the early seventeenth century, was the Royal Navy’s HMS Aegean, which was a small, light, and maneuverable vessel, and the second, the Royal Navy’s HMS Aegean, was a large, strong, and maneuverable vessel, which was a more powerful, and maneuverable, version of the first. The Royal Navy’s Aegean was a"
Tha eadar aon is trì fireannach inbheach a tha càirdeach ri chèile ann an lir agus suas ri trithead boireannach is cuilean.,"Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Tha eadar aon is trì fireannach inbheach a tha càirdeach ri chèile ann an lir agus suas ri trithead boireannach is cuilean. 
English: The first of the two main warships, the first in the line, was the S.A.S.A.A.A.S.A.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S","The first of the two main warships, the first in the line, was the S.A.S.A.A.A.S.A.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S.A.S"
"Ged a tha smaoinicheas tu air ficsean saidheansail gu tric nuair a chluinneas tu mu IF, tha i na meur glè chudromach de dh’eòlas coimpiutaireachd, ’s a’ dèiligeadh ri beusan, ionnsachadh agus gleusadh tùrail ann an inneal.","Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Ged a tha smaoinicheas tu air ficsean saidheansail gu tric nuair a chluinneas tu mu IF, tha i na meur glè chudromach de dh’eòlas coimpiutaireachd, ’s a’ dèiligeadh ri beusan, ionnsachadh agus gleusadh tùrail ann an inneal. 
English: In the war, the French and the British were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were","In the war, the French and the British were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were in a position to take the lead in the war, but the French were"
"Ri linn sin, canar gur e 3:2 an co-mheas deilbh aig an fhòrmat seo (ga roinneadh le dà dheug airson an co-mheas as sìmplidhe fhaighinn a tha na àireamh shlàn).","Scottish Gaelic: Tha muir air trì taobhan na Tuirce: Am Muir Àigeanach san iar, am Muir Dubh mu thuath agus am Muir Meadhanach mu dheas. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Scottish Gaelic: Mu thùs a’ chogaidh bhiodh iad mar bu trice a’ siubhal air uachdar a’ chuain, ach nuair a dh’fhàs an ràdar nas adhartaiche ’s nas cuimsiche, b’ fheudar do na bàtaichean-aigeil a dhol fo uisge gus nach fhaicteadh iad. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Scottish Gaelic: Ri linn sin, canar gur e 3:2 an co-mheas deilbh aig an fhòrmat seo (ga roinneadh le dà dheug airson an co-mheas as sìmplidhe fhaighinn a tha na àireamh shlàn). 
English: The war was a very long one, and the first part of the war was fought in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the","The war was a very long one, and the first part of the war was fought in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the war in the Black Sea, in the early part of the"
