text,translated_text,clean_output
"Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go.","Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go. 
English: The war in the Mediterranean was a major conflict, and the Mediterranean was the only area in the world to be occupied by the Ottoman Empire. The war was a major cause of the disintegration of the Ottoman Empire, and the war was a major cause of the disintegration of the Ottoman Empire. The war in the Mediterranean was a major cause of the disintegration of the Ottoman Empire, and the war was a major cause of the disintegration of the Ottoman Empire. The war in the Mediterranean was a","The war in the Mediterranean was a major conflict, and the Mediterranean was the only area in the world to be occupied by the Ottoman Empire. The war in the Mediterranean was a major cause of the disintegration of the Ottoman Empire, and the war was a major cause of the disintegration of the Ottoman Empire. The war was a major cause of the disintegration of the Ottoman Empire, and the war was a major cause of the disintegration of the Ottoman Empire. The war in the Mediterranean was a"
"Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth.","Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth. 
English: The war in the Mediterranean was a major conflict in the Mediterranean Sea, in the area of the Black Sea, the Black Sea to the north and the Black Sea to the south. In the war, the British and the French were in the Mediterranean, while the United States and the United Kingdom were in the Black Sea. The French and the United States were in the Black Sea, while the United Kingdom and the United States were in the Mediterranean Sea. The French and the United States were in the Black","The war in the Mediterranean was a major conflict in the Mediterranean Sea, in the area of the Black Sea, the Black Sea to the north and the Black Sea to the south. In the war, the British and the French were in the Mediterranean, while the United States and the United Kingdom were in the Black Sea. The French and the United States were in the Black Sea, while the United Kingdom and the United States were in the Mediterranean Sea. The French and the United States were in the Black"
Niuklias oting'o gik moko ariyo- niutrons gi protons.,"Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Niuklias oting'o gik moko ariyo- niutrons gi protons. 
English: The war was fought in the Black Sea, the Mediterranean Sea and the Aegean Sea. In the Black Sea, the British, French and Italian submarines were in the position of a trench, while the French and Italian were in the position of a trench and a trench, and the French, Italian, and British were in the position of a trench and a trench. In the Mediterranean Sea, the British, French, and Italian submarines were in the position of a tr","In the Black Sea, the British, French and Italian submarines were in the position of a trench, while the French and Italian were in the position of a trench and a trench, and the French, Italian, and British were in the position of a trench and a trench. The war was fought in the Black Sea, the Mediterranean Sea and the Aegean Sea. In the Mediterranean Sea, the British, French, and Italian submarines were in the position of a tr"
Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni.,"Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni. 
English: In the war the first two submarines were used in the first line, the rest in the second line. In the first line the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was","In the first line the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was a small submarine, the rest a large one, the first one was In the war the first two submarines were used in the first line, the rest in the second line."
"Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende.","Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende. 
English: The first war in the Mediterranean was fought in the year 1219, in the year 1219, the first war in the Mediterranean was fought in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219,","The first war in the Mediterranean was fought in the year 1219, in the year 1219, the first war in the Mediterranean was fought in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219, in the year 1219,"
Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore.,"Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore. 
English: In the war the French and the British were the only two countries in the world to be able to get to the Mediterranean Sea, the rest of the world was in a state of total isolation. The French and the British were the only two countries in the world to be able to get to the Mediterranean Sea, the rest of the world was in a state of total isolation.","The French and the British were the only two countries in the world to be able to get to the Mediterranean Sea, the rest of the world was in a state of total isolation. In the war the French and the British were the only two countries in the world to be able to get to the Mediterranean Sea, the rest of the world was in a state of total isolation."
"Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go.","Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go. 
English: The first line of the line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Aegean Sea, the first line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Aegean Sea, the first line of the Black Sea, the first line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Mediterranean Sea","The first line of the line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Aegean Sea, the first line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Aegean Sea, the first line of the Black Sea, the first line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Mediterranean Sea, the first line of the Black Sea, the first line of the Mediterranean Sea"
"Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi.","Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi. 
English: The first war of the century, the first in the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of","The first war of the century, the first in the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of the world, the first in the history of"
"Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin.","Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin. 
English: The war was fought in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in","The war was fought in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in the Black Sea, in"
Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.,"Dholuo: Piny mar Turkey oluor kod nam ebethene adek: nam mar Aegean yo-yimbo, nam marateng' yo-nyandwat, kod nam mar Mediterranean yo-milambo. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Dholuo: Ka ne lweny chakore thothne ne giwuotho ka gin ewi nam, to kaka rada nochako dongore kendo bedo mahulo adiera, meli mag sabmarin koro ne ochun mondo oringi e bwo nam mondo ne gipondi kik nen gi. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Dholuo: Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2. 
English: The first of the three warships, the T-Type, was built in the early part of the war, and the second, the T-Type II, was built in the late part of the war. The third, the T-Type III, was built in the early part of the war, and the T-Type IV, was built in the late part of the war. The T-Type I, the first of the T-Type II, was built in the early part","The third, the T-Type III, was built in the early part of the war, and the T-Type IV, was built in the late part of the war. The first of the three warships, the T-Type, was built in the early part of the war, and the second, the T-Type II, was built in the late part of the war. The T-Type I, the first of the T-Type II, was built in the early part"
