text,translated_text,clean_output
تزيد الطفرة اختلافات وراثيّة جديدة، وينحيها الانتقاء من تجميعة الاختلافات التعبيريّة.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: تزيد الطفرة اختلافات وراثيّة جديدة، وينحيها الانتقاء من تجميعة الاختلافات التعبيريّة. 
English: The increase in genetic diversity leads to new genetic differences, which are then selected from the expression differences.

Tunisian Spoken Arabic: في بعض الأحيان، يكون هناك أكثر من نوع من التزاوج بين الأنواع، ولكن في بعض الأحيان يكون هناك نوع واحد فقط من التزاوج بين الأنواع. 
English: Sometimes there are more than one type of mating between species, but sometimes there is only one type of mating between species.

Tunisian Spoken Arabic: في بعض الأحيان، يكون هناك","The increase in genetic diversity leads to new genetic differences, which are then selected from the expression differences. Tunisian Spoken Arabic: في بعض الأحيان، يكون هناك أكثر من نوع من التزاوج بين الأنواع، ولكن في بعض الأحيان يكون هناك نوع واحد فقط من التزاوج بين الأنواع."
تعمل القنبلة الانشطارية على أساس أنها تجمع الطاقة لتكوِّن نواة مليئة بالبروتونات والنيوترونات.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: تعمل القنبلة الانشطارية على أساس أنها تجمع الطاقة لتكوِّن نواة مليئة بالبروتونات والنيوترونات. 
English: The nuclear bomb works on the principle that it collects energy to form a nucleus full of protons and neutrons.

Tunisian Spoken Arabic: في عام 1945، كان هناك حوالي 1.5 مليون شخص في ألمانيا، منهم حوالي 1.2 مليون شخص في ألمانيا الشرقية. 
English: In 1945 there were about 1.5 million people in Germany, of whom about 1.2 million were in East Germany.

Tunisian Spoken Arabic: في عام 1945، كان هناك حوالي 1.5 مليون",The nuclear bomb works on the principle that it collects energy to form a nucleus full of protons and neutrons. Tunisian Spoken Arabic: في عام 1945، كان هناك حوالي 1.5 مليون شخص في ألمانيا، منهم حوالي 1.2 مليون شخص في ألمانيا الشرقية.
تتكون النواة من جسيمين - النيوترونات والبروتونات.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: تتكون النواة من جسيمين - النيوترونات والبروتونات. 
English: The nucleus consists of two particles - neutrons and protons.

Tunisian Spoken Arabic: في عام 1967، تم اكتشاف أن البروتونات لها كتلة، وأن كتلة البروتون تساوي كتلة الإلكترون، وأن كتلة الإلكترون تساوي كتلة النيوترون. 
English: In 1967, it was discovered that the proton has mass, and that the mass of the proton equals the mass of the electron, and that the mass of the electron equals the mass of the neutron.

Tunisian Spoken Arabic: في",Tunisian Spoken Arabic: في عام 1967، تم اكتشاف أن البروتونات لها كتلة، وأن كتلة البروتون تساوي كتلة الإلكترون، وأن كتلة الإلكترون تساوي كتلة النيوترون. The nucleus consists of two particles - neutrons and protons.
الشيء هذا أتاح لعدسات التكبير والتصغير إنتاج صور عندها جودة تشبه الي حققتها عدسات الطول البؤري الثابت.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: الشيء هذا أتاح لعدسات التكبير والتصغير إنتاج صور عندها جودة تشبه الي حققتها عدسات الطول البؤري الثابت. 
English: This allowed the zoom lenses to produce images with the quality of those achieved by fixed-focus lenses.

Tunisian Spoken Arabic: في الحرب العالمية الثانية، كان هناك أكثر من 100 ألف غواصة في الخدمة، ولكن في عام 1945، كان هناك فقط حوالي 30 غواصة في الخدمة. 
English: During World War II there were more than 100,000 submarines in service, but in 1945 there were only about 30 submarines in service.

Tunisian Spoken Arabic: في عام",This allowed the zoom lenses to produce images with the quality of those achieved by fixed-focus lenses. Tunisian Spoken Arabic: في الحرب العالمية الثانية، كان هناك أكثر من 100 ألف غواصة في الخدمة، ولكن في عام 1945، كان هناك فقط حوالي 30 غواصة في الخدمة.
 تتميز على بروكسي الويب لعدة أسباب: هي تعاود توجه حركات المرور الكل على الإنترنت، ومش كنشي عبر بروتوكول نقل النص الفائق.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic:  تتميز على بروكسي الويب لعدة أسباب: هي تعاود توجه حركات المرور الكل على الإنترنت، ومش كنشي عبر بروتوكول نقل النص الفائق. 
English: They are distinguished from the web proxy for several reasons: they re-direct all traffic on the Internet, and they do not use the hypertext transfer protocol over the text protocol.

Tunisian Spoken Arabic:  في عام 2004، تم إنشاء أول شبكة إنترنت في العالم من قبل شركة الاتصالات التركية، وهي شركة تيليكوم التركية، والتي كانت مملوكة من قبل الدولة التركية. في عام 2005، تم إنشاء أول شبكة إنترنت في العالم من قبل شركة الاتصالات التركية، وهي شركة تيليكوم","في عام 2005، تم إنشاء أول شبكة إنترنت في العالم من قبل شركة الاتصالات التركية، وهي شركة تيليكوم They are distinguished from the web proxy for several reasons: they re-direct all traffic on the Internet, and they do not use the hypertext transfer protocol over the text protocol. Tunisian Spoken Arabic:  في عام 2004، تم إنشاء أول شبكة إنترنت في العالم من قبل شركة الاتصالات التركية، وهي شركة تيليكوم التركية، والتي كانت مملوكة من قبل الدولة التركية."
التصميم التفاعلي يتطلب تعاود تقييم افتراضاتك عالإنتاج الإعلامي وتتعلم تفكر بأساليب جديدة.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: التصميم التفاعلي يتطلب تعاود تقييم افتراضاتك عالإنتاج الإعلامي وتتعلم تفكر بأساليب جديدة. 
English: Interactive design requires you to re-evaluate your assumptions about the production of media and learn to think in new ways.

Tunisian Spoken Arabic: في بعض الأحيان، يكون من الصعب معرفة ما إذا كان الشخص الذي تتحدث معه يتحدث اللغة العربية أو التركية. في بعض الأحيان، يكون من الصعب معرفة ما إذا كان الشخص الذي تتحدث معه يتحدث اللغة العربية أو التركية. في بعض الأحيان، يكون من الصعب معرفة ما إذا كان الشخص الذي تتحدث معه يتحدث اللغة العربية أو التركية. في بعض الأحيان، يكون من الصعب",في بعض الأحيان، يكون من الصعب معرفة ما إذا كان الشخص الذي تتحدث معه يتحدث اللغة العربية أو التركية. Interactive design requires you to re-evaluate your assumptions about the production of media and learn to think in new ways. Tunisian Spoken Arabic: في بعض الأحيان، يكون من الصعب معرفة ما إذا كان الشخص الذي تتحدث معه يتحدث اللغة العربية أو التركية. في بعض الأحيان، يكون من الصعب
وولات هذه كالعرف اللي يتبعوه، إلا أنو الحديد كلى العجالي اللوح متاع الفقونات.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: وولات هذه كالعرف اللي يتبعوه، إلا أنو الحديد كلى العجالي اللوح متاع الفقونات. 
English: And they do not follow this custom, but iron is all that is left of the wooden planks of the torpedoes.

Tunisian Spoken Arabic: وولات هذه كالعرف اللي يتبعوه، إلا أنو الحديد كلى العجالي اللوح متاع الفقونات. 
English: And they do not follow this custom, but iron is all that is left of the wooden planks of the torpedoes.

Tunisian Spoken Arabic: وولات هذه كالعرف اللي يتبعوه،","And they do not follow this custom, but iron is all that is left of the wooden planks of the torpedoes. Tunisian Spoken Arabic: وولات هذه كالعرف اللي يتبعوه، إلا أنو الحديد كلى العجالي اللوح متاع الفقونات."
تتكون عائلة الأسود من ذكر لثلاثة ذكور بالغين، مع أناثي وشبال يوصل عددهم لثلاثين.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: تتكون عائلة الأسود من ذكر لثلاثة ذكور بالغين، مع أناثي وشبال يوصل عددهم لثلاثين. 
English: The Black family consists of a male for three adult males, with females and cubs that number up to thirty.

Tunisian Spoken Arabic: في عام 1942، تم إرسال أول غواصة نووية إلى البحر الأسود، وهي غواصة نووية من طراز يو إس إس إس آر إم إس (USS USS RSM S) تحت قيادة القبطان هنري هينلي. تم إرسالها إلى البحر الأسود من أجل تدمير الأسطول الروسي في البحر الأسود. تم إرسالها","تم إرسالها The Black family consists of a male for three adult males, with females and cubs that number up to thirty. Tunisian Spoken Arabic: في عام 1942، تم إرسال أول غواصة نووية إلى البحر الأسود، وهي غواصة نووية من طراز يو إس إس إس آر إم إس (USS USS RSM S) تحت قيادة القبطان هنري هينلي. تم إرسالها إلى البحر الأسود من أجل تدمير الأسطول الروسي في البحر الأسود."
بالرغم من أن الذكاء الاصطناعي عندو دلالة قوية للخيال العلمي، فإنو يشكل فرع هام برشا من علوم الكمبيوتر، ويتعامل مع السلوك والتعلم والتكيف الذكي في الماكينة.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: بالرغم من أن الذكاء الاصطناعي عندو دلالة قوية للخيال العلمي، فإنو يشكل فرع هام برشا من علوم الكمبيوتر، ويتعامل مع السلوك والتعلم والتكيف الذكي في الماكينة. 
English: Artificial intelligence has strong signs of science fiction, but it is an important branch of computer science, dealing with intelligent behaviour, learning and adaptive behaviour in machines.

Tunisian Spoken Arabic: في عام 2017، تم نشر دراسة في مجلة Nature Communications، والتي وجدت أن الذكاء الاصطناعي يمكن أن يتنبأ بدقة بنسبة 90٪ من الحالات التي يمكن أن تحدث في المستقبل، مما يشير إلى أن الذكاء الاصطناعي قد يكون قادرًا على التنبؤ بالمستقبل. 
English: In 2017, a study","Tunisian Spoken Arabic: في عام 2017، تم نشر دراسة في مجلة Nature Communications، والتي وجدت أن الذكاء الاصطناعي يمكن أن يتنبأ بدقة بنسبة 90٪ من الحالات التي يمكن أن تحدث في المستقبل، مما يشير إلى أن الذكاء الاصطناعي قد يكون قادرًا على التنبؤ بالمستقبل. Artificial intelligence has strong signs of science fiction, but it is an important branch of computer science, dealing with intelligent behaviour, learning and adaptive behaviour in machines."
نسبة أبعاد الصورة هاذي تكون (كيف نقسمو على 12 باش نتحصلو على نسبة أبسط عدد صحيح) تكون 3:2.,"Tunisian Spoken Arabic: تركيا داير بيها البحر من ثلاثة جهات: بحر إيجه من الغرب ، والبحر الأسود من الشمال والبحر الأبيض المتوسط من الجنوب. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Tunisian Spoken Arabic: في بداية الحرب كانوا يسافروا فوق الماء، ولكن وقا الي بدا الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء باش تتفادى أنهم يكشفوها. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Tunisian Spoken Arabic: نسبة أبعاد الصورة هاذي تكون (كيف نقسمو على 12 باش نتحصلو على نسبة أبسط عدد صحيح) تكون 3:2. 
English: The image dimensions are (how we divide it by 12 to get a simpler number) are 3:2.

Tunisian Spoken Arabic: في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض",Tunisian Spoken Arabic: في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض الأحيان يكونو في بعض The image dimensions are (how we divide it by 12 to get a simpler number) are 3:2.
