text,translated_text,clean_output
Stökkbreyting bætir við nýjum erfðabreytileika og valið fjarlægir það úr mengi fyrir tjáðan breytileika.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Stökkbreyting bætir við nýjum erfðabreytileika og valið fjarlægir það úr mengi fyrir tjáðan breytileika. 
English: The submarine war was fought mainly at sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.","The submarine war was fought mainly at sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen."
Klofnunarsprengjan virkar eftir þeirri meginreglu að það þarf orku til að setja saman kjarna með mörgum róteindum og nifteindum.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Klofnunarsprengjan virkar eftir þeirri meginreglu að það þarf orku til að setja saman kjarna með mörgum róteindum og nifteindum. 
English: The first war was fought between the British Empire and the Russian Empire.",The first war was fought between the British Empire and the Russian Empire.
"Kjarninn er myndaður af tveimur ögnum , nifteindum og róteindum.","Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Kjarninn er myndaður af tveimur ögnum, nifteindum og róteindum. 
English: The Turkish army is made up of the regular army, the special forces and the navy.","The Turkish army is made up of the regular army, the special forces and the navy."
Þetta hefur gert aðdráttarlinsum kleift að framleiða myndir af sambærilegum gæðum og fást með linsum með fasta brennivídd.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Þetta hefur gert aðdráttarlinsum kleift að framleiða myndir af sambærilegum gæðum og fást með linsum með fasta brennivídd. 
English: The war was fought mainly in the Atlantic Ocean, but the Allies also used the Mediterranean Sea and the North Sea.","The war was fought mainly in the Atlantic Ocean, but the Allies also used the Mediterranean Sea and the North Sea."
"Þeir eru fremri en vefmiðlari af nokkrum ástæðum: Þeir endurbeina allri netumferð, ekki aðeins http.","Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Þeir eru fremri en vefmiðlari af nokkrum ástæðum: Þeir endurbeina allri netumferð, ekki aðeins http. 
English: The submarines were equipped with a range of weapons, including torpedoes, mines and machine guns.","The submarines were equipped with a range of weapons, including torpedoes, mines and machine guns."
Gagnvirk hönnun kallar á endurmat þitt á fyrri ályktunum hvað varðar framleiðslu margmiðlunarefnis og þú lærir að hugsa á ólínulegan hátt.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Gagnvirk hönnun kallar á endurmat þitt á fyrri ályktunum hvað varðar framleiðslu margmiðlunarefnis og þú lærir að hugsa á ólínulegan hátt. 
English: The first war was fought between the two countries over the island of Cyprus.",The first war was fought between the two countries over the island of Cyprus.
"Þetta var alvanalegt, en járnið olli meiri sliti á tréhjólum vagnanna.","Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Þetta var alvanalegt, en járnið olli meiri sliti á tréhjólum vagnanna. 
English: The war lasted for two years, during which time the submarines attacked each other from time to time.","The war lasted for two years, during which time the submarines attacked each other from time to time."
Hópar samanstanda af 1-3 fullorðnum karldýrum ásamt allt að 30 kvendýrum og ungum.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Hópar samanstanda af 1-3 fullorðnum karldýrum ásamt allt að 30 kvendýrum og ungum. 
English: The average number of crew members on a submarine is one to three officers and thirty men.",The average number of crew members on a submarine is one to three officers and thirty men.
"Gervigreind hefur sterk tengsl við vísindaskáldskap, en gervigreind er í reynd mjög mikilvæg grein innan tölvuvísindanna og fæst við hegðun, nám og snjalla aðlögun véla.","Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Gervigreind hefur sterk tengsl við vísindaskáldskap, en gervigreind er í reynd mjög mikilvæg grein innan tölvuvísindanna og fæst við hegðun, nám og snjalla aðlögun véla. 
English: The British Empire was a vast empire that stretched from the Atlantic Ocean to the Pacific Ocean.",The British Empire was a vast empire that stretched from the Atlantic Ocean to the Pacific Ocean.
Myndhlutfall þessa sniðs (deilt með tólf til að fá einfaldasta hlutfallið með heilli tölu) er því sagt vera 3:2.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Myndhlutfall þessa sniðs (deilt með tólf til að fá einfaldasta hlutfallið með heilli tölu) er því sagt vera 3:2. 
English: The aspect ratio of this film (divided by twelve to obtain the simplest whole-number ratio) is therefore 3:2.",The aspect ratio of this film (divided by twelve to obtain the simplest whole-number ratio) is therefore 3:2.
Gervihnattasími kemur almennt séð ekki í stað farsíma vegna þess að maður þarf að vera utandyra og í sjónlínu við gervihnöttinn til að geta hringt.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Gervihnattasími kemur almennt séð ekki í stað farsíma vegna þess að maður þarf að vera utandyra og í sjónlínu við gervihnöttinn til að geta hringt. 
English: The British Empire was a great power, which included India, Australia, South Africa and the Empire of Canada.","The British Empire was a great power, which included India, Australia, South Africa and the Empire of Canada."
"Vegir fyrir hestakerrur voru aðeins lagðir með samliggjandi borðum úr timbri, en hestar gátu samt sem áður dregið kerrurnar á meiri hraða og dregið þyngri farm en á hrjúfari vegum þess tíma.","Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Vegir fyrir hestakerrur voru aðeins lagðir með samliggjandi borðum úr timbri, en hestar gátu samt sem áður dregið kerrurnar á meiri hraða og dregið þyngri farm en á hrjúfari vegum þess tíma. 
English: The war was fought mostly on land, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.","The war was fought mostly on land, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen."
"Allt frá forneskju hefur verið vitneskja um frumefni eins og gull, silfur og kopar. Allt þetta má finna í náttúrunni í náttúrulegu formi sínu. Nokkuð einfalt er að vinna efnin með frumstæðum verkfærum.","Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Allt frá forneskju hefur verið vitneskja um frumefni eins og gull, silfur og kopar. Allt þetta má finna í náttúrunni í náttúrulegu formi sínu. Nokkuð einfalt er að vinna efnin með frumstæðum verkfærum. 
English: The country is divided into two main regions: the plains of the west and the mountains of the east.",The country is divided into two main regions: the plains of the west and the mountains of the east.
Hjólið hefur breytt heiminum á ótrúlegan hátt. Það stærsta sem hjólið hefur gert fyrir okkur er að veita okkur mun auðveldari og hraðari flutninga.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Hjólið hefur breytt heiminum á ótrúlegan hátt. Það stærsta sem hjólið hefur gert fyrir okkur er að veita okkur mun auðveldari og hraðari flutninga. 
English: The war lasted until the end of the Second World War. The longest war lasted until the end of the First World War.",The war lasted until the end of the Second World War. The longest war lasted until the end of the First World War.
Þetta er gert til að tryggja að myndin nái yfir allan skjáinn. Það er kallað klipptur rammi.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Þetta er gert til að tryggja að myndin nái yfir allan skjáinn. Það er kallað klipptur rammi. 
English: This is how the war began, when the Allies invaded the island of Sicily.","This is how the war began, when the Allies invaded the island of Sicily."
Þýskir kafbátar voru kallaði U-bátar. Þjóðverjar voru mjög góðir í að sigla og stýra kafbátum sínum.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Þýskir kafbátar voru kallaði U-bátar. Þjóðverjar voru mjög góðir í að sigla og stýra kafbátum sínum. 
English: The submarines were called U-Boats. The submariners were called U-Bootmen.",The submariners were called U-Bootmen. The submarines were called U-Boats.
Þrátt fyrir að efnislegt ástand þess geti breyst helst efnafræðilegt ástand þess eins.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Þrátt fyrir að efnislegt ástand þess geti breyst helst efnafræðilegt ástand þess eins. 
English: The war lasted until the end of World War II, when the Allies won and the Germans surrendered.","The war lasted until the end of World War II, when the Allies won and the Germans surrendered."
Yfirborðsspenna á sér stað því vatnssameindir við vatnsyfirborðið laðast að hver annarri meira en að loftsameindum fyrir ofan þær.,"Icelandic: Tyrkland er með höf á þrjá vegu: að vestan Eyjahaf, að norðan Svartahaf og að sunnan Miðjarðarhaf. 
English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south.

Icelandic: Í upphafi styrjaldarinnar ferðuðust þeir aðallega eftir yfirborði sjávar en eftir því sem ratsjáin þróaðist og varð nákvæmari urðu kafbátarnir að sigla neðansjávar til að koma í veg fyrir að þeir sæjust. 
English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen.

Icelandic: Yfirborðsspenna á sér stað því vatnssameindir við vatnsyfirborðið laðast að hver annarri meira en að loftsameindum fyrir ofan þær. 
English: The war lasted until the end of World War II, when the Allies and the Axis signed the armistice.","The war lasted until the end of World War II, when the Allies and the Axis signed the armistice."
