text,translated_text,clean_output
"La mutacion apond de variacion genetica novèla, e la seleccion la lèva de la sèrva de la variacion exprimida.","Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: La mutacion apond de variacion genetica novèla, e la seleccion la lèva de la sèrva de la variacion exprimida. English: The genetic mutations of the new variants, and the selection the lifting the expression of the variants.","The genetic mutations of the new variants, and the selection the lifting the expression of the variants."
La bomba de fission fonciona segon lo principi que cal d'energia per botar amassa un nuclèu e fòrces protons e neutrons.,"Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: La bomba de fission fonciona segon lo principi que cal d'energia per botar amassa un nuclèu e fòrces protons e neutrons. English: The fission bomb is fired in a second to determine the energy needed to burn a nucleus and produce protons and neutrons.",The fission bomb is fired in a second to determine the energy needed to burn a nucleus and produce protons and neutrons.
Lo nuclèu consistís de doas particulas - de neutrons e de protons.,"Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: Lo nuclèu consistís de doas particulas - de neutrons e de protons. English: The nuclei consisted of two particles - neutrons and protons.",The nuclei consisted of two particles - neutrons and protons.
Aquò a permés als zooms de donar de fotografias d’una qualitat comparabla a la que s’obten amb d’objectius de longor focala fixa.,"Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: Aquò a permés als zooms de donar de fotografias d’una qualitat comparabla a la que s’obten amb d’objectius de longor focala fixa. English: This has allowed the zooms to give a comparable image to that obtained with a fixed focal length lens.",This has allowed the zooms to give a comparable image to that obtained with a fixed focal length lens.
"Son superiors als mandataris de webs per divèrsas rasons. Desrotan tot lo trafic Internet, pas sonque l'http.","Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: Son superiors als mandataris de webs per divèrsas rasons. Desrotan tot lo trafic Internet, pas sonque l'http. English: They are superior to the leaders of the webs for many reasons. They detour all the traffic Internet, not because the HTTP.","They detour all the traffic Internet, not because the HTTP. They are superior to the leaders of the webs for many reasons."
Lo design interactiu necessita que reavaloretz vòstras suposicions a prepaus de la produccion mediatica e d’aprendre a pensar d’un biais non-linear.,"Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: Lo design interactiu necessita que reavaloretz vòstras suposicions a prepaus de la produccion mediatica e d’aprendre a pensar d’un biais non-linear. English: The interactive design needs to be re-evaluated and learn to think in a non-linear way.",The interactive design needs to be re-evaluated and learn to think in a non-linear way.
"Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons.","Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons. English: This was a common practice, but the fact that it caused wear on the wood of the wagons made it a bad idea. Occitan: Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons.","Occitan: Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons. This was a common practice, but the fact that it caused wear on the wood of the wagons made it a bad idea."
"Los grops de leons son compausats d’un a tres mascles adults de meteissa familha, amassa amb tant coma trenta femèlas e cadèls.","Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: Los grops de leons son compausats d’un a tres mascles adults de meteissa familha, amassa amb tant coma trenta femèlas e cadèls. English: The male lions are divided into three groups of three, ate with as many as 30 females and calves. Occitan: L’aiga de la mar es de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar","The male lions are divided into three groups of three, ate with as many as 30 females and calves. Occitan: L’aiga de la mar es de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar, de la mar"
"E mai se l'intelligéncia artificiala a una connotacion fòrta de sciéncia ficcion, l'IA forma una branca fòrça importanta de l’informatica, en s'ocupant del comportament, l’aprendissatge e de l’adaptacion intelligenta dins una maquina.","Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: E mai se l'intelligéncia artificiala a una connotacion fòrta de sciéncia ficcion, l'IA forma una branca fòrça importanta de l’informatica, en s'ocupant del comportament, l’aprendissatge e de l’adaptacion intelligenta dins una maquina. English: The artificial intelligence (AI) is a branch of computer science that is concerned with the behavior, learning, and adapting intelligently in a computer. Occitan: L’aplicacion de l’aplicacion de la IA a la vida real, a la vida de la gente, a la vida de la natura, a la vida de la societat, a la vida de la cultura, a la vida de la política, a la vida de la economía, a la vida de la","The artificial intelligence (AI) is a branch of computer science that is concerned with the behavior, learning, and adapting intelligently in a computer. Occitan: L’aplicacion de l’aplicacion de la IA a la vida real, a la vida de la gente, a la vida de la natura, a la vida de la societat, a la vida de la cultura, a la vida de la política, a la vida de la economía, a la vida de la"
Lo coeficient d'aspècte d'aqueste format (en devesissent per dotze per obtenir lo rapòrt de nombres entièrs mai simple) es doncas dich d'èsser de 3:2.,"Occitan: Turquia es enrodada per de mars sus sos tres costats: la Mar Egèa a l’oèst, la Mar Negra al nòrd e la Mar Mediterranèa al sud. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Occitan: Al començament de la guèrra viatjavan subretot sus la mar, mas estent que los radars comencèron a èsser desvolopats e a venir pus precises los sosmarins foguèron forçats a anar jos l’aiga per evitar d’èsser vistes. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Occitan: Lo coeficient d'aspècte d'aqueste format (en devesissent per dotze per obtenir lo rapòrt de nombres entièrs mai simple) es doncas dich d'èsser de 3:2. English: The coefficient of this form (each of the number must be 12 to get the right answer) is therefore a fraction of 2, which is equal to a decimal.","The coefficient of this form (each of the number must be 12 to get the right answer) is therefore a fraction of 2, which is equal to a decimal."
