text,translated_text
"Ukwalula kwa nsandesande sha mfyalo kulalundako umusango naumbi, elyo ukusalulula kulaufumyako ku musango wa mfyalo iyasokololwa.","Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Ukwalula kwa nsandesande sha mfyalo kulalundako umusango naumbi, elyo ukusalulula kulaufumyako ku musango wa mfyalo iyasokololwa. English: The sea is a great place to be, but it is also a great place to be alone. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka."
Ibomba lya kupatulula (fission) libomba mu musango wakuti lilasenda amaka pakubika pamo nyukilyasi nama pulotoni pamo nama nyutuloni ayengi.,"Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Ibomba lya kupatulula (fission) libomba mu musango wakuti lilasenda amaka pakubika pamo nyukilyasi nama pulotoni pamo nama nyutuloni ayengi. English: The submarine was able to reach the sea in a short time, but the submarine was not able to reach the sea in a long time. Bemba: Ibomba lya kupatulula (fission) libomba mu musango wakuti lilasenda amaka pakubika pamo nyukilyasi nama pulotoni pamo nama nyutuloni ayengi. English: The submarine was able to reach the sea in a short time, but the submarine was not able to reach the sea in"
Nyukilyasi yakwata amapatiko yabili - ama nyutuloni nama pulotoni.,"Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Nyukilyasi yakwata amapatiko yabili - ama nyutuloni nama pulotoni. English: The submarine was able to reach the sea by a long distance, but it was not able to reach the sea by a short distance. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka."
Ici nomba calisuminisha ukuti ama lensi ya kukushishako ifintu yalepanga ifikope ifimoneka bwino ukupashanya ku fikope ifyalekwanishiwa na ma lensi ayakwete ubutali bwa mimwene ubwa pampamikwa.,"Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Ici nomba calisuminisha ukuti ama lensi ya kukushishako ifintu yalepanga ifikope ifimoneka bwino ukupashanya ku fikope ifyalekwanishiwa na ma lensi ayakwete ubutali bwa mimwene ubwa pampamikwa. English: The sea is a great place for the seabirds to breed, but the birds are not able to breed in the sea. Bemba: The seabirds are not able to breed in the sea."
"Iyi netiweki yaliba sana pamulu kuma webusaiti ayengi pamilandu iingi: Ilapanga inshila cipyacipya iya filesangwa pa intaneti fyonse, te http fye yeka iyo.","Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Iyi netiweki yaliba sana pamulu kuma webusaiti ayengi pamilandu iingi: Ilapanga inshila cipyacipya iya filesangwa pa intaneti fyonse, te http fye yeka iyo. English: The submarine was able to reach the sea in a few minutes, but the submarine was not able to reach the sea in a few minutes. Bemba: Iyi netiweki yaliba sana pamulu kuma webusaiti ayengi pamilandu iingi: Ilapanga inshila cipyacipya iya filesangwa pa intaneti fyonse, te http fye yeka iyo."
Ukupanga ifintu ifya kwampana kulafwaikwa ukutila wapitulukamo cipyacipya mu malangulushi yobe pa kupanga kwa ico cintu no kusambilila ukutontonkanya mu nshila ishishili sha mishilwa.,"Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Ukupanga ifintu ifya kwampana kulafwaikwa ukutila wapitulukamo cipyacipya mu malangulushi yobe pa kupanga kwa ico cintu no kusambilila ukutontonkanya mu nshila ishishili sha mishilwa. English: The sea is a great place to be, but it is also a great place to be alone. Bemba: Ukupanga ifya kwampana kulafwaikwa ukutila wapitulukamo cipyacipya mu malangulushi yobe pa kupanga kwa ico cintu no kusambilila ukutontonkanya mu nshila ishishili sha mishilwa."
"Ici caishileba icibelesho icaseeka, lelo inshimbi shalelenga imipeto ya mbao ku fikocikala ukonaika bwangu.","Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Ici caishileba icibelesho icaseeka, lelo inshimbi shalelenga imipeto ya mbao ku fikocikala ukonaika bwangu. English: The sea is a great place to be, but it is also a great place to be alone. Bemba: Ici caishileba icaseeka, lelo inshimbi shalelenga imipeto ya mbao ku fikocikala ukonaika bwangu."
"Imikuni ya nkalamo isangwamo ishilume ukufuma pali imo ukufika pali shitatu isha lupwa lumo, pamo ne shikota ukufika ku makumi yatatu.","Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Imikuni ya nkalamo isangwamo ishilume ukufuma pali imo ukufika pali shitatu isha lupwa lumo, pamo ne shikota ukufika ku makumi yatatu. English: The first submarine was built in the year 1840."
"Nangu cakuti AI yalikwata amalangulushi ayakali aya kulosha ku fya kwelenganya fye ifya sayanshi, AI yalipanga umusambo uukalamba uwa sayanshi yama kompyuta, ukubombela pa mibeele, ukusambilila no kwingisha kwa kucenjela muli fimashini.","Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Nangu cakuti AI yalikwata amalangulushi ayakali aya kulosha ku fya kwelenganya fye ifya sayanshi, AI yalipanga umusambo uukalamba uwa sayanshi yama kompyuta, ukubombela pa mibeele, ukusambilila no kwingisha kwa kucenjela muli fimashini. English: The submarine was able to reach the sea in a short time, but the submarine was not able to reach the sea in a short time. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: The submarine was able to"
Imipimine ya uyu musango (ukwakanya ne kumi na fibili pa kukwata ubwasuko ubwa cipendo icikulu cimo) kanshi bwamonwa ukuti bube ni 3:2.,"Bemba: Turkey yashingulukwa naba beemba kumbali shitatu: Beemba wa Aegean ku masamba, Beemba wa Fiita ku kapinda ka kukuso elyo na Beemba wa Mediterranean ku kapinda ka kukulyo. English: Turkey is encircled by seas on three sides: the Aegean Sea to the west, the Black Sea to the north and the Mediterranean Sea to the south. Bemba: Mu kutendeka kwa nkondo yaleenda sana pa mulu wa beemba, lelo ilyo batendeke ukupanga no kuwamya ifya kumwenako ukutali ifitwa radar aya mato yalipatikishiwe ukulaibila panshi ya menshi pakuti tayalemoneka. English: In the beginning of the war they mostly travelled on top of the sea, but as radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen. Bemba: Imipimine ya uyu musango (ukwakanya ne kumi na fibili pa kukwata ubwasuko ubwa cipendo icikulu cimo) kanshi bwamonwa ukuti bube ni 3:2. English: The first war was fought in the Aegean Sea, but the submarines were forced to go under water to avoid being seen."
