text,translated_text,clean_output
"Mutacija dodaje novu genetsku varijaciju, a selekcija je uklanja iz skupa izraženih varijacija.","Croatian: Mutacija dodaje novu genetsku varijaciju, a selekcija je uklanja iz skupa izraženih varijacija. 
English: The new genetic variation of the Croatian population, and the selection is the selection of the population.
Croatian: Mutacija dodaje novu genetsku varijaciju, a selekcija je uklanja iz skupa izraženih varijacija. 
English: The new genetic variation of the Croatian population, and the selection is the selection of the population.
Croatian: Mutacija dodaje novu genetsku varijaciju, a","Croatian: Mutacija dodaje novu genetsku varijaciju, a selekcija je uklanja iz skupa izraženih varijacija. The new genetic variation of the Croatian population, and the selection is the selection of the population."
Fizijska bomba djeluje na principu uzimanja energije za sastavljanje jezgre s brojnim protonima i neutronima.,"Croatian: Fizijska bomba djeluje na principu uzimanja energije za sastavljanje jezgre s brojnim protonima i neutronima. 
English: The first nuclear reactor in the world was built in the late 19th century in the city of Zagreb, Croatia. The first nuclear reactor in the world was built in the late 19th century in the city of Zagreb, Croatia. The first nuclear reactor in the world was built in the late 19th century in the city of Zagreb, Croatia. The first nuclear reactor in the world was built in the late 19th century in the city of Zagreb, Croatia. The first nuclear reactor in the world was built in the late","The first nuclear reactor in the world was built in the late The first nuclear reactor in the world was built in the late 19th century in the city of Zagreb, Croatia."
Jezgra se sastoji od dviju čestica: neutrona i protona.,"Croatian: Jezgra se sastoji od dviju čestica: neutrona i protona. 
English:
The proton and neutron are the two fundamental particles of the Standard Model of particle physics. The proton is the heaviest particle in the universe, and the neutron is the lightest particle. The proton and neutron are the two fundamental particles of the Standard Model of particle physics. The proton is the heaviest particle in the universe, and the neutron is the lightest particle. The proton and neutron are the two fundamental particles of the Standard Model of particle physics. The proton is the heavi","The proton is the heaviest particle in the universe, and the neutron is the lightest particle. The proton and neutron are the two fundamental particles of the Standard Model of particle physics. The proton is the heavi"
To je omogućilo da se pomoću objektiva za povećavanje izrade slike čija se kvaliteta može usporediti s onom postignutom objektivima s fiksnom žarišnom duljinom.,"Croatian: To je omogućilo da se pomoću objektiva za povećavanje izrade slike čija se kvaliteta može usporediti s onom postignutom objektivima s fiksnom žarišnom duljinom. 
English:
The objective of this study is to determine the effect of the use of a specific type of slips on the quality of the product. The study was conducted in the laboratory of the Faculty of Food Science and Technology of the University of Zagreb. The research was carried out on the following products:
•
The product was made of the following ingredients:
•
The product was made of the following ingredients:
•
The product was made of the following ingredients:
•
The","The study was conducted in the laboratory of the Faculty of Food Science and Technology of the University of Zagreb. The objective of this study is to determine the effect of the use of a specific type of slips on the quality of the product. The research was carried out on the following products:
•
The product was made of the following ingredients:
•
The product was made of the following ingredients:
•
The product was made of the following ingredients:
•
The"
"Jači su od mrežnih proxy poslužitelja iz nekoliko razloga: preusmjeravaju sav internetski promet, ne samo http.","Croatian: Jači su od mrežnih proxy poslužitelja iz nekoliko razloga: preusmjeravaju sav internetski promet, ne samo http. 
English:
The server is not accepting requests from the specified host (or domain name). The server is not accepting requests from the specified host (or domain name). The server is not accepting requests from the specified host (or domain name). The server is not accepting requests from the specified host (or domain name). The server is not accepting requests from the specified host (or domain name). The server is not accepting requests from the specified host (or domain name). The server is not accepting requests from the specified",The server is not accepting requests from the specified The server is not accepting requests from the specified host (or domain name).
Interaktivni dizajn podrazumijeva preispitivanje vlastitih pretpostavki o stvaranju medijskih sadržaja i vježbanje razmišljanja na nelinearan način.,"Croatian: Interaktivni dizajn podrazumijeva preispitivanje vlastitih pretpostavki o stvaranju medijskih sadržaja i vježbanje razmišljanja na nelinearan način. 
English:
The Interactive Design of the Postal Service and the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's",The Interactive Design of the Postal Service and the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's Role in the Postal Service's
"Ovo je postala uobičajena praksa, no željezo je uzrokovalo veću istrošenost drvenih kotača kola.","Croatian: Ovo je postala uobičajena praksa, no željezo je uzrokovalo veću istrošenost drvenih kotača kola. 
English:
The Ovo is a post office that is open 24 hours a day, seven days a week.","The Ovo is a post office that is open 24 hours a day, seven days a week."
Čopori lavova sastoje se od jednog do tri rodbinski povezana odrasla mužjaka i do trideset ženki i mladunaca.,"Croatian: Čopori lavova sastoje se od jednog do tri rodbinski povezana odrasla mužjaka i do trideset ženki i mladunaca. 
English:
The Croatian language is a member of the Slavic language family. It is spoken by approximately 1.5 million people in Croatia, Slovenia, Bosnia and Herzegovina, and parts of Serbia and Montenegro. The Croatian language is the official language of Croatia, Slovenia, Bosnia and Herzegovina, and parts of Serbia and Montenegro. The Croatian language is also spoken by some people in Croatia, Bosnia and Herzegovina, and parts of Serbia and Montenegro. The Croatian language is also spoken by some people in","The Croatian language is a member of the Slavic language family. It is spoken by approximately 1.5 million people in Croatia, Slovenia, Bosnia and Herzegovina, and parts of Serbia and Montenegro. The Croatian language is also spoken by some people in The Croatian language is the official language of Croatia, Slovenia, Bosnia and Herzegovina, and parts of Serbia and Montenegro. The Croatian language is also spoken by some people in Croatia, Bosnia and Herzegovina, and parts of Serbia and Montenegro."
"Iako umjetna inteligencija ima snažnu znanstveno-fantastičnu konotaciju, čini vrlo važnu granu informacijskih znanosti koja se bavi ponašanjem, učenjem i inteligentnom prilagodbom stroja.","Croatian: Iako umjetna inteligencija ima snažnu znanstveno-fantastičnu konotaciju, čini vrlo važnu granu informacijskih znanosti koja se bavi ponašanjem, učenjem i inteligentnom prilagodbom stroja. 
English: The name of the book is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the","The name of the book is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the book's title, which is a reference to the"
Omjer širine i visine ovog formata (dijeli se s dvanaest kako bi se dobio omjer iskazan prostim cijelim brojevima) stoga je 3 : 2.,"Croatian: Omjer širine i visine ovog formata (dijeli se s dvanaest kako bi se dobio omjer iskazan prostim cijelim brojevima) stoga je 3 : 2. 
English:
The following is a list of the most common forms of the word ""bear"". The word ""bear"" is a noun, and the following is a list of the most common forms of the word ""bear"". The word ""bear"" is a noun, and the following is a list of the most common forms of the word ""bear"". The word ""bear"" is a noun, and the following is a list of the most common forms of the word ""bear"". The","The The word ""bear"" is a noun, and the following is a list of the most common forms of the word ""bear"". The following is a list of the most common forms of the word ""bear""."
