text,translated_text,clean_output
"Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go.","Dholuo: Lokruok mag gik mangima kata mutation medo pogruoge manyien mag chwech kata jenetik, kaeto yiero to gole oko kowuok ei pogruoge moyudi go. 
English:
The mutation of the Lokruok mag is the cause of the disease of many people. The disease is caused by the mutation of the Lokruok mag. The disease is caused by the mutation of the Lokruok mag.
The mutation of the Lokruok mag is the cause of the disease of many people. The disease is caused by the mutation of the Lokruok mag. The disease is caused by the mutation of the Lokruok mag.
The mutation of the Lokruok",
"Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth.","Dholuo: Bomb mar fision tiyo nii, okaw teko mar keto nyuklia kanyakla, man kod protons gi neutrons mathoth. 
English:
The bomb is a nuclear device that is capable of producing a large amount of energy. The bomb is a nuclear device that is capable of producing a large amount of energy. The bomb is a nuclear device that is capable of producing a large amount of energy. The bomb is a nuclear device that is capable of producing a large amount of energy. The bomb is a nuclear device that is capable of producing a large amount of energy. The bomb is a nuclear device that is capable of producing a large amount",
Niuklias oting'o gik moko ariyo- niutrons gi protons.,"Dholuo: Niuklias oting'o gik moko ariyo- niutrons gi protons. 
English:
The energy of a proton is equal to the energy of a neutron minus the energy of a proton minus the energy of a neutron minus the energy of a proton minus the energy of a neutron minus the energy of a proton minus the energy of a neutron minus the energy of a proton minus the energy of a neutron minus the energy of a proton minus the energy of a neutron minus the energy of a proton minus the energy of a neutron minus the energy of a proton minus the energy of a neutron minus the",
Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni.,"Dholuo: Mano osemiyo kio mag lens mayuayo gikmoko golo pichni manitiere e rang'iny minyalo mana pim gi mago ma ogol gi lens ma ok yua pichni. 
English:
I have a lens that I can see through the clouds. I can see the sun and the moon. I can see the stars. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can see the rainbow. I can",
"Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende.","Dholuo: Gibeyo maloyo proxy mag mbui kaluwore gi yore buora: Gidwoko trafik te mag mbui e yo makare, ok mana http Kende. 
English:
I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi. I am a student of the University of Nairobi",
Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore.,"Dholuo: Loso chwech mag tudruok mag mbui duaro ni inonane kendo paro magi kwom chwech mag gig fwambo kod keyo kendo ipuonjri paro e yore mopogore opogore. 
English:
The Loso Chwech Mag is a magical weapon that can be used to kill people. It is a magical weapon that can be used to kill people. It is a magical weapon that can be used to kill people. It is a magical weapon that can be used to kill people. It is a magical weapon that can be used to kill people. It is a magical weapon that can be used to kill people. It is a magical weapon that can be used to kill people. It is",
"Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go.","Dholuo: Mano nobedo gima koro itiyogo pile, mak mana ni nyinyo go koro ne kelo kethruok ahinya mag tie geche manolosi gi yiende go. 
English:
I am a man who has no wife, no children, no possessions, no money, no land, no house, no clothes, no food, no shelter, no health, no education, no knowledge, no religion, no morality, no law, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience, no conscience",
"Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi.","Dholuo: Pride iloso kod sibuor madichwo achiel kata adek ma nikod tudruok, kod sibuoche ma mon manyalo romo piero adek to kod nyithindgi. 
English:
I am the pride of the people, the pride of the people is the pride of the people, the pride of the people is the pride of the people, the pride of the people is the pride of the people, the pride of the people is the pride of the people, the pride of the people is the pride of the people, the pride of the people is the pride of the people, the pride of the people is the pride of the people, the pride of the people is the",
"Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin.","Dholuo: Kata obedo ni AI nitiere kod okiki mag miriambo mag sayans, AI loso bad sayans mar kompyuta mowinjore ahinya, motenore gi timbe, puonjruok to kod lokruok e rieko mar masin. 
English:
I have a computer, but I don't know how to use it. I have a computer, but I don't know how to use it. I have a computer, but I don't know how to use it. I have a computer, but I don't know how to use it. I have a computer, but I don't know how to use it. I have a computer, but I don't know how to use it. I have a computer, but I don't know how to use it. I",
Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.,"Dholuo: Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2. 
English:
Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.
Tudruok mar kwan e bor gi lach mar picha ma kamagi (pogo gi apar kod ariyo mondo iyud tudruok mar kwan mayot mochung' kende) koro iwacho ni en 3:2.
T",
"Sime matiyo gi satelite oknyal wil kod simb ong'weyamo, nikech nyaka iwuog oko ma imanyri gi lain mar satelite korka igo simu.","Dholuo: Sime matiyo gi satelite oknyal wil kod simb ong'weyamo, nikech nyaka iwuog oko ma imanyri gi lain mar satelite korka igo simu. 
English:
Sime matiyo gi satelite oknyal wil kod simb ong'weyamo, nikech nyaka iwuog oko ma imanyri gi lain mar satelite korka igo simu.
Sime matiyo gi satelite oknyal wil kod simb ong'weyamo, nikech nyaka iwuog oko ma imanyri gi lain mar satelite korka igo simu.
Sime matiyo gi satelite oknyal wil kod simb ong'wey",
"Kata wagonways oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed mang'eny kendo oyua e ndara madongo kar e ndara mokak meke ndalogo","Dholuo: Kata wagonways oting'o mana parallel planks meke mbao, ne giyie faras mond odhirgi mond oyud speed mang'eny kendo oyua e ndara madongo kar e ndara mokak meke ndalogo 
English:
Wagonways are parallel planks that are used to make a wagon. They are made of wood and are used to make a wagon. They are made of wood and are used to make a wagon. They are made of wood and are used to make a wagon. They are made of wood and are used to make a wagon. They are made of wood and are used to make a wagon. They are made of wood and are used to make a wagon. They are made of wood and",
"Ji ong'eyo kwiri ma ong'ere kaka dhahabu, fedha gi mula kowuok ndalo machon, magi te nyalo yudore e aluora kapod gin kod loo, kendo giyot kunyo kod gige kunyo machon.","Dholuo: Ji ong'eyo kwiri ma ong'ere kaka dhahabu, fedha gi mula kowuok ndalo machon, magi te nyalo yudore e aluora kapod gin kod loo, kendo giyot kunyo kod gige kunyo machon. 
English:
The first thing that comes to mind is the smell of the gold. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the gold is very strong. The smell of the",
"Tielo mawinyore mar mtoka oloko piny ngima eyore mogundho. Maduong' moloyo mosetimo nwa en miyowa yot, kendo wuotho mapiyo.","Dholuo: Tielo mawinyore mar mtoka oloko piny ngima eyore mogundho. Maduong' moloyo mosetimo nwa en miyowa yot, kendo wuotho mapiyo. 
English:
The sky is a blanket of clouds, and the clouds are a blanket of the sky. The sky is a blanket of the clouds, and the clouds are a blanket of the sky. The sky is a blanket of the clouds, and the clouds are a blanket of the sky. The sky is a blanket of the clouds, and the clouds are a blanket of the sky. The sky is a blanket of the clouds, and the clouds are a blank",
Maye olosi mondo okony e neno ni picha omako wang' sikrin tee. Mano iluongo ni overscan.,"Dholuo: Maye olosi mondo okony e neno ni picha omako wang' sikrin tee. Mano iluongo ni overscan. 
English:
Maye olosi mondo okony e neno ni picha omako wang' sikrin tee. Mano iluongo ni overscan.
",
Sabmarinde mag Jo-Jerman niluongo ni U-Boats. Jo-Jerman ne ber ahinya e riembo kendo e tiyo kod sabmarinde mekgi.,"Dholuo: Sabmarinde mag Jo-Jerman niluongo ni U-Boats. Jo-Jerman ne ber ahinya e riembo kendo e tiyo kod sabmarinde mekgi. 
English:
The Jo-Jerman is a small ship that is used to transport the cargo of the U-boats. The Jo-Jerman is not used to transport the cargo of the U-boats.
The Jo-Jerman is a small ship that is used to transport the cargo of the U-boats. The Jo-Jerman is not used to transport the cargo of the U-boats.
The Jo-Jerman is a small ship that is used to transport the cargo of the U-boats. The Jo",
