text,translated_text,clean_output
Tudhif attafra tanawu3an jiniyan jadidan wa yuziluha al-intiqa2 min majmu3at attabayun almu3abbari 3anhu.,"Standard Arabic: Tudhif attafra tanawu3an jiniyan jadidan wa yuziluha al-intiqa2 min majmu3at attabayun almu3abbari 3anhu. 
English: The people of the city of Tudhif, who were the first to worship Allah, were the first to be converted to Islam.","The people of the city of Tudhif, who were the first to worship Allah, were the first to be converted to Islam."
Ta3mal alqanabil al-inshitariya wifqan li mabda2 istikhdam attaqa li takwin nawat m3a al3did mina alprotonat wa alnaytrunat.,"Standard Arabic: Ta3mal alqanabil al-inshitariya wifqan li mabda2 istikhdam attaqa li takwin nawat m3a al3did mina alprotonat wa alnaytrunat. 
English: The first step in the synthesis of the amino acid is the formation of the imino acid, which is then converted to the amino acid by the action of the aminotransferase. The aminotransferase is a protein that is found in the liver and is responsible for the conversion of the imino acid to the amino acid. The aminotransferase is a protein that is found in the liver and is responsible for the conversion of the imino acid to the amino acid. The aminotransferase is a","The aminotransferase is a The first step in the synthesis of the amino acid is the formation of the imino acid, which is then converted to the amino acid by the action of the aminotransferase. The aminotransferase is a protein that is found in the liver and is responsible for the conversion of the imino acid to the amino acid."
Tatakawwan annawat min naw3ayn mina aljusaymat - naytrunat wa prutunat.,"Standard Arabic: Tatakawwan annawat min naw3ayn mina aljusaymat - naytrunat wa prutunat. 
English: The first thing that comes to mind is the word ""love"". The second is the word ""love"". The third is the word ""love"". The fourth is the word ""love"". The fifth is the word ""love"". The sixth is the word ""love"". The seventh is the word ""love"". The eighth is the word ""love"". The ninth is the word ""love"". The tenth is the word ""love"". The eleventh is the","The eleventh is the The third is the word ""love"". The fifth is the word ""love"". The ninth is the word ""love"". The second is the word ""love"". The first thing that comes to mind is the word ""love"". The fourth is the word ""love"". The eighth is the word ""love"". The tenth is the word ""love"". The seventh is the word ""love"". The sixth is the word ""love""."
8ad sama7 thalik al-amr li3adasat al-mu8arraba bi2ntaj 9uwar bijuwda tu'9ahy tilk allaty 7a8a8atha al-3adasat that al-bu3d al-bu2riy al-thabit.,"Standard Arabic: 8ad sama7 thalik al-amr li3adasat al-mu8arraba bi2ntaj 9uwar bijuwda tu'9ahy tilk allaty 7a8a8atha al-3adasat that al-bu3d al-bu2riy al-thabit. 
English:
The first part of the verse is the same as the first part of the verse in the Quran. The second part of the verse is the same as the second part of the verse in the Quran. The third part of the verse is the same as the third part of the verse in the Quran. The fourth part of the verse is the same as the fourth part of the verse in the Quran. The fifth part of the verse is the same as the fifth part of the verse in the Quran",
"Tatafawwaq 3ala mawqe3 al wakil (proxies) li 3iddat asbab: innaha tu3id tawjih kul tadaffuq al bayanat 3alal internet, wa laysa faqat brotokol http.","Standard Arabic: Tatafawwaq 3ala mawqe3 al wakil (proxies) li 3iddat asbab: innaha tu3id tawjih kul tadaffuq al bayanat 3alal internet, wa laysa faqat brotokol http. 
English: The Internet is a tool for the propagation of falsehoods and lies, and it is a source of misguidance and corruption.","The Internet is a tool for the propagation of falsehoods and lies, and it is a source of misguidance and corruption."
Yata6alab al-ta9mym al-tafa3uliy e3adta ta8yym aftra'9atik 7awl al-entaj al-e3lamy wata3allum al-tafkyr bi6uru8 ghayr kha6iya.,"Standard Arabic: Yata6alab al-ta9mym al-tafa3uliy e3adta ta8yym aftra'9atik 7awl al-entaj al-e3lamy wata3allum al-tafkyr bi6uru8 ghayr kha6iya. 
English: The first thing that comes to mind is the word ""tafa3uliy."" The word ""tafkyr"" is not in the dictionary. The word ""tafkyr"" is not in the dictionary. The word ""tafkyr"" is not in the dictionary. The word ""tafkyr"" is not in the dictionary. The word ""tafkyr"" is not in the dictionary. The word ""tafkyr"" is not in the dictionary. The word ""taf","The word ""tafkyr"" is not in the dictionary. The word ""taf The first thing that comes to mind is the word ""tafa3uliy."""
"Asba7at hadhihi al-mumarasat sha2i3a, lakin tasabbaba al7adid fi 7uduth mazid min atta2akul fil 3ajalat al-khachabiya lil 3araba.","Standard Arabic: Asba7at hadhihi al-mumarasat sha2i3a, lakin tasabbaba al7adid fi 7uduth mazid min atta2akul fil 3ajalat al-khachabiya lil 3araba. 
English:
The following is a translation of the above verse. The translation is based on the translation of the verse by the English translation of the Quran, which is available at the website of the Quranic Center, Cairo, Egypt. The translation is based on the translation of the verse by the English translation of the Quran, which is available at the website of the Quranic Center, Cairo, Egypt. The translation is based on the translation of the verse by the English translation of the Quran, which is available",
"Tatakawan qe63an al 2usud min dhakarin wa7edin ila thalathat dhoukourin balighin, bel idhafa ila ma yasel ila thalathina 2untha wa sheblan.","Standard Arabic: Tatakawan qe63an al 2usud min dhakarin wa7edin ila thalathat dhoukourin balighin, bel idhafa ila ma yasel ila thalathina 2untha wa sheblan. 
English: The people of the land of the Jews are the people of the land of the Jews, and the people of the land of the Christians are the people of the land of the Christians. The people of the land of the Muslims are the people of the land of the Muslims.","The people of the land of the Jews are the people of the land of the Jews, and the people of the land of the Christians are the people of the land of the Christians. The people of the land of the Muslims are the people of the land of the Muslims."
"3ala arraghm min anna aldhaka2 al-istina3i ya7milu dalalatan qawiya 3ala alkhayal al3ilmi, fa innahu yushakkilu far3an muhiman lil ghaya min 3ulum alcomputer, bi ta3amulih ma3a assuluk wa atta3allum wa attakyif adhaki fi al-2alat.","Standard Arabic: 3ala arraghm min anna aldhaka2 al-istina3i ya7milu dalalatan qawiya 3ala alkhayal al3ilmi, fa innahu yushakkilu far3an muhiman lil ghaya min 3ulum alcomputer, bi ta3amulih ma3a assuluk wa atta3allum wa attakyif adhaki fi al-2alat. 
English:
3ala arraghm min anna aldhaka2 al-istina3i ya7milu dalalatan qawiya 3ala alkhayal al3ilmi, fa innahu yushakkilu far3an muhiman lil ghaya min 3ulum alcomputer, bi ta3amulih ma3a assuluk wa atta3allum wa attakyif adhaki fi al-2alat. 
3ala arraghm min anna aldhaka2 al-istina3",
li dhalika yudhkar anna nesbat al 3ard ila al irtifa3 li hadha al tansiq (al qesmah 3ala ethnay 3ashar li al 7usul 3ala absat nesbat 3adad sa7i7) hiya 3:2.,"Standard Arabic: li dhalika yudhkar anna nesbat al 3ard ila al irtifa3 li hadha al tansiq (al qesmah 3ala ethnay 3ashar li al 7usul 3ala absat nesbat 3adad sa7i7) hiya 3:2. 
English:
The first part of the verse is the verse of the Quran, and the second part is the verse of the Hadith. The verse of the Quran is the first part of the verse of the Hadith. The verse of the Quran is the first part of the verse of the Hadith. The verse of the Quran is the first part of the verse of the Hadith. The verse of the Quran is the first part of the verse of the Hadith. The verse of the Quran is",
