text,translated_text,clean_output
"Nsoba me yikaka mutindu ya mpa, mpi kupona ke katulaka yo na ndonga ya yina ke monanaka.","Kongo: Nsoba me yikaka mutindu ya mpa, mpi kupona ke katulaka yo na ndonga ya yina ke monanaka. 
English: I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good","I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good student, I am a good"
Bombi ya fusion ke salamaka na munsiku ya ke tuba nde yo ke lombaka energie sambu na kutula kisika mosi munkanzi ti baproton mpi baneutron mingi.,"Kongo: Bombi ya fusion ke salamaka na munsiku ya ke tuba nde yo ke lombaka energie sambu na kutula kisika mosi munkanzi ti baproton mpi baneutron mingi. 
English: The first time I heard of the term ""battery"" was in the late 1800s. It was used to describe a battery that was used to power a motor. It was also used to describe a battery that was used to power a motor. It was also used to describe a battery that was used to power a motor. It was also used to describe a battery that was used to power a motor. It was also used to describe a battery that was used to power a motor. It was","It was also used to describe a battery that was used to power a motor. The first time I heard of the term ""battery"" was in the late 1800s. It was used to describe a battery that was used to power a motor. It was"
Munkanzi ke vandaka na bitini zole - neutrons mpi protons.,"Kongo: Munkanzi ke vandaka na bitini zole - neutrons mpi protons. 
English: The neutron-magnetic antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antipro",The neutron-magnetic antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antiproton antipro
Yo me pesaka nzila na bitalulu ya nene sambu na kusala bifwanisu ya kitoko mingi kuluta yina beto lenda sala na bitalatala ya ke nikanaka ve.,"Kongo: Yo me pesaka nzila na bitalulu ya nene sambu na kusala bifwanisu ya kitoko mingi kuluta yina beto lenda sala na bitalatala ya ke nikanaka ve. 
English: I am sorry, but I am sorry. I am sorry for the loss of my beloved baby. I am sorry for the loss of my beloved baby. I am sorry for the loss of my beloved baby. I am sorry for the loss of my beloved baby. I am sorry for the loss of my beloved baby. I am sorry for the loss of my beloved baby. I am sorry for the loss of my beloved baby. I am sorry for the loss of my beloved baby. I am sorry","I am sorry, but I am sorry. I am sorry for the loss of my beloved baby. I am sorry"
"bo ke na zulu ya Proxy Web na mambu mingi: bo ke nataka ba nsonokono ya internet yonso, kaka http ve.","Kongo: bo ke na zulu ya Proxy Web na mambu mingi: bo ke nataka ba nsonokono ya internet yonso, kaka http ve. 
English:
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8","http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8z6z6z6z6
http://www.youtube.com/watch?v=z8"
Bima ya interactifs ke lombaka nge tadila diaka mayele na nge na yina me tala kusala ba media mpi kulonguka na kuyindla na nzila kaka mosi ve.,"Kongo: Bima ya interactifs ke lombaka nge tadila diaka mayele na nge na yina me tala kusala ba media mpi kulonguka na kuyindla na nzila kaka mosi ve. 
English: The first time I heard this song was in the radio. I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a",I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a kid and I was a The first time I heard this song was in the radio.
"Bo kumaka kusala yo mingi, kansi bibende vandaka kubebisa mingi bapneu ya bawagon sambu yo vandaka ya mabaya.","Kongo: Bo kumaka kusala yo mingi, kansi bibende vandaka kubebisa mingi bapneu ya bawagon sambu yo vandaka ya mabaya. 
English: The first time I heard the word vandaka was in the book of the prophet Isaiah. It was in the book of the prophet Isaiah, chapter 2, verse 1. It was in the book of the prophet Isaiah, chapter 2, verse 2. It was in the book of the prophet Isaiah, chapter 2, verse 3. It was in the book of the prophet Isaiah, chapter 2, verse 4. It was in the book of the prophet Isaiah, chapter 2","It was in the book of the prophet Isaiah, chapter 2, verse 4. It was in the book of the prophet Isaiah, chapter 2, verse 3. It was in the book of the prophet Isaiah, chapter 2, verse 1. It was in the book of the prophet Isaiah, chapter 2, verse 2. The first time I heard the word vandaka was in the book of the prophet Isaiah. It was in the book of the prophet Isaiah, chapter 2"
"Ba pride ke vandaka ti ntambu mosi tii na bantambu tatu ya babakala ya bambuta, kumosi ti bankento mpi bana makumi tatu.","Kongo: Ba pride ke vandaka ti ntambu mosi tii na bantambu tatu ya babakala ya bambuta, kumosi ti bankento mpi bana makumi tatu. 
English: The pride of the people of the Congo is to have their country in the hands of the people of Burundi. The pride of the people of Burundi is to have their country in the hands of the people of Rwanda. The pride of the people of Rwanda is to have their country in the hands of the people of Burundi. The pride of the people of Burundi is to have their country in the hands of the people of Rwanda. The pride of the people of Burundi is to have their country in the hands",The pride of the people of Burundi is to have their country in the hands of the people of Rwanda. The pride of the people of Rwanda is to have their country in the hands of the people of Burundi. The pride of the people of the Congo is to have their country in the hands of the people of Burundi. The pride of the people of Burundi is to have their country in the hands
"Ata AI ke na kuwakana ya ngolo na siansi ya kieleka ve, Ai kele kitini ya mfunu mingi ya siansi ya ba ordinateur, yo ke landilaka bikalulu, kulonguka, mpi mayele ya kuyikana na kati ya mashine mosi.","Kongo: Ata AI ke na kuwakana ya ngolo na siansi ya kieleka ve, Ai kele kitini ya mfunu mingi ya siansi ya ba ordinateur, yo ke landilaka bikalulu, kulonguka, mpi mayele ya kuyikana na kati ya mashine mosi. 
English: I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I don't know what to do with this. I",I I don't know what to do with this.
Kifwani ya ratio ya format yai (kukabula na kumi na zole sambu na kuzwa lutangu ya ratio ya mbote) yo kele 3:2.,"Kongo: Kifwani ya ratio ya format yai (kukabula na kumi na zole sambu na kuzwa lutangu ya ratio ya mbote) yo kele 3:2. 
English: Kifwani ya ratio ya format yai (kukabula na kumi na zole sambu na kuzwa lutangu ya ratio ya mbote) yo kele 3:2. 
Kifwani ya ratio ya mbote ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya",Kifwani ya ratio ya mbote ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya zole ya Kifwani ya ratio ya format yai (kukabula na kumi na zole sambu na kuzwa lutangu ya ratio ya mbote) yo kele 3:2.
