text,translated_text,clean_output
"Mutasi menambahkan variasi genetik yang baru, sedangkan seleksi menghapusnya dari kelompok variasi ekspresi.","Indonesian: Mutasi menambahkan variasi genetik yang baru, sedangkan seleksi menghapusnya dari kelompok variasi ekspresi. 
English: Mutation adds new genetic variation, while selection removes it from the group of expression variation.

A:

Mutasi adalah perubahan yang terjadi pada gen, sedangkan seleksi adalah proses yang menentukan mana gen yang akan bertahan dan mana yang akan mati. Jadi, mutasi dan seleksi adalah dua proses yang berbeda.
Mutasi adalah perubahan yang terjadi pada gen, sedangkan seleksi adalah proses yang menentukan mana gen yang akan bertahan dan mana yang akan mati. Jadi, mutasi dan seleksi adalah dua proses yang berbeda.
Mutasi adalah perubahan yang terjadi","Mutation adds new genetic variation, while selection removes it from the group of expression variation."
Bom fisi bekerja berdasarkan prinsip bahwa energi diperlukan untuk membentuk sebuah inti atom dengan banyak proton dan neutron.,"Indonesian: Bom fisi bekerja berdasarkan prinsip bahwa energi diperlukan untuk membentuk sebuah inti atom dengan banyak proton dan neutron. 
English: Good physics works on the principle that energy is required to form an atom with many protons and neutrons.
It is a very good example of the use of the word 'work' in a sentence.",Good physics works on the principle that energy is required to form an atom with many protons and neutrons.
Nukleus terdiri dari dua partikel - neutron dan proton.,"Indonesian: Nukleus terdiri dari dua partikel - neutron dan proton. 
English: The nucleus consists of two particles - neutron and proton.
It is a particle that contains a proton and a neutron. The proton is a positively charged particle, while the neutron is a negatively charged particle. The proton and the neutron are the two basic particles that make up the nucleus. The nucleus is a collection of protons and neutrons. The nucleus is a collection of protons and neutrons. The nucleus is a collection of protons and neutrons. The nucleus is a collection of protons and neutrons. The nucleus is a",The nucleus consists of two particles - neutron and proton.
Ini memungkinkan lensa pembesar menghasilkan gambar dengan kualitas yang setara dengan yang dihasilkan oleh lensa dengan jarak fokus tetap.,"Indonesian: Ini memungkinkan lensa pembesar menghasilkan gambar dengan kualitas yang setara dengan yang dihasilkan oleh lensa dengan jarak fokus tetap. 
English: This allows the magnifier lens to produce images with the same quality as those produced by lenses with fixed focus. 
Indonesian: Ini memungkinkan lensa pembesar menghasilkan gambar dengan kualitas yang setara dengan yang dihasilkan oleh lensa dengan jarak fokus tetap. 
English: This allows the magnifier lens to produce images with the same quality as those produced by lenses with fixed focus. 
Indonesian: Ini memungkinkan lensa pembesar menghasilkan gambar dengan kualitas yang setara dengan yang dihasilkan oleh lensa dengan jarak fokus tetap. 
English: This allows the magn",This allows the magnifier lens to produce images with the same quality as those produced by lenses with fixed focus.
"Ini lebih unggul dari web proxy karena beberapa alasan: Mampu merutekan ulang semua lalu lintas Internet, tidak hanya http.","Indonesian: Ini lebih unggul dari web proxy karena beberapa alasan: Mampu merutekan ulang semua lalu lintas Internet, tidak hanya http. 
English: This is better than web proxy because: It can reroute all Internet traffic, not just http. 
Indonesian: Ini lebih unggul dari web proxy karena beberapa alasan: Mampu merutekan ulang semua lalu lintas Internet, tidak hanya http. 
English: This is better than web proxy because: It can reroute all Internet traffic, not just http. 
Indonesian: Ini lebih unggul dari web proxy karena beberapa alasan: Mampu merutekan ulang semua lalu lintas Internet, tidak hanya http. 
English:","This is better than web proxy because: It can reroute all Internet traffic, not just http."
Desain interaktif menuntut Anda menilai kembali asumsi Anda tentang produksi media dan belajar untuk berpikir dengan cara yang non-linier.,"Indonesian: Desain interaktif menuntut Anda menilai kembali asumsi Anda tentang produksi media dan belajar untuk berpikir dengan cara yang non-linier. 
English: Interactivity requires you to rethink your assumptions about media production and to learn to think in a non-lineal way.
Indonesian: Desain interaktif menuntut Anda untuk mengevaluasi asumsi Anda tentang produksi media dan belajar untuk berpikir secara tidak linear.
English: Interactivity requires you to evaluate your assumptions about media production and to learn to think in a non-lineal way.
Indonesian: Desain interaktif menuntut Anda untuk mengevaluasi asumsi Anda tentang produksi media dan belajar untuk berpikir secara tidak linear.
English: Interactivity requires",Interactivity requires you to rethink your assumptions about media production and to learn to think in a non-lineal way.
"Ini menjadi praktik yang umum, tetapi besi menyebabkan roda kayu pada kereta lebih cepat rusak.","Indonesian: Ini menjadi praktik yang umum, tetapi besi menyebabkan roda kayu pada kereta lebih cepat rusak. 
English: The wheels are made of wood, but the axles are made of iron. This is common practice, but iron causes wood wheels to break faster. 
Indonesian: Roda kayu ini terbuat dari kayu, tetapi batang penggerak terbuat dari besi. Ini adalah praktik umum, tetapi besi menyebabkan kayu roda untuk rusak lebih cepat.
English: The wheels are made of wood, but the axles are made of iron. This is common practice, but iron causes wood wheels to break faster.
Indonesian: Roda kayu","The wheels are made of wood, but the axles are made of iron. This is common practice, but iron causes wood wheels to break faster."
"Prides terdiri dari satu hingga tiga jantan dewasa bersaudara, bersama dengan 30 betina dan anak-anaknya.","Indonesian: Prides terdiri dari satu hingga tiga jantan dewasa bersaudara, bersama dengan 30 betina dan anak-anaknya. 
English: Prides consists of one to three adult brothers, with 30 females and their offspring.
Indonesian: Prides terdiri dari satu hingga tiga jantan dewasa bersaudara, bersama dengan 30 betina dan anak-anaknya.
English: Prides consists of one to three adult brothers, with 30 females and their offspring.
Indonesian: Prides terdiri dari satu hingga tiga jantan dewasa bersaudara, bersama dengan 30 betina dan anak-anaknya.
English: Prides consists of one to three adult brothers, with 30 females and their offspring.
Indonesian:","Prides consists of one to three adult brothers, with 30 females and their offspring."
"Walaupun Kecerdasan Buatan memiliki konotasi yang kuat dari fiksi ilmiah, Kecerdasan Buatan membentuk cabang yang sangat penting dari ilmu komputer, berurusan dengan tingkah laku, pembelajaran dan adaptasi kecerdasan dalam mesin.","Indonesian: Walaupun Kecerdasan Buatan memiliki konotasi yang kuat dari fiksi ilmiah, Kecerdasan Buatan membentuk cabang yang sangat penting dari ilmu komputer, berurusan dengan tingkah laku, pembelajaran dan adaptasi kecerdasan dalam mesin. 
English: Artificial intelligence is a branch of computer science that deals with the study of intelligent behavior in machines. It is a subfield of artificial intelligence that deals with the study of intelligent behavior in machines.",Artificial intelligence is a branch of computer science that deals with the study of intelligent behavior in machines. It is a subfield of artificial intelligence that deals with the study of intelligent behavior in machines.
Rasio aspek format ini (dibagi dua belas untuk memperoleh rasio bilangan bulat yang paling sederhana) maka dari itu dikatakan sebagai 3:2.,"Indonesian: Rasio aspek format ini (dibagi dua belas untuk memperoleh rasio bilangan bulat yang paling sederhana) maka dari itu dikatakan sebagai 3:2. 
English: Aspect ratio format ini (dibagi dua belas untuk memperoleh rasio bilangan bulat yang paling sederhana) maka dari itu dikatakan sebagai 3:2. 
French: Aspect ratio format ini (dibagi dua belas untuk memperoleh rasio bilangan bulat yang paling sederhana) maka dari itu dikatakan sebagai 3:2. 
Italian: Aspect ratio format ini (dibagi dua belas untuk memperoleh rasio bilangan bulat yang paling sederhana) maka dari itu dikatakan sebagai 3:2. 
Portuguese: Aspect ratio format ini (dibagi dua belas",Aspect ratio format ini (dibagi dua belas untuk memperoleh rasio bilangan bulat yang paling sederhana) maka dari itu dikatakan sebagai 3:2.
Telepon satelit biasanya bukan merupakan pengganti telepon seluler karena Anda harus berada di luar ruangan dengan jarak pandang yang jelas ke satelit untuk menelepon.,"Indonesian: Telepon satelit biasanya bukan merupakan pengganti telepon seluler karena Anda harus berada di luar ruangan dengan jarak pandang yang jelas ke satelit untuk menelepon. 
English: Satellite phones are not a substitute for mobile phones because you must be outside with clear line of sight to the satellite to make a call.",Satellite phones are not a substitute for mobile phones because you must be outside with clear line of sight to the satellite to make a call.
"Walau jalur-jalur kereta hanya terdiri dari papan kayu secara paralel, dengan jalur ini kuda dapat menarik kereta sehingga lebih kencang dan menarik beban lebih banyak dibanding jalanan yang sedikit lebih kasar pada saat yang sama.","Indonesian: Walau jalur-jalur kereta hanya terdiri dari papan kayu secara paralel, dengan jalur ini kuda dapat menarik kereta sehingga lebih kencang dan menarik beban lebih banyak dibanding jalanan yang sedikit lebih kasar pada saat yang sama. 
English: The track is made of wooden planks laid parallel to each other, with the horses pulling the train, which is faster and can carry more weight than the rough roads on the other hand.
Indonesian: Jalur kereta ini dibuat dari papan kayu yang disusun secara paralel, dengan kuda-kuda yang menarik kereta, yang lebih cepat dan dapat membawa beban lebih banyak dibanding jalan yang sedikit lebih kasar.
English: The track is made of wooden planks laid parallel to each other, with the horses pulling the train,","The track is made of wooden planks laid parallel to each other, with the horses pulling the train, which is faster and can carry more weight than the rough roads on the other hand."
"Orang-orang telah mengenal unsur-unsur kimia dasar seperti emas, perak, dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alat-alat primitif.","Indonesian: Orang-orang telah mengenal unsur-unsur kimia dasar seperti emas, perak, dan tembaga dari zaman kuno karena semua ini dapat ditemukan di alam dalam bentuk aslinya dan relatif mudah ditambang dengan alat-alat primitif. 
English: The word chemistry is derived from the Greek word for ""art of making"", meaning the art of making things. The word chemistry is derived from the Greek word for ""art of making"", meaning the art of making things. Chemistry is the study of matter and its properties. Chemistry is the study of matter and its properties. Chemistry is the study of matter and its properties. Chemistry is the study of matter and its properties. Chemistry is the study of matter and its properties. Chemistry is the study","Chemistry is the study Chemistry is the study of matter and its properties. The word chemistry is derived from the Greek word for ""art of making"", meaning the art of making things."
Roda telah mengubah dunia dengan cara yang luar biasa. Hal terbesar yang telah dilakukan roda bagi kita adalah memberikan kita transportasi yang lebih mudah dan cepat.,"Indonesian: Roda telah mengubah dunia dengan cara yang luar biasa. Hal terbesar yang telah dilakukan roda bagi kita adalah memberikan kita transportasi yang lebih mudah dan cepat. 
English: The wheel has changed the world in a remarkable way. The greatest thing that the wheel has done for us is to give us a more convenient and faster transportation. 
Indonesian: Roda telah mengubah dunia dengan cara yang luar biasa. Hal terbesar yang telah dilakukan roda bagi kita adalah memberikan kita transportasi yang lebih mudah dan cepat. 
English: The wheel has changed the world in a remarkable way. The greatest thing that the wheel has done for us is to give us a more convenient and faster transportation. 
Indonesian:",The greatest thing that the wheel has done for us is to give us a more convenient and faster transportation. The wheel has changed the world in a remarkable way.
Hal ini dilakukan untuk memastikan gambar menutupi seluruh layar. Hal tersebut dinamakan overscan.,"Indonesian: Hal ini dilakukan untuk memastikan gambar menutupi seluruh layar. Hal tersebut dinamakan overscan. 
English: This is done to ensure that the image covers the entire screen. This is called overscan.
Source: http://en.wikipedia.org/wiki/Graphics_Display_(computer)
Untuk memastikan gambar menutupi seluruh layar, maka gambar tersebut harus lebih besar dari layar. Jika gambar tersebut lebih kecil dari layar, maka gambar tersebut akan terpotong.",This is called overscan. This is done to ensure that the image covers the entire screen.
Kapal selam Jerman disebut U-boat. Orang Jerman ahli dalam navigasi dan mengoperasikan kapal selam.,"Indonesian: Kapal selam Jerman disebut U-boat. Orang Jerman ahli dalam navigasi dan mengoperasikan kapal selam. 
English: German submarine. German people are good at navigation and operating submarines.
Indonesian: Kapal selam Jerman disebut U-boat. Orang Jerman ahli dalam navigasi dan mengoperasikan kapal selam.
English: German submarine. German people are good at navigation and operating submarines.
Indonesian: Kapal selam Jerman disebut U-boat. Orang Jerman ahli dalam navigasi dan mengoperasikan kapal selam.
English: German submarine. German people are good at navigation and operating submarines.
Indonesian: Kapal selam Jerman disebut U-boat",German people are good at navigation and operating submarines. German submarine.
"Walau bentuk fisiknya mungkin berubah, tetapi bentuk kimiawinya kan tetap sama.","Indonesian: Walau bentuk fisiknya mungkin berubah, tetapi bentuk kimiawinya kan tetap sama. 
English: Though its physical form may change, its chemical form is the same.
It is not a good idea to use the word ""form"" in this context.","Though its physical form may change, its chemical form is the same."
Tekanan permukaan terjadi karena molekul-molekul air di permukaan yang saling menarik lebih kuat dibanding molekul-molekul udara di atasnya.,"Indonesian: Tekanan permukaan terjadi karena molekul-molekul air di permukaan yang saling menarik lebih kuat dibanding molekul-molekul udara di atasnya. 
English: The surface pressure occurs because water molecules in the surface are more strongly attracted to each other than air molecules in the air above it.
",The surface pressure occurs because water molecules in the surface are more strongly attracted to each other than air molecules in the air above it.
Salah satu masalah paling umum saat mencoba mengonversi film ke format DVD adalah overscan.,"Indonesian: Salah satu masalah paling umum saat mencoba mengonversi film ke format DVD adalah overscan. 
English: The most common problem when trying to convert a movie to DVD format is overscan.
Indonesian: Salah satu masalah paling umum saat mencoba mengonversi film ke format DVD adalah overscan.
English: The most common problem when trying to convert a movie to DVD format is overscan.
Indonesian: Salah satu masalah paling umum saat mencoba mengonversi film ke format DVD adalah overscan.
English: The most common problem when trying to convert a movie to DVD format is overscan.
Indonesian:",The most common problem when trying to convert a movie to DVD format is overscan.
"Secara khusus, dinyatakan bahwa kita dapat mendeteksi apakah seseorang berbohong dengan mengamati ekspresi mikronya dengan benar.","Indonesian: Secara khusus, dinyatakan bahwa kita dapat mendeteksi apakah seseorang berbohong dengan mengamati ekspresi mikronya dengan benar. 
English: In particular, it is stated that we can detect whether someone is lying by observing their micro-expressions correctly. 
It is not clear whether the author is referring to the facial expressions or the micro-expressions.","In particular, it is stated that we can detect whether someone is lying by observing their micro-expressions correctly."
Emas dapat diolah menjadi berbagai bentuk. Antara lain digulung jadi bentuk-bentuk kecil.,"Indonesian: Emas dapat diolah menjadi berbagai bentuk. Antara lain digulung jadi bentuk-bentuk kecil. 
English: Gold can be processed into various forms. For example, it can be rolled into small shapes.
Indonesian: Emas dapat diolah menjadi berbagai bentuk. Antara lain digulung jadi bentuk-bentuk kecil.
English: Gold can be processed into various forms. For example, it can be rolled into small shapes.
Indonesian: Emas dapat diolah menjadi berbagai bentuk. Antara lain digulung jadi bentuk-bentuk kecil.
English: Gold can be processed into various forms. For example, it can be rolled into small shapes","Gold can be processed into various forms. For example, it can be rolled into small shapes."
"Sistem AI sekarang sering digunakan di bidang ekonomi, kedokteran, teknik dan militer, seperti yang telah dibangun pada beberapa aplikasi komputer rumah dan perangkat lunak gim video.","Indonesian: Sistem AI sekarang sering digunakan di bidang ekonomi, kedokteran, teknik dan militer, seperti yang telah dibangun pada beberapa aplikasi komputer rumah dan perangkat lunak gim video. 
English: AI is a branch of artificial intelligence that uses computers to simulate human intelligence. AI is a branch of artificial intelligence that uses computers to simulate human intelligence. AI is a branch of artificial intelligence that uses computers to simulate human intelligence. AI is a branch of artificial intelligence that uses computers to simulate human intelligence. AI is a branch of artificial intelligence that uses computers to simulate human intelligence. AI is a branch of artificial intelligence that uses computers to simulate human intelligence. AI is a branch of artificial intelligence that uses computers",AI is a branch of artificial intelligence that uses computers AI is a branch of artificial intelligence that uses computers to simulate human intelligence.
"Hingga hari ini masih diproduksi, tetapi yang lebih penting adalah aspek rasionya telah diwarisi oleh format sensor gambar kamera digital.","Indonesian: Hingga hari ini masih diproduksi, tetapi yang lebih penting adalah aspek rasionya telah diwarisi oleh format sensor gambar kamera digital. 
English: It is still produced, but the most important thing is that the aspect ratio has been inherited by the digital camera sensor format. 

A:

The term ""aspect ratio"" is used to describe the ratio of the width to the height of a picture. The term ""aspect ratio"" is used to describe the ratio of the width to the height of a picture. The term ""aspect ratio"" is used to describe the ratio of the width to the height of a picture. The term ""aspect ratio"" is","It is still produced, but the most important thing is that the aspect ratio has been inherited by the digital camera sensor format."
Aturan sepertiga yang paling sering dilanggar dan diremehkan adalah panduan sederhana yang menciptakan dinamisme sekaligus menjaga keteraturan dalam sebuah gambar.,"Indonesian: Aturan sepertiga yang paling sering dilanggar dan diremehkan adalah panduan sederhana yang menciptakan dinamisme sekaligus menjaga keteraturan dalam sebuah gambar. 
English: The most frequently broken rule and disregarded guideline is the simple rule of thirds. It creates dynamism and keeps the balance in a picture.
Source: http://en.wikipedia.org/wiki/Rule_of_thirteen
Jadi, jika kita ingin membuat sebuah gambar yang seimbang, maka kita harus memperhatikan aturan sepertiga.",The most frequently broken rule and disregarded guideline is the simple rule of thirds. It creates dynamism and keeps the balance in a picture.
"Hal ini tidak hanya mengonfirmasi bahwa setidaknya beberapa dinosaurus berbulu, teori yang sudah menyebar luas, tetapi juga dapat memberikan detail yang biasanya tidak dapat diberikan oleh fosil, seperti warna dan susunan tiga dimensi.","Indonesian: Hal ini tidak hanya mengonfirmasi bahwa setidaknya beberapa dinosaurus berbulu, teori yang sudah menyebar luas, tetapi juga dapat memberikan detail yang biasanya tidak dapat diberikan oleh fosil, seperti warna dan susunan tiga dimensi. 
English: This is not only confirming that at least some dinosaurs with fur, a theory that has been widely spread, but also providing detail that usually cannot be given by fossil, such as color and three-dimensional arrangement.
Dalam bahasa Inggris, hal ini juga dapat diterjemahkan sebagai:
Hal ini tidak hanya mengonfirmasi bahwa setidaknya beberapa dinosaurus berbulu, teori yang sudah menyebar luas, tetapi juga memberikan detail yang biasanya tidak dapat diberikan oleh fosil, seperti warna dan susunan tiga dimensi.
Hal ini tidak hanya mengonfirmasi bahwa setidaknya beberapa","This is not only confirming that at least some dinosaurs with fur, a theory that has been widely spread, but also providing detail that usually cannot be given by fossil, such as color and three-dimensional arrangement."
"Bagaimana gravitasi Io menarik saya? Jika Anda berdiri di permukaan Io, Anda akan berbobot lebih ringan dibanding saat berada di Bumi.","Indonesian: Bagaimana gravitasi Io menarik saya? Jika Anda berdiri di permukaan Io, Anda akan berbobot lebih ringan dibanding saat berada di Bumi. 
English: How does Io's gravity pull me? If you stand on the surface of Io, you will be lighter than you are on Earth.
Spanish: ¿Cómo la gravedad de Io me atrae? Si usted está en la superficie de Io, usted pesará menos que si está en la Tierra.
Italian: Come Io's gravità mi attaccano? Se stai su la superficie di Io, ti pesarevi meno che se stai su la Terra.
Portuguese: Como a gravidade","If you stand on the surface of Io, you will be lighter than you are on Earth. How does Io's gravity pull me?"
"NextGen adalah sistem yang diklaim FAA akan memungkinkan pesawat udara terbang dengan rute yang lebih pendek, dan menghemat jutaan galon bahan bakar setiap tahunnya, serta mengurangi emisi karbon.","Indonesian: NextGen adalah sistem yang diklaim FAA akan memungkinkan pesawat udara terbang dengan rute yang lebih pendek, dan menghemat jutaan galon bahan bakar setiap tahunnya, serta mengurangi emisi karbon. 
English: NextGen is a system claimed by the FAA to allow aircraft to fly shorter routes, and save millions of gallons of fuel each year, and reduce carbon emissions.","NextGen is a system claimed by the FAA to allow aircraft to fly shorter routes, and save millions of gallons of fuel each year, and reduce carbon emissions."
"Data neurobiologis memberikan bukti fisik untuk pendekatan teoritis terhadap penyelidikan kognisi. Oleh karena itu, data ini mempersempit area penelitian dan membuatnya jauh lebih tepat.","Indonesian: Data neurobiologis memberikan bukti fisik untuk pendekatan teoritis terhadap penyelidikan kognisi. Oleh karena itu, data ini mempersempit area penelitian dan membuatnya jauh lebih tepat. 
English: Data neurobiologis memberikan bukti fisik untuk pendekatan teoritis terhadap penyelidikan kognisi. Oleh karena itu, data ini mempersempit area penelitian dan membuatnya jauh lebih tepat.
Source:
https://en.wikipedia.org/wiki/Data_neurobiologis","Oleh karena itu, data ini mempersempit area penelitian dan membuatnya jauh lebih tepat. Data neurobiologis memberikan bukti fisik untuk pendekatan teoritis terhadap penyelidikan kognisi."
"""Selama 2 jam pidatonya, dia menyatakan bahwa ""Hari ini Apple akan menciptakan kembali telepon, kami akan membuat sejarah hari ini"". ""","Indonesian: ""Selama 2 jam pidatonya, dia menyatakan bahwa ""Hari ini Apple akan menciptakan kembali telepon, kami akan membuat sejarah hari ini"". "" 
English: ""Apple CEO Tim Cook said on Monday that the company would be creating a new phone, and would be making history today.""
Indonesian: ""Selama 2 jam pidatonya, dia menyatakan bahwa ""Hari ini Apple akan menciptakan kembali telepon, kami akan membuat sejarah hari ini"". ""
English: ""Apple CEO Tim Cook said on Monday that the company would be creating a new phone, and would be making history today.""
Indonesian: ""Selama 2 jam pidatonya,","""Apple CEO Tim Cook said on Monday that the company would be creating a new phone, and would be making history today."""
Kekurangan lensa pembesar terletak pada kompleksitas fokal dan jumlah elemen lensa yang diperlukan untuk mendapatkan kisaran panjang fokal jauh lebih besar daripada lensa utama.,"Indonesian: Kekurangan lensa pembesar terletak pada kompleksitas fokal dan jumlah elemen lensa yang diperlukan untuk mendapatkan kisaran panjang fokal jauh lebih besar daripada lensa utama. 
English: The main disadvantage of a magnifying lens is the complexity of the foci and the number of lens elements required to obtain a far greater range of focal lengths than the main lens.",The main disadvantage of a magnifying lens is the complexity of the foci and the number of lens elements required to obtain a far greater range of focal lengths than the main lens.
"Menyerupai sebuah remote televisi, pengontrol tersebut menggunakan dua sensor yang diletakkan di dekat televisi pengguna untuk melakukan triangulasi letaknya dalam ruang tiga dimensi.","Indonesian: Menyerupai sebuah remote televisi, pengontrol tersebut menggunakan dua sensor yang diletakkan di dekat televisi pengguna untuk melakukan triangulasi letaknya dalam ruang tiga dimensi. 
English: A remote control that resembles a television remote, the device uses two sensors placed near the television to triangulate its location in three dimensions.
Source: http://en.wikipedia.org/wiki/Remote_control_(video_game)
Source: http://en.wikipedia.org/wiki/Remote_control_(video_game)
Source: http://en.wikipedia.org/wiki/Remote_control_(video_game)
Source: http://en.wikipedia.org/wiki/Remote_control_(video_game)
Source: http://en.wikipedia.org/wiki/Remote_control_(video_game)
Source: http://en","A remote control that resembles a television remote, the device uses two sensors placed near the television to triangulate its location in three dimensions."
Ilmuwan mengatakan bulu hewan ini berwarna cokelat seperti kastanye di bagian atas dengan bagian bawah berwarna pucat atau karotenoid.,"Indonesian: Ilmuwan mengatakan bulu hewan ini berwarna cokelat seperti kastanye di bagian atas dengan bagian bawah berwarna pucat atau karotenoid. 
English: The animal's fur is a dark brown color with a pale underside.",The animal's fur is a dark brown color with a pale underside.
"Kedua senyawa bereaksi satu sama lain untuk membentuk kristal yang dapat menghalangi fungsi ginjal, kata para peneliti di universitas tersebut.","Indonesian: Kedua senyawa bereaksi satu sama lain untuk membentuk kristal yang dapat menghalangi fungsi ginjal, kata para peneliti di universitas tersebut. 
English: Both compounds react with each other to form crystals that can block kidney function, according to researchers at the university.","Both compounds react with each other to form crystals that can block kidney function, according to researchers at the university."
