text,translated_text,clean_output
"Epongoloko linena ocituwa c’okaliye kukãyi, kwenda etokeko litundisa k’epongoloko lyaca.","Umbundu: Epongoloko linena ocituwa c’okaliye kukãyi, kwenda etokeko litundisa k’epongoloko lyaca. 
English: The linseed oil is used to make soap, and the oil is also used to make candles and other products.","The linseed oil is used to make soap, and the oil is also used to make candles and other products."
Ombomba yo fissão italavaya no lo cinyi oco tu kape vimwe oloprotões kwenda oloneutrões.,"Umbundu: Ombomba yo fissão italavaya no lo cinyi oco tu kape vimwe oloprotões kwenda oloneutrões. 
English: The neutron is a subatomic particle that is the product of the fission of a uranium nucleus.",The neutron is a subatomic particle that is the product of the fission of a uranium nucleus.
Etungo lyatokekiwa l’ovina vivali-olonewtõlo kwenda olopotõlo.,"Umbundu: Etungo lyatokekiwa l’ovina vivali-olonewtõlo kwenda olopotõlo. 
English: The earth is a living organism that breathes and moves.
Umbundu: Etungo lyatokekiwa l’ovina vivali-olonewtõlo ya olopotõlo.
English: The earth is a living organism that breathes and moves.
Umbundu: Etungo lyatokekiwa l’ovina vivali-olonewtõlo ya olopotõlo.
English: The earth is a living organism that breathes and moves.
Umbundu: Etungo lyatokekiwa l’",The earth is a living organism that breathes and moves.
Eci ca ecelela okuti olonte vio zoom vikuatisa oku tala kuwa ndci ololente vi vanja kupalã.,"Umbundu: Eci ca ecelela okuti olonte vio zoom vikuatisa oku tala kuwa ndci ololente vi vanja kupalã. 
English: The first thing to do is to turn the zoom lens on and then adjust the focus.",The first thing to do is to turn the zoom lens on and then adjust the focus.
"Vaswapo vali olo proxies vyo web mekonda lyolonjongole vyalwa. Endisi olonjila vyosi vyo-internet, acikale-ñgo o http.","Umbundu: Vaswapo vali olo proxies vyo web mekonda lyolonjongole vyalwa. Endisi olonjila vyosi vyo-internet, acikale-ñgo o http. 
English: The proxy server is a server that acts as a middleman between the client and the web server. It is used to hide the client's IP address and to redirect the client's requests to the web server.",It is used to hide the client's IP address and to redirect the client's requests to the web server. The proxy server is a server that acts as a middleman between the client and the web server.
Epango lipongoloka lipinga ekonomwiso kwenda ukulĩhiso k’ovisimĩlo vitunga olonjo vinene vitunga ovina kwenda okupanga evi viskiliwa.,"Umbundu: Epango lipongoloka lipinga ekonomwiso kwenda ukulĩhiso k’ovisimĩlo vitunga olonjo vinene vitunga ovina kwenda okupanga evi viskiliwa. 
English: The economy of the country is based on agriculture, livestock, and forestry.","The economy of the country is based on agriculture, livestock, and forestry."
"Eci capongolola ekalo lyavosi, pole elyenge lyanene ekavo lyalwa k’alola vyevaya vyolomboyo.","Umbundu: Eci capongolola ekalo lyavosi, pole elyenge lyanene ekavo lyalwa k’alola vyevaya vyolomboyo. 
English: The man is a thief, he has stolen the money from the bank. 
Umbundu: Eci capongolola ekalo lyavosi, pole elyenge lyanene ekavo lyalwa k’alola vyevaya vyolomboyo. 
English: The man is a thief, he has stolen the money from the bank. 
Umbundu: Eci capongolola ekalo lyavosi, pole elyenge lyanene ekavo lyalwa k’alola vyev","The man is a thief, he has stolen the money from the bank."
"Tukwata Alkateya eci tusanga ovinyama vitatu akũlu vikasi ciwa, kwenda tusanga ovinyama akãyi kwenda omãla vyaco.","Umbundu: Tukwata Alkateya eci tusanga ovinyama vitatu akũlu vikasi ciwa, kwenda tusanga ovinyama akãyi kwenda omãla vyaco. 
English: The king of the earth is the king of the sky, and the king of the sky is the king of the earth.","The king of the earth is the king of the sky, and the king of the sky is the king of the earth."
"Ndaño o IA, cikasi ndukilihiso wuhembi o IA onepa imue ikuete esilivilo lialua kukulihso wo computação, yatiama kekalo, kelongiso kuenda uloño wolomakina.","Umbundu: Ndaño o IA, cikasi ndukilihiso wuhembi o IA onepa imue ikuete esilivilo lialua kukulihso wo computação, yatiama kekalo, kelongiso kuenda uloño wolomakina. 
English: Damage or IA, cikasi ndukilihiso wuhembi o IA onepa imue ikuete esilivilo lialua kukulihso wo computação, yatiama kekalo, kelongiso kuenda uloño wolomakina.","Damage or IA, cikasi ndukilihiso wuhembi o IA onepa imue ikuete esilivilo lialua kukulihso wo computação, yatiama kekalo, kelongiso kuenda uloño wolomakina."
Etungo lyaco (okulitepisa k’olonepa ekwĩ lavali oco citave okukwata etendelo limosi lika) oyo lika lyeca 3:2.,"Umbundu: Etungo lyaco (okulitepisa k’olonepa ekwĩ lavali oco citave okukwata etendelo limosi lika) oyo lika lyeca 3:2. 
English: The third day of the week is the Sabbath. It is a day of rest, a day of rest from all work. It is a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work,","It is a day of rest, a day of rest from all work. It is a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, a day of rest from all work, The third day of the week is the Sabbath."
"Otelefone imwe yosatelite kapiñgala otelemovel, osimbu okuti te wakala k’osamwa l’okuvanja ciwa elinya litokeka k’osatelite oco okwate ekonomwiso.","Umbundu: Otelefone imwe yosatelite kapiñgala otelemovel, osimbu okuti te wakala k’osamwa l’okuvanja ciwa elinya litokeka k’osatelite oco okwate ekonomwiso. 
English: The mobile phone is a portable telephone that can be carried in the pocket or bag. It is a small, lightweight, and portable device that can be used to make and receive calls. It is also used to send and receive text messages, and to access the Internet.","It is a small, lightweight, and portable device that can be used to make and receive calls. The mobile phone is a portable telephone that can be carried in the pocket or bag. It is also used to send and receive text messages, and to access the Internet."
