text,translated_text,clean_output
त्परिवर्तन से नई आनुवंशिक विभिन्नता जुड़त है अऊर चयन व्यक्त भिन्नता का समूह से हटाई देत है।,"Awadhi: त्परिवर्तन से नई आनुवंशिक विभिन्नता जुड़त है अऊर चयन व्यक्त भिन्नता का समूह से हटाई देत है। 
English: Mutation: Mutation is a change in the DNA sequence.",Mutation: Mutation is a change in the DNA sequence.
विखंडन बम इ सिद्धांत पर काम करत है कि कईयो प्रोटॉन अऊर न्यूट्रॉन का नाभिक मा एक साथ रखय का लिए ऊर्जा की ज़रूरत होत है।,"Awadhi: विखंडन बम इ सिद्धांत पर काम करत है कि कईयो प्रोटॉन अऊर न्यूट्रॉन का नाभिक मा एक साथ रखय का लिए ऊर्जा की ज़रूरत होत है। 
English: The bomb: The atomic bomb is a device that uses nuclear fission to create energy.",The bomb: The atomic bomb is a device that uses nuclear fission to create energy.
नाभिक मा द्वि तरह का कण न्यूट्रॉन अऊर प्रोटॉन होत हैं।,"Awadhi: नाभिक मा द्वि तरह का कण न्यूट्रॉन अऊर प्रोटॉन होत हैं। 
English: Atom: A nucleus consists of two particles.",Atom: A nucleus consists of two particles.
एके वजह से ज़ूम लेंस द्वारा बना चित्र लगभग एक निश्चित फोकल लंबाई वाले लेंस द्वारा बने चित्र का तरह होए लाग।,"Awadhi: एके वजह से ज़ूम लेंस द्वारा बना चित्र लगभग एक निश्चित फोकल लंबाई वाले लेंस द्वारा बने चित्र का तरह होए लाग। 
English: Zoom lens: A zoom lens is a special type of lens that focuses a long distance object.",Zoom lens: A zoom lens is a special type of lens that focuses a long distance object.
"इ कईयो कारण से वेब प्रॉक्सी से बेहतर होत हैं। इ http ही नाहीं, बल्कि सब इंटरनेट ट्रैफ़िक का रूट बदल देत हैं।","Awadhi: इ कईयो कारण से वेब प्रॉक्सी से बेहतर होत हैं। इ http ही नाहीं, बल्कि सब इंटरनेट ट्रैफ़िक का रूट बदल देत हैं। 
English: They are better at hiding your IP address. They are not http, but they route all the Internet traffic.","They are not http, but they route all the Internet traffic. They are better at hiding your IP address."
इंटरैक्टिव डिज़ाइन ताइन ई जरुरी है कि आप मीडिया उत्पादन का बारे मा आपन विचार का पुनर्मूल्यांकन करैं और गैर-परंपरागत तरीके से सोचब सीखैं।,"Awadhi: इंटरैक्टिव डिज़ाइन ताइन ई जरुरी है कि आप मीडिया उत्पादन का बारे मा आपन विचार का पुनर्मूल्यांकन करैं और गैर-परंपरागत तरीके से सोचब सीखैं। 
English: Interaction design: Interactive design requires you to rethink your approach to media production and learn to think outside the box.",Interaction design: Interactive design requires you to rethink your approach to media production and learn to think outside the box.
इ सामान्य बात होई ग लेकिन लोहा की वजह से वैगनन का लकड़ी का पहियन पर बहुत अधिक घिसाव होये लगा।,"Awadhi: इ सामान्य बात होई ग लेकिन लोहा की वजह से वैगनन का लकड़ी का पहियन पर बहुत अधिक घिसाव होये लगा। 
English: The answer: No",The answer: No
"प्राइड मा एक से तीन वयस्क पुरुष, अउर कुल तीस मादा अउर शावक होथीं।","Awadhi: प्राइड मा एक से तीन वयस्क पुरुष, अउर कुल तीस मादा अउर शावक होथीं। 
English: Adder: The Adder is a one to three adult males, and up to thirty females and cubs.","Adder: The Adder is a one to three adult males, and up to thirty females and cubs."
"हालांकि,विज्ञान की दुनिया मा AI काफी अहम है। AI कंप्यूटर विज्ञान एक बहुत ही महत्वपूर्ण शाखा बनावत है। एकर काम  मशीन मा व्यवहार का पढ़ब, सीखब अऊर बुद्धि ग्रहण करब है।","Awadhi: हालांकि,विज्ञान की दुनिया मा AI काफी अहम है। AI कंप्यूटर विज्ञान एक बहुत ही महत्वपूर्ण शाखा बनावत है। एकर काम  मशीन मा व्यवहार का पढ़ब, सीखब अऊर बुद्धि ग्रहण करब है। 
English: AI: Artificial Intelligence",AI: Artificial Intelligence
ई लिए ई प्रारूप का अभिमुखता अनुपात (सबसे सरल पूर्ण-संख्या अनुपात प्राप्त करै खातिर बारह से भाग दे पर) का 3:2 कहा जाथे।,"Awadhi: ई लिए ई प्रारूप का अभिमुखता अनुपात (सबसे सरल पूर्ण-संख्या अनुपात प्राप्त करै खातिर बारह से भाग दे पर) का 3:2 कहा जाथे। 
English: The aspect ratio of this format is therefore 3:2.",The aspect ratio of this format is therefore 3:2.
