text,translated_text,clean_output
சிதைவுகள் புதிய மரபணு மாறுதல்களை சேர்க்கிறது மற்றும் தேர்ந்தெடுத்தல் அதை கூறப்பட்ட மாறுதல் வகையிலிருந்து நீக்குகிறது.,"Tamil: சிதைவுகள் புதிய மரபணு மாறுதல்களை சேர்க்கிறது மற்றும் தேர்ந்தெடுத்தல் அதை கூறப்பட்ட மாறுதல் வகையிலிருந்து நீக்குகிறது. 
English: Transgenerational mutation: The addition of a new genetic change to a given species, and the removal of a given trait.","Transgenerational mutation: The addition of a new genetic change to a given species, and the removal of a given trait."
ஃபிஷன் பாம் என்பது பல புரோட்டான்கள் மற்றும் நியூட்ரான்களுடன் ஒரு நியூக்ளியஸை ஒன்றாக இணைக்க ஆற்றலைப் பயன்படுத்தும் கொள்கையின் அடிப்படையில் செயல்படுகிறது.,"Tamil: ஃபிஷன் பாம் என்பது பல புரோட்டான்கள் மற்றும் நியூட்ரான்களுடன் ஒரு நியூக்ளியஸை ஒன்றாக இணைக்க ஆற்றலைப் பயன்படுத்தும் கொள்கையின் அடிப்படையில் செயல்படுகிறது. 
English: Fission is a process in which a nucleus, which is a particle, is combined with a nucleus, a proton, and a neutron to form a new particle.","Fission is a process in which a nucleus, which is a particle, is combined with a nucleus, a proton, and a neutron to form a new particle."
ஒரு அணுக்கரு ப்ரோட்டான் நியூட்ரான் என்ற இரண்டு துகள்களை உள்ளடக்கியது.,"Tamil: ஒரு அணுக்கரு ப்ரோட்டான் நியூட்ரான் என்ற இரண்டு துகள்களை உள்ளடக்கியது. 
English: A neutron is a particle of mass m and charge n.",A neutron is a particle of mass m and charge n.
இது நிலையான குவிய நீளம் கொண்ட லென்ஸ்கள் மூலம் கிடைக்கும் ஒரு தரமான படங்களுடன் ஒப்பிடக்கூடிய அளவுக்குப் படங்களைத் தயாரிக்க ஜூம் லென்ஸ்களுக்கு உதவுகிறது.,"Tamil: இது நிலையான குவிய நீளம் கொண்ட லென்ஸ்கள் மூலம் கிடைக்கும் ஒரு தரமான படங்களுடன் ஒப்பிடக்கூடிய அளவுக்குப் படங்களைத் தயாரிக்க ஜூம் லென்ஸ்களுக்கு உதவுகிறது. 
English: The Gullible Lens is a good way to get a good quality picture at a reasonable price.",The Gullible Lens is a good way to get a good quality picture at a reasonable price.
பல காரணங்களுக்காக அவை உயர்தர இணைய பரொக்ஸிகள் ஆகும். அவை ஹெச் டி டி பி யை மட்டுமல்லாமல் எல்லா இணைய போக்குவரத்தை மட்டுமல்லாமல் திருப்பி விடுகின்றன.,"Tamil: பல காரணங்களுக்காக அவை உயர்தர இணைய பரொக்ஸிகள் ஆகும். அவை ஹெச் டி டி பி யை மட்டுமல்லாமல் எல்லா இணைய போக்குவரத்தை மட்டுமல்லாமல் திருப்பி விடுகின்றன. 
English: They are also a high quality of web services. They do not only return the http traffic but also the all the other http traffic.",They are also a high quality of web services. They do not only return the http traffic but also the all the other http traffic.
நேரிடை வடிவமைப்பிற்கு ஊடக உற்பத்தி குறித்த உங்கள் அனுமானங்களை மறு மதிப்பீடு செய்ய வேண்டும் மற்றும் மரபு வழியை மீறி சிந்திக்க கற்றுக்கொள்ள வேண்டும்.,"Tamil: நேரிடை வடிவமைப்பிற்கு ஊடக உற்பத்தி குறித்த உங்கள் அனுமானங்களை மறு மதிப்பீடு செய்ய வேண்டும் மற்றும் மரபு வழியை மீறி சிந்திக்க கற்றுக்கொள்ள வேண்டும். 
English: Think of the way that you would be a media person.",Think of the way that you would be a media person.
"இது வழக்கமான பழக்கமாக மாறிவிட்ட போதிலும், இரும்பு வண்டிகளின் மரச்சக்கரங்களில் அதிக தேய்மானத்தை ஏற்படுத்தியது.","Tamil: இது வழக்கமான பழக்கமாக மாறிவிட்ட போதிலும், இரும்பு வண்டிகளின் மரச்சக்கரங்களில் அதிக தேய்மானத்தை ஏற்படுத்தியது. 
English: This is a normal way of life, but the use of heavy trucks in the road has made the road more prone to rust.","This is a normal way of life, but the use of heavy trucks in the road has made the road more prone to rust."
"சிங்கங்களின் குழு என்பது ஒன்று முதல் மூன்று வரையிலான பெரிய ஆண் சிங்கங்களுடன், முப்பது பெண் சிங்கங்களும், குட்டிகளும் கொண்டதாகும்.","Tamil: சிங்கங்களின் குழு என்பது ஒன்று முதல் மூன்று வரையிலான பெரிய ஆண் சிங்கங்களுடன், முப்பது பெண் சிங்கங்களும், குட்டிகளும் கொண்டதாகும். 
English: A lion is a large, male lion with a group of four to ten female lionesses.","A lion is a large, male lion with a group of four to ten female lionesses."
"ஏ ஐ என்பது அவர் அறிவியல் புதினத்திறகு பெரும் தொடர்புடையதாக இருந்தாலும், ஏ ஐ கணினி அறிவியலின் ஒரு முக்கியமான கிளை, இயந்திரத்தின் நடத்தை, கற்றல் மற்றும் புத்திசாலித்தனமான மாற்றம் போன்றவற்றைக் கையாள்கிறது.","Tamil: ஏ ஐ என்பது அவர் அறிவியல் புதினத்திறகு பெரும் தொடர்புடையதாக இருந்தாலும், ஏ ஐ கணினி அறிவியலின் ஒரு முக்கியமான கிளை, இயந்திரத்தின் நடத்தை, கற்றல் மற்றும் புத்திசாலித்தனமான மாற்றம் போன்றவற்றைக் கையாள்கிறது. 
English: He is a major part of the research in computer science, and the AI is a major branch of computer science, in which the use of machines, learning, and the development of intelligent software are used.","He is a major part of the research in computer science, and the AI is a major branch of computer science, in which the use of machines, learning, and the development of intelligent software are used."
எனவே இந்த வடிவமைப்பின் தோற்ற விகிதம் (எளிமையான முழு எண் விகிதத்தைப் பெற பன்னிரண்டால் வகுத்தல்) 3:2 எனக் கூறப்படுகிறது.,"Tamil: எனவே இந்த வடிவமைப்பின் தோற்ற விகிதம் (எளிமையான முழு எண் விகிதத்தைப் பெற பன்னிரண்டால் வகுத்தல்) 3:2 எனக் கூறப்படுகிறது. 
English: Therefore, the form factor (the ratio of the number of factors in a given number) is given as 3:2","Therefore, the form factor (the ratio of the number of factors in a given number) is given as 3:2"
