text,translated_text,clean_output
"Мутація додає нову генетичну варіацію, а селекція прибирає її з сукупності виражених варіацій.","Ukrainian: Мутація додає нову генетичну варіацію, а селекція прибирає її з сукупності виражених варіацій. 
English: The new culture of the city is a mixture of the old and the new, and the old is reflected in the new.","The new culture of the city is a mixture of the old and the new, and the old is reflected in the new."
"Атомна бомба працює за таким принципом, що вона бере енергію, щоб зібрати разом ядро з багатьома протонами та нейтронами.","Ukrainian: Атомна бомба працює за таким принципом, що вона бере енергію, щоб зібрати разом ядро з багатьома протонами та нейтронами. 
English: The U.S. government is trying to prevent the spread of a disease that is not a virus, but a disease of the airway, by limiting the number of people who are allowed to enter the country.","The U.S. government is trying to prevent the spread of a disease that is not a virus, but a disease of the airway, by limiting the number of people who are allowed to enter the country."
Ядро складається з двох частинок – нейтронів і протонів.,"Ukrainian: Ядро складається з двох частинок – нейтронів і протонів. 
English: The main city is Kiev, the capital.","The main city is Kiev, the capital."
"Це дозволило зум-об'єктивам створювати фотографії за якістю співставні із тією, яку досягають об'єктиви із постійною фокусною відстанню.","Ukrainian: Це дозволило зум-об'єктивам створювати фотографії за якістю співставні із тією, яку досягають об'єктиви із постійною фокусною відстанню. 
English: The use of photography as a form of communication is a very old tradition, and in the past, it was used to send messages and to make pictures.","The use of photography as a form of communication is a very old tradition, and in the past, it was used to send messages and to make pictures."
"Є кращими, ніж веб-проксі з декількох причин: вони переадресовують весь інтернет-трафік, а не лише http.","Ukrainian: Є кращими, ніж веб-проксі з декількох причин: вони переадресовують весь інтернет-трафік, а не лише http. 
English: The first is a proxy, a web service that redirects the traffic to a different web server, rather than a http.","The first is a proxy, a web service that redirects the traffic to a different web server, rather than a http."
"Інтерактивний дизайн вимагає того, щоб ви переоцінили свої уявлення про медіавиробництво і навчилися думати нелінійно.","Ukrainian: Інтерактивний дизайн вимагає того, щоб ви переоцінили свої уявлення про медіавиробництво і навчилися думати нелінійно. 
English: The Internet of Things, or the Internet of things, is a set of devices, software, and services that allow people to use, interact, and control devices and other things in a way that is not possible using physical devices.","The Internet of Things, or the Internet of things, is a set of devices, software, and services that allow people to use, interact, and control devices and other things in a way that is not possible using physical devices."
"Це стало звичайною практикою, хоч залізо спричиняло більше зношення дерев'яних коліс вагонів.","Ukrainian: Це стало звичайною практикою, хоч залізо спричиняло більше зношення дерев'яних коліс вагонів. 
English: The concept of a ""landmark"" is a common one, and the use of a ""landmark"" in a work of art is a common practice.","The concept of a ""landmark"" is a common one, and the use of a ""landmark"" in a work of art is a common practice."
"До прайду входять від одного до трьох дорослих самців-родичів, а також до тридцяти самиць і дитинчат.","Ukrainian: До прайду входять від одного до трьох дорослих самців-родичів, а також до тридцяти самиць і дитинчат. 
English: A person is a member of a group of people who are in a particular social position, usually a class, a social group, a family, a profession, or a group of people.","A person is a member of a group of people who are in a particular social position, usually a class, a social group, a family, a profession, or a group of people."
"Хоча ШІ має сильні конотації з наковою фантастикою, ШІ формує дуже важливий підрозділ комп'ютерних наук, що вивчає поведінку, навчання та інтелектуальну адаптацію машини.","Ukrainian: Хоча ШІ має сильні конотації з наковою фантастикою, ШІ формує дуже важливий підрозділ комп'ютерних наук, що вивчає поведінку, навчання та інтелектуальну адаптацію машини. 
English: The Russian Federation is a federation of two states, the Russian Federation and the Russian Federation of Central Asia, which is a part of the United States.","The Russian Federation is a federation of two states, the Russian Federation and the Russian Federation of Central Asia, which is a part of the United States."
Співвідношення сторін цього формату (поділене на дванадцять щоб отримати найпростіше спвівідношення цілих чисел) тому і вважається 3:2.,"Ukrainian: Співвідношення сторін цього формату (поділене на дванадцять щоб отримати найпростіше спвівідношення цілих чисел) тому і вважається 3:2. 
English: The number of squares in a square (3) is the same as the number of sides of a square (2).",The number of squares in a square (3) is the same as the number of sides of a square (2).
"Супутниковий телефон, як правило, не є заміною мобільного, оскільки ви маєте бути на відкритому повітрі з чіткою видимістю зі супутника, щоб зробити телефонний дзвінок.","Ukrainian: Супутниковий телефон, як правило, не є заміною мобільного, оскільки ви маєте бути на відкритому повітрі з чіткою видимістю зі супутника, щоб зробити телефонний дзвінок. 
English: The Russian telephones, in general, are not very good, but you can get a phone with a decent picture quality, which is a good sign.","The Russian telephones, in general, are not very good, but you can get a phone with a decent picture quality, which is a good sign."
"І хоча гужові дороги, по суті, були двома паралельно розміщеними дошками з дерева, вони дозволяли коням, які працювали на них, розвивати вищу швидкість та тягти важчий вантаж, аніж по трохи більш вибоїстішим тогочасним звичайним дорогам.","Ukrainian: І хоча гужові дороги, по суті, були двома паралельно розміщеними дошками з дерева, вони дозволяли коням, які працювали на них, розвивати вищу швидкість та тягти важчий вантаж, аніж по трохи більш вибоїстішим тогочасним звичайним дорогам. 
English: The Hodka Gorge, in the north, is a spectacular, winding, and narrow, valley, with a number of small, isolated, rocky, and rocky outcrops, and a number of small, isolated, rocky, and rocky outcrops, and a number of small, isolated, rocky outcrops, and a number of small, isolated, rocky outcrops, and a number of small, isolated, rocky outcrops,","The Hodka Gorge, in the north, is a spectacular, winding, and narrow, valley, with a number of small, isolated, rocky, and rocky outcrops, and a number of small, isolated, rocky, and rocky outcrops, and a number of small, isolated, rocky outcrops, and a number of small, isolated, rocky outcrops, and a number of small, isolated, rocky outcrops,"
"Люди знали про базові хімічні елементи, такі як золото, срібло та мідь із античних часів, оскільки всіх їх можна знайти у природі у нативній формі, і добувати їх примітивними інструментами доволі просто.","Ukrainian: Люди знали про базові хімічні елементи, такі як золото, срібло та мідь із античних часів, оскільки всіх їх можна знайти у природі у нативній формі, і добувати їх примітивними інструментами доволі просто. 
English: The Russian language is a relatively simple language, and in some cases, the pronunciation of the language is relatively easy, but in other cases, the pronunciation is a bit difficult, especially in the case of the words, which are difficult to pronounce, and in the case of the phrases, which are difficult to pronounce","The Russian language is a relatively simple language, and in some cases, the pronunciation of the language is relatively easy, but in other cases, the pronunciation is a bit difficult, especially in the case of the words, which are difficult to pronounce, and in the case of the phrases, which are difficult to pronounce"
"Колесо неймовірним чином змінило світ. Найбільше, що колесо зробило для нас — дало можливість значно простіше та швидше здійснювати транспортування.","Ukrainian: Колесо неймовірним чином змінило світ. Найбільше, що колесо зробило для нас — дало можливість значно простіше та швидше здійснювати транспортування. 
English: The Russian language is a relatively simple language, and the use of the language is relatively easy.","The Russian language is a relatively simple language, and the use of the language is relatively easy."
"Це робиться для того, щоб зображення покривало весь екран. Це називається розгортка.","Ukrainian: Це робиться для того, щоб зображення покривало весь екран. Це називається розгортка. 
English: The screen is a display of the image.",The screen is a display of the image.
Німецькі підводні човни називалися U-Boats. Німці дуже добре розумілися на навігації та управлінні своїми підводними човнами.,"Ukrainian: Німецькі підводні човни називалися U-Boats. Німці дуже добре розумілися на навігації та управлінні своїми підводними човнами. 
English: The U-Boats were a class of boats that were used in the navy.",The U-Boats were a class of boats that were used in the navy.
"Хоча її фізичний стан може змінюватись, її хімічний склад залишається тим самим.","Ukrainian: Хоча її фізичний стан може змінюватись, її хімічний склад залишається тим самим. 
English: The use of a hickey to mark a point in a sentence is a form of marking, and a hickey is a form of marking.","The use of a hickey to mark a point in a sentence is a form of marking, and a hickey is a form of marking."
"Поверхневий натяг виникає через те, що молекули води на її поверхні прив'язані одна до одної набагато сильніше, ніж до молекул повітря над ними.","Ukrainian: Поверхневий натяг виникає через те, що молекули води на її поверхні прив'язані одна до одної набагато сильніше, ніж до молекул повітря над ними. 
English: The Russian language is a very complex language, and a lot of words are difficult to pronounce, even in the native language.","The Russian language is a very complex language, and a lot of words are difficult to pronounce, even in the native language."
Одна з найпоширеніших проблем під час конвертації фільму у ДВД-формат — облямівка.,"Ukrainian: Одна з найпоширеніших проблем під час конвертації фільму у ДВД-формат — облямівка. 
English: A new set of problems in the conversion of the DVB-T format to the DVB-FFT.",A new set of problems in the conversion of the DVB-T format to the DVB-FFT.
