text,translated_text,clean_output
"उत्परिवर्तन नया आनुवंशिक भिन्नता जोड़ हई, अउ चयन एगोरा प्रकट भिन्नता के समूह से हटा देवो हई।","Magahi: उत्परिवर्तन नया आनुवंशिक भिन्नता जोड़ हई, अउ चयन एगोरा प्रकट भिन्नता के समूह से हटा देवो हई। 
English: Mutation: New genetic variation is added. Selection: The variation is removed from the pool of expressed variation.",Mutation: New genetic variation is added. Selection: The variation is removed from the pool of expressed variation.
विखंडन बम ई सिद्धांत पर काम करो हय कि कई प्रोटॉन अउ न्यूट्रॉन के साथ एगो नाभिक के एगो साथ रखे लगी ऊर्जा के आवश्यकता होवो हय।,"Magahi: विखंडन बम ई सिद्धांत पर काम करो हय कि कई प्रोटॉन अउ न्यूट्रॉन के साथ एगो नाभिक के एगो साथ रखे लगी ऊर्जा के आवश्यकता होवो हय। 
English: Fission bomb: This is the theory that requires a nucleus with many protons and neutrons to hold a certain amount of energy.",Fission bomb: This is the theory that requires a nucleus with many protons and neutrons to hold a certain amount of energy.
नाभिक में दू कण होवो हय - न्यूट्रॉन अउ प्रोटॉन।,"Magahi: नाभिक में दू कण होवो हय - न्यूट्रॉन अउ प्रोटॉन। 
English: Nucleus: A nucleus consists of two particles - neutrons and protons.",Nucleus: A nucleus consists of two particles - neutrons and protons.
एगोरा से नियत फोकल लंबाई वाला लेंस के तुलना में जूम लेंस ज्यादा बढ़िया गुणवत्ता के पिक्चर बनावे में सक्षम होलई।,"Magahi: एगोरा से नियत फोकल लंबाई वाला लेंस के तुलना में जूम लेंस ज्यादा बढ़िया गुणवत्ता के पिक्चर बनावे में सक्षम होलई। 
English: Zoom lens: A lens that can focus from a wide-angle to a telephoto range.",Zoom lens: A lens that can focus from a wide-angle to a telephoto range.
"ऊ कैगो कारण से वेब प्रॉक्सी से बेहतर हई: ऊ केवल एच टी टी पी ही नए, बल्कि सभे इंटरनेट ट्रैफ़िक के फिर से रूट करई हई।","Magahi: ऊ कैगो कारण से वेब प्रॉक्सी से बेहतर हई: ऊ केवल एच टी टी पी ही नए, बल्कि सभे इंटरनेट ट्रैफ़िक के फिर से रूट करई हई। 
English: Pros: Better than web proxies: It re-routes all Internet traffic, not only http.","Pros: Better than web proxies: It re-routes all Internet traffic, not only http."
इन्टरैक्टिव डिजाइन ला जरूरी हई कि मीडिया प्रोडक्शन के बारे में तू अपन धारणा के पुनर्मूल्यांकन कर आऊर अलग तरीका से सोचूं।,"Magahi: इन्टरैक्टिव डिजाइन ला जरूरी हई कि मीडिया प्रोडक्शन के बारे में तू अपन धारणा के पुनर्मूल्यांकन कर आऊर अलग तरीका से सोचूं। 
English: Interactive design requires that you re-assess your assumptions about media production and think in a non-linear ways.",Interactive design requires that you re-assess your assumptions about media production and think in a non-linear ways.
"ई आम बात हो गेले हय, बाकि लोहा वैगन के लकड़ी के पहिया पर अधिक घिसाव करले।","Magahi: ई आम बात हो गेले हय, बाकि लोहा वैगन के लकड़ी के पहिया पर अधिक घिसाव करले। 
English: Worse: This is common, but the iron will wear down the wooden wheels more quickly.","Worse: This is common, but the iron will wear down the wooden wheels more quickly."
"गर्व एगो से तीन संबंधित वयस्क पुरुषों से बनल होवो हय, साथे ही तीस मादा आऊर शावक भी होवो हय।","Magahi: गर्व एगो से तीन संबंधित वयस्क पुरुषों से बनल होवो हय, साथे ही तीस मादा आऊर शावक भी होवो हय। 
English: Prides: Prides are groups of three to five related adult males, along with as many as thirty females and cubs.","Prides: Prides are groups of three to five related adult males, along with as many as thirty females and cubs."
"हालांकि एआई में विज्ञान कथा के एगो मजबूत अर्थ हय, एआई कंप्यूटर विज्ञान के एगो बहुत ही महत्वपूर्ण शाखा हय, जे मशीन में व्यवहार, सीखने अउ बुद्धिमान अनुकूलन से संबंधित हय।","Magahi: हालांकि एआई में विज्ञान कथा के एगो मजबूत अर्थ हय, एआई कंप्यूटर विज्ञान के एगो बहुत ही महत्वपूर्ण शाखा हय, जे मशीन में व्यवहार, सीखने अउ बुद्धिमान अनुकूलन से संबंधित हय। 
English: Science Fiction: Although AI has a strong connotation of science fiction, AI is a very important branch of computer science, dealing with behavior, learning and intelligent adaptation in a machine.","Science Fiction: Although AI has a strong connotation of science fiction, AI is a very important branch of computer science, dealing with behavior, learning and intelligent adaptation in a machine."
इ फॉरमेट के चौड़ाई- ऊंचाई अनुपात (12 से भाग दे के सामान्य पूर्णांक अनुपात प्राप्त करे ला) ई लेल 3:2 कहल जा हई।,"Magahi: इ फॉरमेट के चौड़ाई- ऊंचाई अनुपात (12 से भाग दे के सामान्य पूर्णांक अनुपात प्राप्त करे ला) ई लेल 3:2 कहल जा हई। 
English: Aspect ratio: This format's aspect ratio (divide by twelve to get the simplest whole-number ratio) is therefore said to be 3:2.",Aspect ratio: This format's aspect ratio (divide by twelve to get the simplest whole-number ratio) is therefore said to be 3:2.
"एगो सैटेलाइट फोन आम तौर पर एगो मोबाइल फोन के लेल एगो प्रतिस्थापन नए होई छई, काहेकी अहां के फोन कॉल करे के लेल उपग्रह के लेल स्पष्ट दृष्टि के जौरे बाहर होए के पड़ई हई।","Magahi: एगो सैटेलाइट फोन आम तौर पर एगो मोबाइल फोन के लेल एगो प्रतिस्थापन नए होई छई, काहेकी अहां के फोन कॉल करे के लेल उपग्रह के लेल स्पष्ट दृष्टि के जौरे बाहर होए के पड़ई हई। 
English: Limitations: Satellite phones are usually not a good replacement for a mobile phone, as you will need to be outdoors with clear line of sight to the satellite to make a phone call.","Limitations: Satellite phones are usually not a good replacement for a mobile phone, as you will need to be outdoors with clear line of sight to the satellite to make a phone call."
"बाकि वैगनवे में खालि लकड़ी के समानांतर तखता रहले हले, ऊ घोड़ा के जादा तेज दौडावे अउ दिन में अधिक उबड़-खाबड़ सड़क के तुलना में अधिक भार खिचे में मदद करो हले।","Magahi: बाकि वैगनवे में खालि लकड़ी के समानांतर तखता रहले हले, ऊ घोड़ा के जादा तेज दौडावे अउ दिन में अधिक उबड़-खाबड़ सड़क के तुलना में अधिक भार खिचे में मदद करो हले। 
English: Benefits: The wagonways were wider, with wooden planks laid parallel to each other, allowing horses to pull heavier loads and going faster than on the rougher roads of the day.","Benefits: The wagonways were wider, with wooden planks laid parallel to each other, allowing horses to pull heavier loads and going faster than on the rougher roads of the day."
"लोगन पुराने समय से बुनियादी रासायनिक तत्वं जैसे सोना, चांदी अउ तांबे के बारे में जान हलय, काहे की ई सब प्रकृति में मूल रूप में खोजल जा सको हय अउ पुराणां मशीन के साथ ज्यादा आसान हलय।","Magahi: लोगन पुराने समय से बुनियादी रासायनिक तत्वं जैसे सोना, चांदी अउ तांबे के बारे में जान हलय, काहे की ई सब प्रकृति में मूल रूप में खोजल जा सको हय अउ पुराणां मशीन के साथ ज्यादा आसान हलय। 
English: History: People have known about basic chemical elements such as gold, silver, and copper from antiquity, as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools.","History: People have known about basic chemical elements such as gold, silver, and copper from antiquity, as these can all be discovered in nature in native form and are relatively simple to mine with primitive tools."
"पहिया दुनिया के अविश्वसनीय तरीकों से बदल दलकय हय। पहिया हमनही के लगी जे सबसे बड़ी चीज के हय, ऊ हमनही के बहुत आसान आऊर तेज परिवहन प्रदान करो हय।","Magahi: पहिया दुनिया के अविश्वसनीय तरीकों से बदल दलकय हय। पहिया हमनही के लगी जे सबसे बड़ी चीज के हय, ऊ हमनही के बहुत आसान आऊर तेज परिवहन प्रदान करो हय। 
English: Wheel: The wheel has changed the world in incredible ways. The wheel has made our lives much easier and faster.",Wheel: The wheel has changed the world in incredible ways. The wheel has made our lives much easier and faster.
ई अइसन इहे लगी करते हयं ताकि फोटुआ पूरा टीवी स्क्रीन पर दिखे।एगोरा ओवेरस्कैन कहल जा हय।,"Magahi: ई अइसन इहे लगी करते हयं ताकि फोटुआ पूरा टीवी स्क्रीन पर दिखे।एगोरा ओवेरस्कैन कहल जा हय। 
English: Zoom lens: This is done to make the picture fill the whole screen. This is called overscan.",This is called overscan. Zoom lens: This is done to make the picture fill the whole screen.
जर्मन पनडुब्बि के यू-बोट कहल जावो हलय। जर्मन अपन पनडुब्बि के नेविगेट करे आऊर संचालित करे में बहुत अच्छा हलय।,"Magahi: जर्मन पनडुब्बि के यू-बोट कहल जावो हलय। जर्मन अपन पनडुब्बि के नेविगेट करे आऊर संचालित करे में बहुत अच्छा हलय। 
English: Submarines: German submarines were called U-Boats. The Germans were very good at navigating and operating their submarines.",The Germans were very good at navigating and operating their submarines. Submarines: German submarines were called U-Boats.
"काहेकि एगोर भौतिक अवस्था बदल सको हय, एगोर रासायनिक अवस्था वही रहो हय।","Magahi: काहेकि एगोर भौतिक अवस्था बदल सको हय, एगोर रासायनिक अवस्था वही रहो हय। 
English: Note: The gaseous state of a gas is different from its liquid state.",Note: The gaseous state of a gas is different from its liquid state.
सतही तनाव यहेले होवो हय कहेकी पानी के सतह पर पानी के अणु अपन ऊपर हवा के अणु के तुलना में एगो दूसरका के प्रति अधिक आकर्षित होवो हय।,"Magahi: सतही तनाव यहेले होवो हय कहेकी पानी के सतह पर पानी के अणु अपन ऊपर हवा के अणु के तुलना में एगो दूसरका के प्रति अधिक आकर्षित होवो हय। 
English: Surface tension happens because water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.",Surface tension happens because water molecules at the surface of the water are strongly attracted to each other more than they are to the air molecules above them.
फिलिम के डीवीडी के रूप बदले टाइम सबसे जादे दिक्कत ओवेरस्कैन में होवा हके।,"Magahi: फिलिम के डीवीडी के रूप बदले टाइम सबसे जादे दिक्कत ओवेरस्कैन में होवा हके। 
English: Note: The most common problem with DVD to DVD conversion is the time zone difference.",Note: The most common problem with DVD to DVD conversion is the time zone difference.
