text,translated_text,clean_output
Mutácia pridáva nové genetické variácie a selekcia ich zase odstraňuje zo skupiny prejavených variácií.,"Slovak: Mutácia pridáva nové genetické variácie a selekcia ich zase odstraňuje zo skupiny prejavených variácií. 
English: Slovak: Mutation adds new genetic variation and natural selection removes it from the pool of expressed variation.",Slovak: Mutation adds new genetic variation and natural selection removes it from the pool of expressed variation.
"Štiepna bomba využíva princíp, podľa ktorého je treba energiu na zostavenie jadra s množstvom protónov a neutrónov.","Slovak: Štiepna bomba využíva princíp, podľa ktorého je treba energiu na zostavenie jadra s množstvom protónov a neutrónov. 
English: Slovak: The fission bomb works on the principle that it takes energy to separate the nucleus into a group of protons and neutrons.",Slovak: The fission bomb works on the principle that it takes energy to separate the nucleus into a group of protons and neutrons.
Jadro sa skladá z dvoch častíc - neutrónov a protónov.,"Slovak: Jadro sa skladá z dvoch častíc - neutrónov a protónov. 
English: Slovak: Jadro sa skladá z dvoch častíc - neutrons and protons.",Slovak: Jadro sa skladá z dvoch častíc - neutrons and protons.
"Toto umožnilo objektívom s priblížením vytvárať obrázky v kvalite porovnateľnej s tou, ktorú dosahujú objektívy s pevnou ohniskovou vzdialenosťou.","Slovak: Toto umožnilo objektívom s priblížením vytvárať obrázky v kvalite porovnateľnej s tou, ktorú dosahujú objektívy s pevnou ohniskovou vzdialenosťou. 
English: Slovak: All these possibilities are realized by the use of the video camera, which allows the objective recording of the image of the real world.","Slovak: All these possibilities are realized by the use of the video camera, which allows the objective recording of the image of the real world."
"Sú nadradení webovým proxy serverom hlavne z týchto príčin: Presmerovávajú celý internetový prenos, nielen http.","Slovak: Sú nadradení webovým proxy serverom hlavne z týchto príčin: Presmerovávajú celý internetový prenos, nielen http. 
English: Slovakian: For the best possible anonymity, use a web-based proxy server: They filter all Internet traffic, not just http.","Slovakian: For the best possible anonymity, use a web-based proxy server: They filter all Internet traffic, not just http."
Pri interaktívnom dizajne budete musieť prehodnotiť svoje domnienky o mediálnej produkcii a budete sa musieť naučiť rozmýšľať nelineárne.,"Slovak: Pri interaktívnom dizajne budete musieť prehodnotiť svoje domnienky o mediálnej produkcii a budete sa musieť naučiť rozmýšľať nelineárne. 
English: Slovak: In interactive design, you should think about the user's experience with the product and be able to communicate that to the user in a clear way.","Slovak: In interactive design, you should think about the user's experience with the product and be able to communicate that to the user in a clear way."
"To sa stalo bežnou praxou, ale železo spôsobilo väčšie opotrebenie drevených kolies vozňov.","Slovak: To sa stalo bežnou praxou, ale železo spôsobilo väčšie opotrebenie drevených kolies vozňov. 
English: Slovak law does not provide for alimony, but there is a possibility of granting alimony to the wife.","Slovak law does not provide for alimony, but there is a possibility of granting alimony to the wife."
Svorku sa skladá z jedného až troch príbuzných dospelých samcov a až tridsatich samíc a mláďat.,"Slovak: Svorku sa skladá z jedného až troch príbuzných dospelých samcov a až tridsatich samíc a mláďat. 
English: Slovak: Svorku sa skladá z jedného až troch príbuzných dospelých samkov a až tridsatich samíc a mláďat.",Slovak: Svorku sa skladá z jedného až troch príbuzných dospelých samkov a až tridsatich samíc a mláďat.
"AI má silnú konotáciu science fiction a tvorí významné odvetvie počítačovej vedy, ktoré sa zaoberá správaním, učením a inteligentnou adaptáciou robotov.","Slovak: AI má silnú konotáciu science fiction a tvorí významné odvetvie počítačovej vedy, ktoré sa zaoberá správaním, učením a inteligentnou adaptáciou robotov. 
English: Slovakia: AI has a strong connotation of science fiction in popular television, which portrays robots as automatons, machines that do everything for us.","Slovakia: AI has a strong connotation of science fiction in popular television, which portrays robots as automatons, machines that do everything for us."
"Pomeru strán tohto formátu, ktorý je vydelený dvanástimi, aby sa získal najjednoduchší pomer celých čísel, sa preto hovorí 3:2.","Slovak: Pomeru strán tohto formátu, ktorý je vydelený dvanástimi, aby sa získal najjednoduchší pomer celých čísel, sa preto hovorí 3:2. 
English: The aspect ratio of the Slovak standard format, which is also known as the pančevo format, is therefore 3:2.","The aspect ratio of the Slovak standard format, which is also known as the pančevo format, is therefore 3:2."
