text,translated_text,clean_output
"Muuteshiniin garaagarummaa sanyiitti dabala, akkasumas filannoon kuufama sanyiiwwan adda addaa ibsaman keessaa isa baasa.","West Central Oromo: Muuteshiniin garaagarummaa sanyiitti dabala, akkasumas filannoon kuufama sanyiiwwan adda addaa ibsaman keessaa isa baasa. English: West Central Oromo: Otherhenin garaaga рууa, makhulu filannoon kuufama sanyiiwwan adda суу.","West Central Oromo: Otherhenin garaaga рууa, makhulu filannoon kuufama sanyiiwwan adda суу."
Boombiin faca’aan seera niwuukilasii pirotoonii fi niwuutiroonii walitti makuuf anniisaa fudhata jedhu irratti hojjata.,West Central Oromo: Boombiin faca’aan seera niwuukilasii pirotoonii fi niwuutiroonii walitti makuuf anniisaa fudhata jedhu irratti hojjata. English: Boombiin faca’aan seera niwuukilasii pirotoonii fi niwuutiroonii objašnjenje.,Boombiin faca’aan seera niwuukilasii pirotoonii fi niwuutiroonii objašnjenje.
Niwukilasiin paartikiloota lama qabateera - niwutiroonotaa fi pirootoonota.,West Central Oromo: Niwukilasiin paartikiloota lama qabateera - niwutiroonotaa fi pirootoonota. English: West Central Oromo: Niwukilasiin paartikiloota lama qabateera - niwutiroonotaa fi pirootoonota.,West Central Oromo: Niwukilasiin paartikiloota lama qabateera - niwutiroonotaa fi pirootoonota.
Kuni leensonni guddisoon suuraawwan sadarkaa isaanii eegan kanneen lensoota ilaalcha xiyyeefanno dheerinni isaa murtaa’e qaban waliin walmadaalan oomishuu isaan dandeessiseejira.,West Central Oromo: Kuni leensonni guddisoon suuraawwan sadarkaa isaanii eegan kanneen lensoota ilaalcha xiyyeefanno dheerinni isaa murtaa’e qaban waliin walmadaalan oomishuu isaan dandeessiseejira. English: The West Central Oromo: Kuni leensonnibhāvā suuraawwan eenghono lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho,The West Central Oromo: Kuni leensonnibhāvā suuraawwan eenghono lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela lombwela ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho ngaho
"Sababoota hedduu pirooksiiwwan weebiihunda caalanidha: Irraa deebiin root godhanii Tiraafiika inteerneta, http qofa miti.","West Central Oromo: Sababoota hedduu pirooksiiwwan weebiihunda caalanidha: Irraa deebiin root godhanii Tiraafiika inteerneta, http qofa miti. English: The West Central Oromo: Sababootankhulu pirooksiiwwan weebiihunda caalanidha: Irraa deebiin root godhanii Tiraafiika inteerneta, http://www.ethiopian-language.org/ethiopian-language/ethiopian-language-news/ethiopian-language-news-ethiopian-language-news-ethiopian-language-news-ethiopian-language-news-ethiopian-language-news-","The West Central Oromo: Sababootankhulu pirooksiiwwan weebiihunda caalanidha: Irraa deebiin root godhanii Tiraafiika inteerneta, http://www.ethiopian-language.org/ethiopian-language/ethiopian-language-news/ethiopian-language-news-ethiopian-language-news-ethiopian-language-news-ethiopian-language-news-ethiopian-language-news-"
Saxaxin haasoo tilmaami waayee oomisha miidiyaa kee irra deebiin akka ilaaltuu fi karaa baratameen ala akka yaaduu bartu barbaada,West Central Oromo: Saxaxin haasoo tilmaami waayee oomisha miidiyaa kee irra deebiin akka ilaaltuu fi karaa baratameen ala akka yaaduu bartu barbaada English: Saxaxin is a drug used to treat the symptoms of Parkinson's disease.,Saxaxin is a drug used to treat the symptoms of Parkinson's disease.
"Kuni shaakala yagutoo ta’e, garuu sibiilli aayiranii gommaawwan gaarii san irratti miidhaa caalu fide.","West Central Oromo: Kuni shaakala yagutoo ta’e, garuu sibiilli aayiranii gommaawwan gaarii san irratti miidhaa caalu fide. English: The West Central Oromo: Kuni shaakala yagutoo ta’e, dda sibiilli aayiranii gommaawwan san miidhaa caalu fide.","The West Central Oromo: Kuni shaakala yagutoo ta’e, dda sibiilli aayiranii gommaawwan san miidhaa caalu fide."
"Gurmiin leencotaa kormawwan walitti siqan tokko hanga sadii , dabalataan dhalaawwanii fi kubuleewwan baayyee hamma soddomaa tahan irraa ijaarama.","West Central Oromo: Gurmiin leencotaa kormawwan walitti siqan tokko hanga sadii, dabalataan dhalaawwanii fi kubuleewwan baayyee hamma soddomaa tahan irraa ijaarama. English: The West Central Oromo: Gurmiin leencotaa kormawwan...",The West Central Oromo: Gurmiin leencotaa kormawwan...
"Al barreeffama kalaqa sammuu saayinsiitiif hiika cimaa haa qabaatu iyyuu malee, Al damee saayinsii koompiitaraa baay’ee barbaachisaa ta’ee argama, amala, baruufi barsiifata sammuu cimaa kan maashinii ilaallata.","West Central Oromo: Al barreeffama kalaqa sammuu saayinsiitiif hiika cimaa haa qabaatu iyyuu malee, Al damee saayinsii koompiitaraa baay’ee barbaachisaa ta’ee argama, amala, baruufi barsiifata sammuu cimaa kan maashinii ilaallata. English: The West Central Oromo: Al barrowaꞌ kalaqa sammuu saayinsiitiif hiika cimaa haatu iyyuu malee malee saayinsii koompiitaraa baay’ee argama, amala, baruufi barsiifata sammuu cimaa kan maashinii ilaallata.","The West Central Oromo: Al barrowaꞌ kalaqa sammuu saayinsiitiif hiika cimaa haatu iyyuu malee malee saayinsii koompiitaraa baay’ee argama, amala, baruufi barsiifata sammuu cimaa kan maashinii ilaallata."
Hariiroon boca waan kanaa(kudha lamaaf hiruudhaan lakkoofsa hundaa isa xiqqaa argachuun ni danda’ama) kanaafu kana jechuunis 3:2 dha.,West Central Oromo: Hariiroon boca waan kanaa(kudha lamaaf hiruudhaan lakkoofsa hundaa isa xiqqaa argachuun ni danda’ama) kanaafu kana jechuunis 3:2 dha. English: The Lord’s Prayer.,The Lord’s Prayer.
