text,translated_text,clean_output
"Mutación omoĩ peteĩ ñemoambue pyahu, ha jeiporavo ombogue ñemoambue ojehechaukáva atýgui.","Guarani: Mutación omoĩ peteĩ ñemoambue pyahu, ha jeiporavo ombogue ñemoambue ojehechaukáva atýgui. English: Mutation of omoi petei ñemoambue pyahu, ha jeiporavo ombogue ñemoambue ojehechaukáva atýgui.","Mutation of omoi petei ñemoambue pyahu, ha jeiporavo ombogue ñemoambue ojehechaukáva atýgui."
Bomba de fisión oiko hína upe ñepyrũmby oñeikotevẽva ojejapo hag̃ua peteĩ núcleo oguerekóva heta protón ha neutrón-kuéra.,"Guarani: Bomba de fisión oiko hína upe ñepyrũmby oñeikotevẽva ojejapo hag̃ua peteĩ núcleo oguerekóva heta protón ha neutrón-kuéra. English: The Guarani language is a proto-language of the Guarani people. It is spoken by about 30,000 people in the Amazon basin. The Guarani language is a proto-language of the Guarani people. It is spoken by about 30,000 people in the Amazon basin.","It is spoken by about 30,000 people in the Amazon basin. The Guarani language is a proto-language of the Guarani people."
Nucleo oguereko mokõi partícula: neutrón ha protón-kuéra.,Guarani: Nucleo oguereko mokõi partícula: neutrón ha protón-kuéra. English: neutron-proton-nucleo. Guarani: Nucleo oguereko mokõi partícula: neutrón ha protón-inĩ. English: neutron-proton-nucleo. Guarani: Nucleo oguereko mokõi partícula: neutrón ha protón-inĩ. Guarani: Nucleo oguereko mokõi partícula: neutrón ha protón-inĩ. Guarani: Nucleo oguereko mokõi partícula: neutrón ha pro,neutron-proton-nucleo. Guarani: Nucleo oguereko mokõi partícula: neutrón ha protón-inĩ.
Kóva rupive umi obejtivo zoom rehevegua toguenohẽ ta’ãnga iporãngue ikatútava oñembojoja umi ta’ãnga oñeguenohẽva objetivo oiporúva distancia focal fija rupive rehe.,"Guarani: Kóva rupive umi obejtivo zoom rehevegua toguenohẽ ta’ãnga iporãngue ikatútava oñembojoja umi ta’ãnga oñeguenohẽva objetivo oiporúva distancia focal fija rupive rehe. English: The Guarani language is a language of the Guarani people. It is spoken by about 30,000 people in the Amazon basin. The language is spoken by about 30,000 people in the Amazon basin.","It is spoken by about 30,000 people in the Amazon basin. The language is spoken by about 30,000 people in the Amazon basin. The Guarani language is a language of the Guarani people."
"Imbareteve web proxie-kuéragui heta mba'ére: ombohapepaite Internet tráfico, ndaha'éi http año.","Guarani: Imbareteve web proxie-kuéragui heta mba'ére: ombohapepaite Internet tráfico, ndaha'éi http año. English: The Guarani language is spoken by about 200,000 people in the Amazon basin. The language is spoken by about 200,000 people in the Amazon basin.","The language is spoken by about 200,000 people in the Amazon basin. The Guarani language is spoken by about 200,000 people in the Amazon basin."
Diseño interactivo oikotevẽ ejesareko jey neremimo’ã paha producción de medio rehegua rehe ha ejepokuaa ani eñamindu’u peteĩ hendáichante.,Guarani: Diseño interactivo oikotevẽ ejesareko jey neremimo’ã paha producción de medio rehegua rehe ha ejepokuaa ani eñamindu’u peteĩ hendáichante. English: Interactive design origami ejesareko jey neremimo’ã paha producción de medio rehegua rehe ha ejepokuaa ani eñamindu’u peteĩ hendáichante.,Interactive design origami ejesareko jey neremimo’ã paha producción de medio rehegua rehe ha ejepokuaa ani eñamindu’u peteĩ hendáichante.
"Kóva ojejapo meme, katu pe hierro ombyai pya'eve vagón rueda madera-kuéragui ojejapóva.","Guarani: Kóva ojejapo meme, katu pe hierro ombyai pya'eve vagón rueda madera-kuéragui ojejapóva. English: Kóva ojejapo meme, katu pe hierro ombyai pya'eve vagón rueda madera-aꞌngui ojejapóva. Guarani: Kóva ojejapo meme, katu pe hierro ombyai pya'eve vagón rueda madera-aꞌngui ojejapóva.","Guarani: Kóva ojejapo meme, katu pe hierro ombyai pya'eve vagón rueda madera-aꞌngui ojejapóva. Kóva ojejapo meme, katu pe hierro ombyai pya'eve vagón rueda madera-aꞌngui ojejapóva."
"Upe manada ryepýpe oĩ mbohapy macho tuichavémava, ha ijykére oguerekokuaa mbohapypa hembra imemby’ikuéra rehe.","Guarani: Upe manada ryepýpe oĩ mbohapy macho tuichavémava, ha ijykére oguerekokuaa mbohapypa hembra imemby’ikuéra rehe. English: The Guarani people are the only people in the world who have a language that is not a language of the Guarani people.",The Guarani people are the only people in the world who have a language that is not a language of the Guarani people.
"Jepéramo IA oguereko connotación mbarete ciencia ficción rehegua, IA ha’e peteĩ informática-pegua vore mba’egúava, oñangarekóva tekoreko rehe, ñemoarandu ha jeikokuaáve peteĩ máquina rupive.","Guarani: Jepéramo IA oguereko connotación mbarete ciencia ficción rehegua, IA ha’e peteĩ informática-pegua vore mba’egúava, oñangarekóva tekoreko rehe, ñemoarandu ha jeikokuaáve peteĩ máquina rupive. English: The Guarani language is a semi-nomadic language spoken by the Guarani people of Paraguay. It is the second most spoken language in the world.",The Guarani language is a semi-nomadic language spoken by the Guarani people of Paraguay. It is the second most spoken language in the world.
"Upévare, oje’e ko formato ralción de aspecto ha’eha 3: 2 (oñemboja’o pakõi hendápe ojehupyty hag̃ua relación de número hesakãporãvétava).","Guarani: Upévare, oje’e ko formato ralción de aspecto ha’eha 3: 2 (oñemboja’o pakõi hendápe ojehupyty hag̃ua relación de número hesakãporãvétava). English: Upevare, oje’e ko formato ralción de aspecto ha’eha 3: 2 (oukwaneumboja’o pakõi hendápe ojehupyty hag̃ua relación de número hesakãporãvétava).","Upevare, oje’e ko formato ralción de aspecto ha’eha 3: 2 (oukwaneumboja’o pakõi hendápe ojehupyty hag̃ua relación de número hesakãporãvétava)."
