text,translated_text
"Il-mutazzjoni żżid varjazzjoni ġenetika ġdida, u l-għażla tneħħiha mill-ġabra ta’ varjazzjoni espressa.","Maltese: Il-mutazzjoni żżid varjazzjoni ġenetika ġdida, u l-gażla tneiha mill-ġabra ta’ varjazzjoni espressa. English: The-mutazzjoni żżid varjazzjoni ġenetika ġdida, u l-gażla tneiha mill-ġabra ta’ varjazzjoni espressa."
Il-bomba tal-fissjoni taħdem fuq il-prinċipju li tittieħed l-enerġija biex nukleu jingħaqqad ma’ ħafna protoni u newtroni.,Maltese: Il-bomba tal-fissjoni tadem fuq il-prinipju li tittieed l-enerġija biex nukleu jingaqqad ma’ afna protoni u newtroni. English: The bomb that killed Bin Laden was a fission bomb.
In-nukleu jikkonsisti f’żewġ partiċelli - newtroni u protoni.,Maltese: In-nukleu jikkonsisti f’żewġ partielli - newtroni u protoni. English: In-nucleus jikkonsisti f’żewġ partielli - newtroni u protoni.
Dan ippermetta li l-lentijiet żum jipprovdu stampi ta' kwalità paragunabbli ma' dik miksuba mil-lentijiet bit-tul fokali fiss.,Maltese: Dan ippermetta li l-lentijiet żum jipprovdu stampi ta' kwalità paragunabbli ma' dik miksuba mil-lentijiet bit-tul fokali fiss. English: The Maltese are a very friendly and sociable people. They are very friendly and sociable people.
"Huma superjuri għall-proxies tal-web għal diversi raġunijiet: Huma jbiddlu r-rotta tat-traffiku kollu tal-internet, mhux biss l-http.","Maltese: Huma superjuri gall-proxies tal-web gal diversi raġunijiet: Huma jbiddlu r-rotta tat-traffiku kollu tal-internet, mhux biss l-http. English: Huma superjuri gall-proxies tal-web gal diversi raġunijiet: Huma jbiddlu r-rotta tat-traffiku kollu tal-internet, mhux biss l-http."
Id-disinn interattiv jeħtieġ li inti terġa’ tivvaluta s-suppożizzjonijiet tiegħek dwar il-produzzjoni tal-midja u titgħallem taħseb b’modi mhux lineari.,Maltese: Id-disinn interattiv jetieġ li inti terġa’ tivvaluta s-suppożizzjonijiet tiegek dwar il-produzzjoni tal-midja u titgallem taseb b’modi mhux lineari. English: Id-disinn interattiv jetieġ li inti terġa’ tivvaluta s-suppożizzjonijiet tiegek dwar il-produzzjoni tal-midja u titgallem taseb b’modi mhux lineari.
"Din saret prattika komuni, imma l-ħadid ikkaġuna aktar kedd fuq ir-roti tal-injam tal-karettuni.","Maltese: Din saret prattika komuni, imma l-adid ikkaġuna aktar kedd fuq ir-roti tal-injam tal-karettuni. English: The Maltese people are a people of the Republic of Malta."
"Il-gruppi (“prides”) huma magħmulin minn wieħed sa tliet maskji adulti relatati, flimkien ma’ massimu ta’ tletin femmini u frieħ.","Maltese: Il-gruppi (“prides”) huma magmulin minn wieed sa tliet maskji adulti relatati, flimkien ma’ massimu ta’ tletin femmini u frie. English: The-groups (“prides”) huma magmulin minn wieed sa tliet maskji adults relatati, flimkien ma’ massimu ta’ tletin femmini u frie."
"Għalkemm l-Intelliġenza Artifiċjali (AI) għandha konnottazzjoni qawwija ta' fantaxjenza, l-AI tifforma fergħa importanti ħafna tax-xjenza tal-kompjuter, u tittratta l-imġiba, it-tagħlim u l-adattament intelliġenti f'magna.","Maltese: Galkemm l-Intelliġenza Artifijali (AI) gandha konnottazzjoni qawwija ta' fantaxjenza, l-AI tifforma ferga importanti afna tax-xjenza tal-kompjuter, u tittratta l-imġiba, it-taglim u l-adattament intelliġenti f'magna. English: Artificial Intelligence (AI) is a term used to describe the ability of computers to learn and to perform tasks that humans cannot do."
Il-proporzjon tal-aspett ta’ dan il-format (diviż bi tnax biex jinkiseb l-aktar proporzjon ta’ numru sħiħ sempliċi) għalhekk jingħad li huwa 3:2.,Maltese: Il-proporzjon tal-aspett ta’ dan il-format (diviż bi tnax biex jinkiseb l-aktar proporzjon ta’ numru si semplii) galhekk jingad li huwa 3:2. English: The proportion of the body is proportional to the size of the head.
