text,translated_text,clean_output
Mutasjon tilfører en ny genvariasjon og utvalget fjerner den fra utvalget av uttrykt variasjon.,Bokmål: Mutasjon tilfører en ny genvariasjon og utvalget fjerner den fra utvalget av uttrykt variasjon. English: The change in the number of generations and the termination of the fractions of the number of generations.,The change in the number of generations and the termination of the fractions of the number of generations.
Fisjonsbomben fungerer på det prinsippet om at for å kunne sammensette en kjerne med flere protoner og nøytroner så kreves det energi.,Bokmål: Fisjonsbomben fungerer på det prinsippet om at for å kunne sammensette en kjerne med flere protoner og nøytroner så kreves det energi. English: The bombs are located on the principle of the atomic bombs.,The bombs are located on the principle of the atomic bombs.
Nøytroner og protoner utgjør kjernen.,Bokmål: Nøytroner og protoner utgjør kjernen. English: The thunderbolt and the lightning.,The thunderbolt and the lightning.
Dette har muliggjort at zoomobjektiver har kunnet produsere bilder av en kvalitet som er sammenlignbar med den man oppnår med objektiver med fast fokuslengde.,Bokmål: Dette har muliggjort at zoomobjektiver har kunnet produsere bilder av en kvalitet som er sammenlignbar med den man oppnår med objektiver med fast fokuslengde. English: The camera has been designed to allow the user to zoom in on a picture with a quality that is comparable to that of a picture taken with a fast focus lens.,The camera has been designed to allow the user to zoom in on a picture with a quality that is comparable to that of a picture taken with a fast focus lens.
"Det er flere grunner til at de er overlegne på nett-proxyer: De omkjører all internettrafikk, ikke bare http.","Bokmål: Det er flere grunner til at de er overlegne på nett-proxyer: De omkjører all internettrafikk, ikke bare http. English: The more traffic you have to deal with on the internet, the more you need a proxy server.","The more traffic you have to deal with on the internet, the more you need a proxy server."
Med interaktivt design er det nødvendig at du gjenvurderer dine antakelser angående medieproduksjon og lærer deg å tenke på en måte som ikke er lineær.,Bokmål: Med interaktivt design er det nødvendig at du gjenvurderer dine antakelser angående medieproduksjon og lærer deg å tenke på en måte som ikke er lineær. English: The interactive design is important at the time of the negotiations concerning the media and education.,The interactive design is important at the time of the negotiations concerning the media and education.
"Dette ble en vanlig praksis, men strykejernet skapte mer slitasje på trehjulene i vognene.","Bokmål: Dette ble en vanlig praksis, men strykejernet skapte mer slitasje på trehjulene i vognene. English: This is a common practice, but it is not a normal way of working. It is a dangerous way of working.","It is a dangerous way of working. This is a common practice, but it is not a normal way of working."
"Alliansene består av 1–3 voksne hanner som er i slekt, sammen med opptil tretti hunner og valper.","Bokmål: Alliansene består av 1–3 voksne hanner som er i slekt, sammen med opptil tretti hunner og valper. English: The Allianse is composed of 1–3 young male hens that are in the slaughterhouse, together with up to three young hens and a calf.","The Allianse is composed of 1–3 young male hens that are in the slaughterhouse, together with up to three young hens and a calf."
"Selv om kunstig intelligens AI gir en sterk følelse av science fiction, er AI en svært viktig gren av datavitenskapen, håndtering av atferd, læring og intelligent adaptasjon i en maskin.","Bokmål: Selv om kunstig intelligens AI gir en sterk følelse av science fiction, er AI en svært viktig gren av datavitenskapen, håndtering av atferd, læring og intelligent adaptasjon i en maskin. English: The art of science fiction is the art of thinking about science fiction. It is a very important aspect of data science, which deals with artificial intelligence, thinking and adaption in a machine.","It is a very important aspect of data science, which deals with artificial intelligence, thinking and adaption in a machine. The art of science fiction is the art of thinking about science fiction."
"Aspektet forhold til dette formatet (divisjon med tolv for å innhente det enkleste heltallforholdet), er derfor sagt til å være 3:2.","Bokmål: Aspektet forhold til dette formatet (divisjon med tolv for å innhente det enkleste heltallforholdet), er derfor sagt til å være 3:2. English: The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people. The aspect of the relationship between the two people.",The aspect of the relationship between the two people.
"En satellittelefon kan som regel ikke erstatte en mobiltelefon, da man må være utenfor med klar siktlinje til satellitten for å kunne ta en telefon.","Bokmål: En satellittelefon kan som regel ikke erstatte en mobiltelefon, da man må være utenfor med klar siktlinje til satellitten for å kunne ta en telefon. English: The satellite phone is not a telephone, because it is not within the range of the satellites for receiving a telephone.","The satellite phone is not a telephone, because it is not within the range of the satellites for receiving a telephone."
"Selv om vognveiene bare besto av parallelle treplanker, lot de hester trekke seg for å oppnå større hastigheter og trekke mer last enn på de litt mer røffe veiene fra den tiden.","Bokmål: Selv om vognveiene bare besto av parallelle treplanker, lot de hester trekke seg for å oppnå større hastigheter og trekke mer last enn på de litt mer røffe veiene fra den tiden. English: The road is narrow and steep, and the road is narrow and steep.","The road is narrow and steep, and the road is narrow and steep."
"Folk har kjent til grunnleggende kjemiske elementer som gull, sølv og kobber helt fra oldtiden, ettersom man finner alle disse i sin naturlige form i naturen og fordi de er relativt enkle å utvinne, selv med primitive verktøy.","Bokmål: Folk har kjent til grunnleggende kjemiske elementer som gull, sølv og kobber helt fra oldtiden, ettersom man finner alle disse i sin naturlige form i naturen og fordi de er relativt enkle å utvinne, selv med primitive verktøy. English: Folk is the most basic of all human skills, which includes the ability to hunt, shoot and kill animals in the wild. It is also the most basic of all skills that can be learned in the wild.","It is also the most basic of all skills that can be learned in the wild. Folk is the most basic of all human skills, which includes the ability to hunt, shoot and kill animals in the wild."
Hjulet har endret verden på flotte måter. Det beste som hjulet har gitt oss er et transportmiddel som er mye enklere og raskere.,Bokmål: Hjulet har endret verden på flotte måter. Det beste som hjulet har gitt oss er et transportmiddel som er mye enklere og raskere. English: The best thing about the wheel is that it can take you anywhere. The best thing about the wheel is that it can take you anywhere.,The best thing about the wheel is that it can take you anywhere.
"Dette gjøres for å sikre at bildet dekker hele skjermen, også kalt overskanning.","Bokmål: Dette gjøres for å sikre at bildet dekker hele skjermen, også kalt overskanning. English: The same rules apply to the two sides of the picture.",The same rules apply to the two sides of the picture.
De tyske ubåtene ble kalt U-Boats. Tyskerne var svært flink navigering og betjening av ubåtene.,Bokmål: De tyske ubåtene ble kalt U-Boats. Tyskerne var svært flink navigering og betjening av ubåtene. English: The ship is very fast and easy to understand.,The ship is very fast and easy to understand.
"Den kjemiske tilstanden forblir den samme, selv om dens fysiske tilstand kan endre seg.","Bokmål: Den kjemiske tilstanden forblir den samme, selv om dens fysiske tilstand kan endre seg. English: The life of the patient is the same as the life of the healthy patient.",The life of the patient is the same as the life of the healthy patient.
Spenninger på overflaten skjer fordi vannmolekyler ved overflaten av vannet er sterkt tiltrukket av hverandre mer enn de er for luftmolekylene over seg.,Bokmål: Spenninger på overflaten skjer fordi vannmolekyler ved overflaten av vannet er sterkt tiltrukket av hverandre mer enn de er for luftmolekylene over seg. English: The slipping of the wheels of the vans because of the lack of air in the tires.,The slipping of the wheels of the vans because of the lack of air in the tires.
"Når man forsøker å gjøre en video om til DVD-format, så er overscan et av de alminnelige problemene.","Bokmål: Når man forsøker å gjøre en video om til DVD-format, så er overscan et av de alminnelige problemene. English: When you want to watch a video on DVD format, you will have problems with the overscan.","When you want to watch a video on DVD format, you will have problems with the overscan."
