text,translated_text,clean_output
"Mutacyjo przidowo nowo zmiynność gynetyczno, a selekcyjo wychrōnio ja z puli zmiynności wyrażōnyj.","Silesian: Mutacyjo przidowo nowo zmiynność gynetyczno, a selekcyjo wychrōnio ja z puli zmiynności wyrażōnyj. English: The mutant of the genus Mutacyjo is now known as the genus Mutacyjo przidowo nowo zmiynność gynetyczno, a selective hybrid of the genus Mutacyjo and the genus Mutacyjo wychrōnio.","The mutant of the genus Mutacyjo is now known as the genus Mutacyjo przidowo nowo zmiynność gynetyczno, a selective hybrid of the genus Mutacyjo and the genus Mutacyjo wychrōnio."
"Bōmba rozszczypiyniowo funguje tak, iże potrzeba ynergije, coby słożyć jōndro z mocy protōnōw i neutrōnōw.","Silesian: Bōmba rozszczypiyniowo funguje tak, iże potrzeba ynergije, coby słożyć jōndro z mocy protōnōw i neutrōnōw. English: The eastern part of the city is known as the Old Town, and the western part as the New Town. The Old Town is the oldest part of the city, dating back to the 13th century. The New Town is the modern part of the city, and is the most developed.","The New Town is the modern part of the city, and is the most developed. The eastern part of the city is known as the Old Town, and the western part as the New Town. The Old Town is the oldest part of the city, dating back to the 13th century."
Jōndro skłodo sie z dwōch tajleczek - neutrōnōw i protōnōw.,Silesian: Jōndro skłodo sie z dwōch tajleczek - neutrōnōw i protōnōw. English: The snow is falling.,The snow is falling.
Pozwolyło to ôbiektywōm zmiynnoôgniskowym na wykōnowanie zdjyńć ô jakości porōwnowalnyj z jakościōm uzyskowanōm bez ôbiektywy ô stałyj ôgniskowyj.,"Silesian: Pozwolyło to ôbiektywōm zmiynnoôgniskowym na wykōnowanie zdjyńć ô jakości porōwnowalnyj z jakościōm uzyskowanōm bez ôbiektywy ô stałyj ôgniskowyj. English: The Silesian dialect is a dialect of the German language spoken in the Silesian region of Poland. It is spoken by about 200,000 people in the region.","It is spoken by about 200,000 people in the region. The Silesian dialect is a dialect of the German language spoken in the Silesian region of Poland."
"Sōm ône lepsze ôd serwerōw proxy z poru powodōw: Przekerowujōm cołki ruch internetowy, niy ino http.","Silesian: Sōm ône lepsze ôd serwerōw proxy z poru powodōw: Przekerowujōm cołki ruch internetowy, niy ino http. English: The proxy server is a server that acts as a middleman between a client and a web server.",The proxy server is a server that acts as a middleman between a client and a web server.
Projektowanie interaktywne wymogo pōnownyj ôcyny założyń tyczōncych sie produkcyje mediōw i nauczynio sie myślynio we spusōb niylinijowy.,Silesian: Projektowanie interaktywne wymogo pōnownyj ôcyny założyń tyczōncych sie produkcyje mediōw i nauczynio sie myślynio we spusōb niylinijowy. English: The project aims to create an interactive web-based platform for the promotion of the health of the population.,The project aims to create an interactive web-based platform for the promotion of the health of the population.
"Stało sie to powszechnōm praktykōm, ale żelazo powodowało srogsze spotrzebowanie drzewianych kōł ôd wagōnōw.","Silesian: Stało sie to powszechnōm praktykōm, ale żelazo powodowało srogsze spotrzebowanie drzewianych kōł ôd wagōnōw. English: The settlement of the Silesian people, the people of the Silesian region, the people of the Silesian provinces, the people of the Silesian districts, the people of the Silesian towns, the people of the Silesian villages, the people of the Silesian towns and villages, the people of the Silesian districts and districts, the people of the Silesian towns and villages, the people of the Silesi","The settlement of the Silesian people, the people of the Silesian region, the people of the Silesian provinces, the people of the Silesian districts, the people of the Silesian towns, the people of the Silesian villages, the people of the Silesian towns and villages, the people of the Silesian districts and districts, the people of the Silesian towns and villages, the people of the Silesi"
"Stada skłodajōm sie z jednego do trzech spokrewniōnych majoryntnych samcōw, społym z nawet trzidziystōma samicami i modymi.","Silesian: Stada skłodajōm sie z jednego do trzech spokrewniōnych majoryntnych samcōw, społym z nawet trzidziystōma samicami i modymi. English: The city of Silesian is located in the north-east of Poland.",The city of Silesian is located in the north-east of Poland.
"Chocioż AI mo siylne kōnotacyje z science fiction, AI stanowi barzo ważno gałōńź informatyki, zajmujōnco sie zachowaniym, uczyniym sie i inteligyntnōm adaptacyjōm w maszinie.","Silesian: Chocioż AI mo siylne kōnotacyje z science fiction, AI stanowi barzo ważno gałōńź informatyki, zajmujōnco sie zachowaniym, uczyniym sie i inteligyntnōm adaptacyjōm w maszinie. English: The Chocoos AI is a computer program that is used to create fictional characters. It is a computer program that is used to create fictional characters.",The Chocoos AI is a computer program that is used to create fictional characters. It is a computer program that is used to create fictional characters.
"Spōłczynnik proporcyje tego formatu (bez dzielynie bez dwanoście, coby dostać prosty spōłczynnik liczbōw cołkowitych) wynosi tōż 3:2.","Silesian: Spōłczynnik proporcyje tego formatu (bez dzielynie bez dwanoście, coby dostać prosty spōłczynnik liczbōw cołkowitych) wynosi tōż 3:2. English: The proportion of the population of the city of Szczecin is 3:2.",The proportion of the population of the city of Szczecin is 3:2.
