text,translated_text,clean_output
"La mutacion apond de variacion genetica novèla, e la seleccion la lèva de la sèrva de la variacion exprimida.","Occitan: La mutacion apond de variacion genetica novèla, e la seleccion la lèva de la sèrva de la variacion exprimida. English: The mutation apond of variation genetics non-velar, and the selection larva of the variation expressed.","The mutation apond of variation genetics non-velar, and the selection larva of the variation expressed."
La bomba de fission fonciona segon lo principi que cal d'energia per botar amassa un nuclèu e fòrces protons e neutrons.,Occitan: La bomba de fission fonciona segon lo principi que cal d'energia per botar amassa un nuclèu e fòrces protons e neutrons. English: The explosion of fission occurs in the nucleus of a nucleus.,The explosion of fission occurs in the nucleus of a nucleus.
Lo nuclèu consistís de doas particulas - de neutrons e de protons.,Occitan: Lo nuclèu consistís de doas particulas - de neutrons e de protons. English: The nucly consist of doas particles - neutrons and protons.,The nucly consist of doas particles - neutrons and protons.
Aquò a permés als zooms de donar de fotografias d’una qualitat comparabla a la que s’obten amb d’objectius de longor focala fixa.,Occitan: Aquò a permés als zooms de donar de fotografias d’una qualitat comparabla a la que s’obten amb d’objectius de longor focala fixa. English: Aquò a permés als zooms de donar de fotografias d’una qualitat comparabla a la que s’obten amb d’objectius de longor focala fixa.,Aquò a permés als zooms de donar de fotografias d’una qualitat comparabla a la que s’obten amb d’objectius de longor focala fixa.
"Son superiors als mandataris de webs per divèrsas rasons. Desrotan tot lo trafic Internet, pas sonque l'http.","Occitan: Son superiors als mandataris de webs per divèrsas rasons. Desrotan tot lo trafic Internet, pas sonque l'http. English: Son superiors als mandataris de webs per divèrsas rasons. Desrotan tot lo trafic Internet, pas sonque l'http.","Desrotan tot lo trafic Internet, pas sonque l'http. Son superiors als mandataris de webs per divèrsas rasons."
Lo design interactiu necessita que reavaloretz vòstras suposicions a prepaus de la produccion mediatica e d’aprendre a pensar d’un biais non-linear.,Occitan: Lo design interactiu necessita que reavaloretz vòstras suposicions a prepaus de la produccion mediatica e d’aprendre a pensar d’un biais non-linear. English: La teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la,La teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la teoria de la
"Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons.","Occitan: Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons. English: Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons.","Aquò venguèt una practica correnta, mas lo fèrre causava mai d’usura sus las ròdas de fusta dels vagons."
"Los grops de leons son compausats d’un a tres mascles adults de meteissa familha, amassa amb tant coma trenta femèlas e cadèls.","Occitan: Los grops de leons son compausats d’un a tres mascles adults de meteissa familha, amassa amb tant coma trenta femèlas e cadèls. English: The grops of leons are compausats of a three male adults of the family, amputated with a hundred femels and cattle.","The grops of leons are compausats of a three male adults of the family, amputated with a hundred femels and cattle."
"E mai se l'intelligéncia artificiala a una connotacion fòrta de sciéncia ficcion, l'IA forma una branca fòrça importanta de l’informatica, en s'ocupant del comportament, l’aprendissatge e de l’adaptacion intelligenta dins una maquina.","Occitan: E mai se l'intelligéncia artificiala a una connotacion fòrta de sciéncia ficcion, l'IA forma una branca fòrça importanta de l’informatica, en s'ocupant del comportament, l’aprendissatge e de l’adaptacion intelligenta dins una maquina. English: The artificial intelligence is a branch of computer science that deals with the behavior, learning and adaptability of a machine.","The artificial intelligence is a branch of computer science that deals with the behavior, learning and adaptability of a machine."
Lo coeficient d'aspècte d'aqueste format (en devesissent per dotze per obtenir lo rapòrt de nombres entièrs mai simple) es doncas dich d'èsser de 3:2.,Occitan: Lo coeficient d'aspècte d'aqueste format (en devesissent per dotze per obtenir lo rapòrt de nombres entièrs mai simple) es doncas dich d'èsser de 3:2. English: The ratio of the number of elements in a given number is 3:2.,The ratio of the number of elements in a given number is 3:2.
