text,translated_text,clean_output
"Mutacija doda novo genetsko variacijo, selekcija pa jo odstrani iz nabora izraženih variacij.","Slovene: Mutacija doda novo genetsko variacijo, selekcija pa jo odstrani iz nabora izraženih variacij. English: The Slovene Genetics Project, a project of the Slovene Genetics Society, is a project of the Slovene Genetics Society.","The Slovene Genetics Project, a project of the Slovene Genetics Society, is a project of the Slovene Genetics Society."
"Fisijska bomba deluje tako, da za združevanje jedra z veliko protoni in nevtroni potrebuje energijo.","Slovene: Fisijska bomba deluje tako, da za združevanje jedra z veliko protoni in nevtroni potrebuje energijo. English: The Slovene language is spoken in the city of Ljubljana, Slovenia.","The Slovene language is spoken in the city of Ljubljana, Slovenia."
Jedro sestavljata dva delca – nevtroni in protoni.,Slovene: Jedro sestavljata dva delca – nevtroni in protoni. English: Thermal power plant in Slovenia.,Thermal power plant in Slovenia.
"Zaradi tega je kakovost slik, posnetih s povečevalni objektivi, postala primerljiva s kakovostjo, ki jo omogočajo objektivi s fiksno goriščno razdaljo.","Slovene: Zaradi tega je kakovost slik, posnetih s povečevalni objektivi, postala primerljiva s kakovostjo, ki jo omogočajo objektivi s fiksno goriščno razdaljo. English: The Slovene language is a language of the European Union.",The Slovene language is a language of the European Union.
"Zmogljivejši so od spletnih posredniških strežnikov, saj preusmerijo ves spletni promet, ne samo http.","Slovene: Zmogljivejši so od spletnih posredniških strežnikov, saj preusmerijo ves spletni promet, ne samo http. English: The Slovene Language: The Slovene Language is a language spoken in Slovenia.",The Slovene Language: The Slovene Language is a language spoken in Slovenia.
"Interaktivno oblikovanje vas spodbudi, da znova pretehtate svoje predpostavke o medijski produkciji in se naučite razmišljati nelinearno.","Slovene: Interaktivno oblikovanje vas spodbudi, da znova pretehtate svoje predpostavke o medijski produkciji in se naučite razmišljati nelinearno. English: The Slovene language is a language of the European Union.",The Slovene language is a language of the European Union.
"To je postala vsesplošna praksa, vendar so se zaradi železa hitreje obrabila lesena kolesa na vagonih.","Slovene: To je postala vsesplošna praksa, vendar so se zaradi železa hitreje obrabila lesena kolesa na vagonih. English: To send me a letter from Slovenia, please send me a letter from Slovenia.","To send me a letter from Slovenia, please send me a letter from Slovenia."
"V krdelu so eden do trije samci, ki so v sorodu, in vse do trideset samic in mladičev.","Slovene: V krdelu so eden do trije samci, ki so v sorodu, in vse do trideset samic in mladičev. English: The Slovene language is a language of the European Union.",The Slovene language is a language of the European Union.
"Čeprav ima umetna inteligenca močan prizvok znanstvene fantastike, sestavlja zelo pomembno vejo računalništva, ki se ukvarja z obnašanjem, učenjem in inteligentnim prilagajanjem stroja.","Slovene: Čeprav ima umetna inteligenca močan prizvok znanstvene fantastike, sestavlja zelo pomembno vejo računalništva, ki se ukvarja z obnašanjem, učenjem in inteligentnim prilagajanjem stroja. English: Čeprav ima umetna inteligenca močan prizvok, sestavlja zeloībām, ki seībām z obnašanjem,əsindəm in ludnościm prilagamanana.","Čeprav ima umetna inteligenca močan prizvok, sestavlja zeloībām, ki seībām z obnašanjem,əsindəm in ludnościm prilagamanana."
"Slikovno razmerje tega formata (delimo z dvanajst, da pridobimo najosnovnejše razmerje v obliki celega števila) je torej 3:2.","Slovene: Slikovno razmerje tega formata (delimo z dvanajst, da pridobimo najosnovnejše razmerje v obliki celega števila) je torej 3:2. English: Slikovno meklēt meklēt (delimo z dvanajst, daībām najosnov pročita pročita) je torej 3:2.","Slikovno meklēt meklēt (delimo z dvanajst, daībām najosnov pročita pročita) je torej 3:2."
