text,translated_text
"Mutacija dodaje novu genetsku varijaciju, a selekcija je uklanja iz grupe izraženih varijacija.","Bosnian: Mutacija dodaje novu genetsku varijaciju, a selekcija je uklanja iz grupe izraženih varijacija. English: The new genetic variation is the result of the group selection."
Fisijska bomba djeluje na principu koji podrazumijeva da je energija potrebna za sastavljanje jezgra s mnoštvom protona i neutrona.,"Bosnian: Fisijska bomba djeluje na principu koji podrazumijeva da je energija potrebna za sastavljanje jezgra s mnoštvom protona i neutrona. English: The Bosnian bomb is a nuclear weapon that was dropped on the city of Sarajevo in 1992, killing over 8,000 people."
Jezgro čine dvije čestice - neutron i proton.,Bosnian: Jezgro čine dvije čestice - neutron i proton. English: The neutron and the proton are the two most abundant particles in the universe.
To je omogućilo objektivima za uvećavanje da snimaju fotografije kvaliteta uporedivog s onim koji postižu objektivi sa fiksnom žižnom daljinom.,Bosnian: To je omogućilo objektivima za uvećavanje da snimaju fotografije kvaliteta uporedivog s onim koji postižu objektivi sa fiksnom žižnom daljinom. English: The objective of this study was to determine the effect of the use of a mobile phone on the subjective perception of the quality of the air in the city of Sarajevo.
"Oni su superiorniji u odnosu na veb proksija iz nekoliko razloga: oni preusmjeravaju sav saobraćaj interneta, ne samo „http“.","Bosnian: Oni su superiorniji u odnosu na veb proksija iz nekoliko razloga: oni preusmjeravaju sav saobraćaj interneta, ne samo „http“. English: On the superiority of the Bosnian language over other languages: on the Bosnian language’s superiority over other languages."
Interaktivni dizajn od vas traži da preispitate pretpostavke o medijskoj produkciji i da naučite razmišljati na nekonvencionalne načine.,Bosnian: Interaktivni dizajn od vas traži da preispitate pretpostavke o medijskoj produkciji i da naučite razmišljati na nekonvencionalne načine. English: Interactive design of vas traži da preispitate اعترافات o medijskoj produkciji i da naučite razmišljati na nekonvencionalne целостност.
"To je postala uobičajena praksa, ali je željezo prouzrokovalo veće habanje drvenih točkova vagona.","Bosnian: To je postala uobičajena praksa, ali je željezo prouzrokovalo veće habanje drvenih točkova vagona. English: To send a letter, you need to use a post office box. The post office box is a box that is used to send letters."
Čopor čine jedan do tri odrasla mužjaka koji su u rodu te čak trideset ženki i mladunaca.,Bosnian: Čopor čine jedan do tri odrasla mužjaka koji su u rodu te čak trideset ženki i mladunaca. English: The first thing I noticed about the three young men was that they were all wearing black.
"Iako umjetna inteligencija ima snažan kontekst naučne fantastike, ona predstavlja izuzetno značajnu granu kompjuterske nauke koja se bavi ponašanjem, učenjem i inteligentnim prilagođavanjem mašine.","Bosnian: Iako umjetna inteligencija ima snažan kontekst naučne fantastike, ona predstavlja izuzetno značajnu granu kompjuterske nauke koja se bavi ponašanjem, učenjem i inteligentnim prilagođavanjem mašine. English: The Bosnian language is a Romance language spoken in Bosnia and Herzegovina. It is the official language of Bosnia and Herzegovina, and is also spoken in Croatia, Montenegro, Serbia, and Slovenia. Bosnian is a member of the Austro-Hungarian Empire, and was one of the official languages of the Austro-Hungarian Empire."
"Stoga, za razmjer proporcija ovog formata (podijeljen s dvanaest da bi se dobio najjednostavniji omjer cjelokupnog broja) kaže se da je 3:2.","Bosnian: Stoga, za razmjer proporcija ovog formata (podijeljen s dvanaest da bi se dobio najjednostavniji omjer cjelokupnog broja) kaže se da je 3:2. English: The proportion of the format is 3:2. The proportion of the format is 3:2."
"Satelitski telefon općenito ne predstavlja zamjenu za mobilni telefon jer morate telefonirati na otvorenom, s jasnom vidnom linijom do satelita.","Bosnian: Satelitski telefon općenito ne predstavlja zamjenu za mobilni telefon jer morate telefonirati na otvorenom, s jasnom vidnom linijom do satelita. English: Satellite phone is a mobile phone that uses a satellite to communicate. It is a mobile phone that uses a satellite to communicate. It is a mobile phone that uses a satellite to communicate."
"Iako su se vagoni sastojali samo od paralelnih drvenih dasaka, omogućavali su konjima koji su ih vukli da postignu veće brzine i vuku više tereta nego što je to slučaj na nešto neravnijim cestama tog doba.","Bosnian: Iako su se vagoni sastojali samo od paralelnih drvenih dasaka, omogućavali su konjima koji su ih vukli da postignu veće brzine i vuku više tereta nego što je to slučaj na nešto neravnijim cestama tog doba. English: I am going to the station to buy tickets for the next train. I am going to buy tickets for the next train. I am going to buy tickets for the next train. I am going to buy tickets for the next train. I am going to buy tickets for the next train. I am going to buy tickets for the next train."
"Ljudi od davnina znaju za osnovne hemijske elemente poput zlata, srebra i bakra jer se svi oni mogu pronaći u prirodi u izvornom obliku i mogu se relativno lako eksploatirati korištenjem primitivnih alata.","Bosnian: Ljudi od davnina znaju za osnovne hemijske elemente poput zlata, srebra i bakra jer se svi oni mogu pronaći u prirodi u izvornom obliku i mogu se relativno lako eksploatirati korištenjem primitivnih alata. English: The Bosnian war was a war between the Serbs and the Bosnian Muslims. It began in 1992 and lasted until 1995. The war was fought in Bosnia-Herzegovina, a country in the Balkans. The war was fought between the Serbs and the Bosnian Muslims. The war was fought between the Serbs and the Bosnian Muslims. The war was fought between the Serbs and the Bosnian Muslims. The war was fought between the Serbs and the Bosnian Muslims"
