text,translated_text,clean_output
"Ny genetisk variation tilføjes via mutation, og den fjernes fra puljen af eksakte variationer via selektion.""","Danish: Ny genetisk variation tilføjes via mutation, og den fjernes fra puljen af eksakte variationer via selektion."" English: ""The genetic variation is determined by mutation, and the variation is removed from the population by selection.""","""The genetic variation is determined by mutation, and the variation is removed from the population by selection."""
"Fissionsbomben virker ud fra det princip, at det kræver energi at sammensætte en kerne med mange protoner og neutroner.","Danish: Fissionsbomben virker ud fra det princip, at det kræver energi at sammensætte en kerne med mange protoner og neutroner. English: The fission bomb works by the principle that it contains energy at the time of the fusion of a number of protons and neutrons.",The fission bomb works by the principle that it contains energy at the time of the fusion of a number of protons and neutrons.
Kernen består af to partikler - neutroner og protoner.,Danish: Kernen består af to partikler - neutroner og protoner. English: Kern is composed of neutrons and protons.,Kern is composed of neutrons and protons.
"Dette har gjort det muligt for zoomlinser at producere billeder af en kvalitet, der er sammenlignelig med den, der opnås ved linser, der har en fast brændvidde.","Danish: Dette har gjort det muligt for zoomlinser at producere billeder af en kvalitet, der er sammenlignelig med den, der opnås ved linser, der har en fast brændvidde. English: This has made it possible for zoom lenses to produce high-quality images at a quality that is comparable to that of the lens that is obtained by using the zoom lens.",This has made it possible for zoom lenses to produce high-quality images at a quality that is comparable to that of the lens that is obtained by using the zoom lens.
"De er bedre end webproxyer af flere årsager: De omdirigerer al internettrafik, ikke kun http.","Danish: De er bedre end webproxyer af flere årsager: De omdirigerer al internettrafik, ikke kun http. English: The best way to get around the block is to use a different proxy. English: The best way to get around the block is to use a different proxy.",The best way to get around the block is to use a different proxy.
"Interaktivt design kræver, at du revurderer dine antagelser om medieproduktion og lærer at tænke på ikke-lineære måder.","Danish: Interaktivt design kræver, at du revurderer dine antagelser om medieproduktion og lærer at tænke på ikke-lineære måder. English: Interactive design is a design process that involves the creation of a product or service that is designed to be used by a user.",Interactive design is a design process that involves the creation of a product or service that is designed to be used by a user.
"Dette blev almindelig praksis, men jernet medførte mere slid på vognenes træhjul.","Danish: Dette blev almindelig praksis, men jernet medførte mere slid på vognenes træhjul. English: This was a basic practice, but it was also a case of more than one person on a cart.","This was a basic practice, but it was also a case of more than one person on a cart."
Flokkene består af en til tre beslægtede voksne hanner samt op til tredive hunner og unger.,"Danish: Flokkene består af en til tre beslægtede voksne hanner samt op til tredive hunner og unger. English: The Flokkene consists of three separate male and female harnesses, and three separate male and female buckles.","The Flokkene consists of three separate male and female harnesses, and three separate male and female buckles."
"Selvom kunstig intelligens ofte forbindes med science fiction, udgør den en meget vigtig gren af datalogi, der beskæftiger sig med adfærd, læring og intelligent tilpasning i en maskine.","Danish: Selvom kunstig intelligens ofte forbindes med science fiction, udgør den en meget vigtig gren af datalogi, der beskæftiger sig med adfærd, læring og intelligent tilpasning i en maskine. English: Science fiction is a genre of literature that deals with the future, often with a futuristic setting. It is often set in a dystopian society, where technology is advanced and the human race is in decline. The genre is often associated with the works of science fiction authors, such as Isaac Asimov, Ray Bradbury, and Arthur C. Clarke.","Science fiction is a genre of literature that deals with the future, often with a futuristic setting. It is often set in a dystopian society, where technology is advanced and the human race is in decline. The genre is often associated with the works of science fiction authors, such as Isaac Asimov, Ray Bradbury, and Arthur C. Clarke."
Aspektforholdet for dette format er derfor 3:2 (divideret med tolv for at opnå det mest enkle heltalsforhold).,Danish: Aspektforholdet for dette format er derfor 3:2 (divideret med tolv for at opnå det mest enkle heltalsforhold). English: The aspect relationship for this format is 3:2 (divided by two for at achieve the most elementary aspect relationship).,The aspect relationship for this format is 3:2 (divided by two for at achieve the most elementary aspect relationship).
