text,actual_category,predicted_category,confidence
گۆڕانکاری دەبێتە هۆی زیادکردنی هەمەچەشنێتیی نوێی بۆماوەیی، وە هەڵبژاردنیش ئەمە لادەبات لە حەوزی هەمەچەشنێتیە هەبووەکانەوە.,science/technology,health,0.2597571015357971
بۆمبی پارچەبوون لەسەر ئەو بنەمایە کاردەکات کە وزە یەکی پێویستە بۆ پێکەوە نانی ناوکی کە چەندین پرۆتۆن و نیوترۆنی هەیە.,science/technology,politics,0.5525297522544861
ناوک لە دوو تەنۆلکە پێکدێت - نیوترۆن و پرۆتۆن.,science/technology,sports,0.2643751800060272
ئەمە ڕێگەی بە هاوێنەی زوومەکان دەدات بۆ بەرهەمهێنانی وێنەی کواڵیتی بەرزی بەراورد بەوەی لە ڕێگەی هاوێنەی درێژیی چەقی جێگیر بەدەست دەهێنرێن.,science/technology,health,0.3316134214401245
باڵاترن لە پرۆکسیەکانی وێب لەبەر چەندین هۆکار: ڕێڕەوی گشت هاتووچۆی ئینتەرنێت دەگوڕن، نەوەک تەنها http.,science/technology,politics,0.33561962842941284
دیزاینی کارلێکار ناچارت دەکات گریمانەکانت هەڵبسەنگێنیتەوە دەربارەی بەرهەمی میدیا و فێربوون بۆ بیرکردنەوە بە شێوەی بەدەر لە ئاسایی.,science/technology,politics,0.362436443567276
ئەمە بوو بە کردارێکی باو، بەڵام ئاسنەکە بوو بەهۆی داخوڕانی زیاتر تایە دارینەکانی گالیسکەکان.,science/technology,politics,0.4251629710197449
شانازییەکان لە یەک بۆ سێ نێرینەی پێگەیشتوو دروست کراون، لەگەڵ سی مێینە و بێچوو.,science/technology,politics,0.32656553387641907
هەرچەندە ئال حەزێکی گەورەی هەیە بۆ ئەندێشەی زانستی، ئال لقێکی هەرە گرنگی زانستی کۆمپیوتەری دروست کرد بۆ مامەڵەکردن لەگەڵ وەرگرتنی ڕەفتار و فێربوون و ژیریی لەلایەن ئامێرەوە.,science/technology,sports,0.45268523693084717
ڕێژەی ڕووبەری ئەم فۆرماتە (بە دابەشکردنی بە سەر دوازدە بۆ بەدەست هێنانی سادەترین ڕێژەی ژمارەی تەواو) بۆیە دەوترێت کەوا 3:2ە.,science/technology,politics,0.6760883331298828
تەلەفونی سەتەلایت بە گشتیی جێگرەوەی مۆبایل نیە، چونکە دەبێت لەدەرەوەی ماڵ بیت و ئاسمان ساماڵ بێت و سەتەلایەتەکەت لێ دیار بێت بۆ تەلەفون کردن.,science/technology,science/technology,0.5832160115242004
هەرچەندە ڕێگەی گالیسکەکان تەنها پارچە تەختەی هاوتەریببون، وایکرد ئەسپەکان بتوانن خێراتر بن و باری قورستر ڕابکێشن وەك لە ڕێگە سەختەکانی ئەو کاتە.,science/technology,politics,0.486002653837204
خەڵکان زانیاریان هەبووە لەسەر بوونی کانزا بنەڕەتیەکانی وەکو ئاڵتون و زیو و مس کە لە کەلوپەلە کۆنەکاندا هەن، ئەمانە هەمووی لە سروشتدا هەن و بە کەلوپەلی سەرەتایی دەکرێت لەکانەکانەوە دەربهێنرێن.,science/technology,politics,0.39046189188957214
تایە جیھانی بە شێوازی باوەڕپێنەکراو گۆڕیوە. گەورەترین شت کە تایە بۆمانی کردووە ئەوەیە گواستنەوەی ئاسانتر و خێراتری بە ئێمە بەخشیوە.,science/technology,politics,0.4202784299850464
ئەمە بۆ دڵنیاکردنەوە کراوە کە وێنەکە کۆی شاشەکە دەگرێتەوە. ئەمە پێی دەوترێت ئۆڤەرسکان.,science/technology,politics,0.34220096468925476
ژێرئاوە ئەڵمانیەکان پێیان دەوترا U-Boat [بەلەمی شێوە یو]. ئەڵمانەکان زۆر باشبوون لە جوڵاندن و کارپێکردنی ژێرئاویەکانیاندا.,science/technology,politics,0.40588343143463135
