index_id,category,text
993,entertainment,"Dei har ein annan type prakt og sjarm om vinteren, der mange av fjellandsbyane får rikelege mengder snø og kan tilby aktivitetar som ski- og snøbrettkøyring."
755,entertainment,"På den tida budde dei rike og dei kjende på desse hotella, der dei åt gode måltid og nytte utelivet."
431,geography,"Tyrkia er omringa av hav på alle tre sider: Egeerhavet i vest, Svartehavet i nord og Middelhavet i sør."
1692,geography,"Store område lenger nord har ganske spreidde busetnader, og nokre område er nærmast aude villmark."
1205,health,"Danielle Lantagne, koleraekspert i FN, hevda at utbrotet sannsynlegvis blei forårsaka av dei fredsbevarande styrkane."
1203,health,"Før styrkane kom, hadde ikkje Haiti hatt problem med sjukdomen sidan 1800-talet."
1936,politics,I 1994 førte denne konflikten til at den sjølverklærte Transnistria-republikken aust i Moldova blei oppretta med eiga regjering og eigen valuta. Men denne er ikkje anerkjend av nokon av FN-medlemslanda.
280,politics,"Arrangørane av demonstrasjonen sa at omkring 100,000 menneskje hadde møtt opp i tyske byar som Berlin, Cologne, Hamburg og Hanover."
403,science/technology,"I byrjinga av krigen reiste dei for det meste på overflata av havet, men etterkvart som radarar byrja å utvikle seg og verte meir nøyaktige vart ubåtane tvungne til å gå under vatn for å unngå å bli oppdaga."
1592,science/technology,"Etter kvart som kunnskapen om gresk minska, blei Vesten rive bort frå dei greske filosofiske og vitskaplege røtene."
555,sports,"Utøvarane kan føle at dei føretrekk eit produkt, sjølv om det ikkje gir nokon som helst reell fordel."
195,sports,Massa er venta å vere ute i alle fall resten av 2009 sesongen.
688,travel,"Besøkande som har lite tid, bør bruke tida andre stader."
1764,travel,"I tillegg må du vere klar over at lukt trekker til seg bjørnar og andre dyr. Du bør derfor unngå å ta med deg eller lage mat som luktar, og leiren må haldast rein."
