index_id,category,text
993,entertainment,"Mana, ha nwere mma dị iche n'oge oyi, mgbe sno na-ada n'ọtụtụ ugwu were nyefe efe msks ihe omume dịka skiyin na snobọdịn."
755,entertainment,"Ụlọ nkwari akụ ndị a bụ ebe ndi bụ mmadụ n'oge ahụ ga-anọ, ma nwee oriri na nkwari na ndụ abalị."
1239,entertainment,"Dịka edemede nzukọ nta akụkọ ahụ kwuru, ""ọ sị na ọ mara oke mma ma mara ka esi agụ egwu ọfụma""."
871,entertainment,Were isi kofi mejuputa ulo gi n’ututu were kwazia chamomile n’akwado ezumike mejuo ya n’abali.
460,entertainment,A na eme igwe onyonyo ka n'ọnụ ọgụgụ otu ọ ga-esi amasị ọha n'eze.
431,geography,"Tọkị bụ oke osimiri gbara ya gburugburu n'akụkụ atọ: Oke osimiri Aegean n’ọdịdaanyanwụ, Oke osimiri Ojii n’ugwu na Oke osimiri Mediterranean na ndịda."
1692,geography,Ebe ndị buru ibu na ngapụga ugwu bụ ọzara nke obere ndị mmadụ bi ma ụfọdụ fọrọ nke nta ka ọ bụrụ ebe ndị mmadụ ebighị.
743,geography,Agwaetiti Osi nri ndị ahụ enweghị obodo ọ bụla mana ọ bụ agwaetiti dị iche iche iri na ise mejupụtara ya. Ndị isi ha bụ Rarotonga na Aitutaki.
1720,geography,"Ogige a ruru 19,500 km² nakwa ekewara ya n'ụzọ mpaghara ecozone 14, ebe nke ọbụla na-akwado ụdịrị anụ ọhịa dị iche."
1622,geography,Osimiri Amazọn ahụ bụ nke abụọ kachasị ogologo na osimiri kachasị n’ibu n’ụwa. Ọ na-ebu ihe karịrị nha mmiri ugboro asatọ dị ka osimiri nke abụọ kachasị ibu.
1205,health,"Danielle Lantagne, otu onye ọkachamara UN n’ọrịa ahụ, kwuru na ntiwapụ ahụ bụ ndị na-eme ụdọ nwere ike ịkpata ya."
1203,health,"Tupu ndị agha abịarute, Haiti ezutebeghị nsogbu ndị metụtara ọrịa ahụ kemgbe oge ndị 1800."
