index_id,category,text
993,entertainment,"ଯାହାହେଉ, ଶୀତ ଦିନେ ସେଗୁଡ଼ିକର ଏକ ଭିନ୍ନ ପ୍ରକାରର ସୌନ୍ଦର୍ଯ୍ୟ ଏବଂ ଚମତ୍କାରିତା ରହିଥାଏ, ଯେଉଁଥିରେ ଅନେକ ହିଲ୍ ଷ୍ଟେସନରେ ପର୍ଯ୍ୟାପ୍ତ ପରିମାଣର ତୁଷାର ପଡ଼େ ଓ ଏଠାରେ ସ୍କିଂ ଏବଂ ସ୍ନୋ ବୋର୍ଡିଂ ଭଳି କାର୍ଯ୍ୟକଳାପ ପ୍ରଦାନ କରାଯାଏ ।"
755,entertainment,"ଏହି ହୋଟେଲଗୁଡ଼ିକ, ଯେଉଁଠାରେ ଧନୀ ଓ ସେହି ସମୟର ପ୍ରସିଦ୍ଧ ଲୋକମାନେ ରହୁଥିଲେ ଏବଂ ପ୍ରାୟତଃ ବିଳାସପୂର୍ଣ୍ଣ ଭୋଜନ ଓ ରାତ୍ରି ଜୀବନ ଲାଭ କରୁଥିଲେ।"
1239,entertainment,"ସାମ୍ବାଦିକ ସମ୍ମିଳନୀର ଏକ ଅନୁଲିଖନ ଅନୁଯାୟୀ, ସେ କହିଥିଲେ ଯେ, “ସେ ବହୁତ ସୁନ୍ଦର ଏବଂ ବହୁତ ଭଲ ଗୀତ ମଧ୍ୟ ଗାଆନ୍ତି।“"
871,entertainment,ସକାଳୁ ଏକ ବଢ଼ିଆ କଫି ଓ ରାତିରେ କିଛି କାମୋମାଇଲ୍ ଚା’ ସହିତ ଆପଣଙ୍କ ଘରର ବାତାବରଣକୁ ସମ୍ପୂର୍ଣ୍ଣ କରନ୍ତୁ।
460,entertainment,ଅଧିକାଂଶ ଟେଲିଭିଜନ ସାଧାରଣ ଜନତାଙ୍କୁ ଖୁସି କରିବା ପାଇଁ ପ୍ରସ୍ତୁତ କରାଯାଇଥାଏ।
431,geography,"ତୁର୍କୀକୁ ତିନିପଟୁ ସମୁଦ୍ର ଘେରି ରହିଛି: ପଶ୍ଚିମରେ ଏଜିଅନ୍ ସାଗର, ଉତ୍ତରରେ ଶ୍ୟାମ ସାଗର ତଥା ଦକ୍ଷିଣରେ ଭୂମଧ୍ୟ ସାଗର।"
1692,geography,ଉତ୍ତରରେ ଥିବା ବୃହତ ଅଞ୍ଚଳଗୁଡିକ ବହୁତ କମ୍ ଜନସଂଖ୍ୟା ବିଶିଷ୍ଟ ଏବଂ କେତେକ ପ୍ରାୟ ଜନବହୁଳ ମରୁଭୂମି ଅଟେ।
743,geography,"କୂକ୍ ଦ୍ୱୀପପୁଞ୍ଜର କୌଣସି ସହର ନାହିଁ, କିନ୍ତୁ 15 ଟି ଭିନ୍ନ ଦ୍ୱୀପକୁ ନେଇ ଗଠିତ। ମୁଖ୍ୟ ଦ୍ୱୀପଗୁଡ଼ିକ ହେଉଛି ରାରୋଟୋଙ୍ଗା ଓ ଆଇଟୁଟାକୀ।"
1720,geography,"ଏହି ପାର୍କଟି 19,500 ବର୍ଗ କିଲୋମିଟର ଭୂମି ଉପରେ ଅବସ୍ଥିତ ଏବଂ ଏହା 14ଟି ପ୍ରତ୍ୟେକେ ଭିନ୍ନ ଭିନ୍ନ ବନ୍ୟଜନ୍ତୁକୁ ସମର୍ଥନ କରୁଥିବା ଇକୋଜୋନ୍‌ରେ ବିଭକ୍ତ ଅଟେ।"
1622,geography,ବିଶ୍ୱର ଦ୍ୱିତୀୟ ଦୀର୍ଘତମ ଓ ସର୍ବବୃହତ ନଦୀ ହେଉଛି ଆମାଜନ୍| ଏଥିରେ ଦ୍ୱିତୀୟ ବୃହତ୍ତମ ନଦୀର 8 ଗୁଣରୁ ଅଧିକ ଜଳ ପ୍ରବାହିତ ହୁଏ।
1205,health,"ଜାତିସଂଘର ରୋଗ ବିଶେଷଜ୍ଞ ଡାନିଏଲ୍ ଲାଣ୍ଟାଗ୍ନେ କହିଲେ ଯେ, ଶାନ୍ତି ରକ୍ଷକମାନଙ୍କ ଦ୍ଵାରା ଏହି ପ୍ରାଦୁର୍ଭାବ ଘଟିଥାଇପାରେ।"
