index_id,category,text
993,entertainment,"Однак взимку їх краса і чарівність проявляються по-іншому, на багатьох гірських станціях випадає велика кількість снігу і пропонуються такі види активного відпочинку, як катання на лижах і сноуборді."
755,entertainment,"У цих готелях зупинялися багаті та відомі люди того часу, і часто насолоджувалися там високою кухнею та нічними розвагами."
1239,entertainment,"""Вона дуже симпатична і також досить гарно співає"", — сказав він згідно з текстом стенограми прес-конференції."
871,entertainment,"Додайте до свого домашнього затишку смачну каву вранці та ромашковий чай, що розслабляє, на ніч."
460,entertainment,"Більшість телевізорів зроблені таким чином, щоб подобатися широкій публіці."
431,geography,"З трьох сторін Туреччина оточена морями: із заходу – Егейським, з півночі – Чорним і з півдня – Середземним."
1692,geography,"Великі райони далі на північ є доволі слабко населеними, а деякі є майже незаселеною дикою природою."
743,geography,"Острови Кука не мають міст, але складаються з 15 різних островів. Основними є Раротонга та Айтутакі."
1720,geography,"Парк займає 19500 квадратних кілометрів та розділений на 14 різних екологічних зон, кожна з яких утримує різних представників живої природи."
1622,geography,"Річка Амазонка є другою за довжиною та розміром річкою на Землі. Вона містить у 8 разів більше води, ніж друга за величиною річка."
1205,health,"Даніель Лантань, експерт ООН з цього захворювання, заявила, що спалах ймовірно був викликаний миротворцями."
1203,health,"До прибуття загонів на Гаїті ще з 1800-х років не було проблем, пов'язаних із цією хворобою."
566,health,"Зір, або здатність бачити, залежить від сенсорних органів зорової системи або очей."
1256,health,"Склад цих кристалів відповідає складу тих, які були знайдені у сечі тварин, які зазнали впливу, при порівнянні інфрачервоною спектроскопією (ІСОПФ)."
1578,health,"Прочитайте етикетку, щоб отримати конкретні рекомендації з першої допомоги для цієї конкретної отрути."
1936,politics,"У 1994 році цей конфлікт призвів до створення самопроголошеної Придністровської Республіки на сході Молдови, яка має власний уряд і валюту, але не визнана жодною державою-членом ООН."
280,politics,"Організатори протесту сказали, що 100 000 людей вийшли в таких німецьких містах як Берлін, Кельн, Гамбург та Гановер."
247,politics,Ці агенти несуть відповідальність за надання державних і судових послуг відповідно до Статті 247 Конституції Пакистану.
1439,politics,Незабаром після раптового початку військових дій Британія ініціювала морську блокаду Німеччини.
18,politics,"У світі відбулися протести, кілька кримінальних переслідувань, а обидва лідери урядів Ісландії та Пакистану пішли у відставку."
403,science/technology,"На початку війни вони в основному подорожували на морській поверхні, але в міру того, як почали розвиватися і ставати більш точними радари, підводні човни були змушені занурюватися під воду, щоб їх не помітили."
1592,science/technology,"У міру того, як знання грецької мови йшло на спад, Захід опинявся відрізаним від своїх грецьких філософських і наукових коренів."
1344,science/technology,"Іони водню – це протони, які втратили свої електрони (оскільки атоми водню складаються з одного протону та одного електрону)."
556,science/technology,Атом може вважатися одним з основних складових елементів усієї матерії.
1645,science/technology,Це наче котити вгору важкий віз. Розщеплення ядра знову вивільняє частину тієї енергії.
555,sports,"Спортсмени можуть обирати той чи інший продукт, навіть якщо він не має реальних переваг."
195,sports,"Маса буде відсутній, принаймні, до закінчення сезону 2009 року."
553,sports,"Біг на середні дистанції – порівняно недорогий вид спорту; однак існує багато хибних уявлень стосовно декількох елементів спорядження, необхідних для участі."
32,sports,"У міру того, як машини попереду Алонсо їхали за паливом до машини супроводу, він підіймався вгору по таблиці, щоб здобути перемогу."
13,sports,"Надаль набрав у матчі 88% очок, виграних у сітки, взявши 76 очок у першій подачі."
688,travel,"Відвідувачам, які мають обмежений час, краще присвятити його іншому місцю."
1764,travel,"Крім того, пам'ятайте, що запахи приваблюють ведмедів та інших диких тварин, тому беріть із собою та не готуйте іжу із запахом і підтримуйте чистоту в таборі."
1785,travel,"Завчасне бронювання дарує мандрівнику спокійну впевненість в тому, що він матиме де переночувати, як тільки прибуде до місця призначення."
1941,travel,"Широкі бульвари, будівлі зі скляними фасадами та сучасні торгівельні центри перемежовуються з традиційними будинками з червоною черепицею, базаром 18 сторіччя і давніми мечетями та церквами, хоча атмосфера міста більше нагадує середземноморську Європу, ніж традиційну Туреччину."
996,travel,"У будь-якому випадку, ви повинні забронювати квиток, зателефонувавши безпосередньо в авіакомпанію."
